time_s,conversion,wallFlux
0.00121359,0.34268096,8.33523e-09
0.0026008,0.35269959,8.34774e-09
0.00358734,0.36348488,8.37016e-09
0.00438832,0.37148259,8.39299e-09
0.00510304,0.37469979,8.41111e-09
0.0057906,0.37286609,8.42229e-09
0.0064711,0.36699173,8.4258e-09
0.00717774,0.3589959,8.42264e-09
0.0079632,0.35065082,8.41394e-09
0.0088411,0.34354063,8.40078e-09
0.00983326,0.33833707,8.38402e-09
0.0109701,0.33544989,8.36457e-09
0.012287,0.33574497,8.34549e-09
0.0137836,0.34198435,8.33705e-09
0.0152533,0.35851173,8.36018e-09
0.0159779,0.36881292,8.3819e-09
0.0167449,0.37626807,8.40562e-09
0.0174193,0.37709116,8.42118e-09
0.0180988,0.37252331,8.42895e-09
0.0187831,0.36441028,8.42878e-09
0.0195253,0.3550238,8.42227e-09
0.0203534,0.3464507,8.41083e-09
0.0212855,0.33989826,8.39539e-09
0.0223482,0.33565966,8.37672e-09
0.0235779,0.33394459,8.35633e-09
0.0249869,0.33624489,8.33924e-09
0.0265749,0.3477772,8.34208e-09
0.0275763,0.3621129,8.36278e-09
0.0283438,0.37307156,8.38522e-09
0.0290679,0.37886639,8.40552e-09
0.0297507,0.37820241,8.41904e-09
0.0304339,0.37222953,8.42465e-09
0.0311411,0.36309765,8.42264e-09
0.0319263,0.35327448,8.41437e-09
0.0328039,0.34498534,8.40131e-09
0.0337949,0.33916776,8.38466e-09
0.034929,0.33616025,8.36547e-09
0.036242,0.33647532,8.34662e-09
0.0377339,0.34285182,8.33846e-09
0.0391658,0.35914575,8.36077e-09
0.0398954,0.36950419,8.38218e-09
0.0406568,0.37689434,8.40526e-09
0.04133,0.3777243,8.4206e-09
0.042008,0.37314341,8.42828e-09
0.0426922,0.36492364,8.42811e-09
0.0434367,0.35531944,8.42157e-09
0.044267,0.34652564,8.41e-09
0.0452022,0.3397431,8.39443e-09
0.046269,0.33528826,8.37568e-09
0.0475044,0.33351906,8.35519e-09
0.0489176,0.33600517,8.3386e-09
0.050508,0.34801523,8.34311e-09
0.0514879,0.36192492,8.36488e-09
0.0522572,0.37242284,8.38855e-09
0.0529768,0.37752359,8.40931e-09
0.0536596,0.37635055,8.4226e-09
0.0543419,0.37018808,8.42771e-09
0.0550502,0.36121405,8.42528e-09
0.0558377,0.351767,8.41688e-09
0.0567184,0.34385347,8.40392e-09
0.0577134,0.33821523,8.3874e-09
0.0588528,0.33509416,8.3684e-09
0.0601655,0.33521782,8.35016e-09
0.0616525,0.34146957,8.3427e-09
0.0630786,0.35788355,8.36488e-09
0.0638089,0.36857376,8.38626e-09
0.06457,0.37629334,8.40948e-09
0.0652439,0.37740577,8.42522e-09
0.0659223,0.37299367,8.43335e-09
0.0666071,0.36483305,8.43354e-09
0.067352,0.35525443,8.42736e-09
0.0681832,0.34649579,8.4162e-09
0.0691188,0.33986085,8.40117e-09
