ep,kind,rep_of,t_plus_s,t_minus_s,w_b_rpm,duty,period_s,w_hi_rpm,r_last,X_last,P_last_W,r_mean,X_mean,X_blocks,r_blocks,wall_min,worker,status
23,init,-1,2.918648167740356,2.821414845917701,300.0,0.5084697085721268,5.740063013658057,534.5094901906791,0.252015295431219,0.3667191717588335,3.6636418099040085,0.24682907228519863,0.36153294861281304,0.343509;0.363826;0.366615;0.366996;0.366719,0.228805;0.249122;0.251911;0.252293;0.252015,186.38594154516855,worker_23,ok
14,init,-1,4.8831039825630524,3.9437669491872307,300.0,0.5532089480314606,8.826870931750284,532.4633310602468,0.24548025201434368,0.3599489734230965,3.6561309617955655,0.2415439763402492,0.356012697749002,0.346153;0.358708;0.353084;0.362169;0.359949,0.231684;0.244240;0.238616;0.247700;0.245480,187.6790764371554,worker_14,ok
3,init,-1,4.75,0.25,300.0,0.95,5.0,315.1409298180993,0.27864664705580977,0.3956586850817311,3.737364494547926,0.2725291183732152,0.3895411563991364,0.369095;0.392290;0.395214;0.395448;0.395659,0.252083;0.275278;0.278202;0.278436;0.278647,192.2106131672859,worker_03,ok
25,init,-1,1.9562121414297247,0.4000671988405835,300.0,0.8302123216024597,2.356279340270308,361.1047954708517,0.2891878868822034,0.40582170636483955,3.7252841942753987,0.27741851927876376,0.3940523387613995,0.366732;0.396792;0.399962;0.400954;0.405822,0.250098;0.280158;0.283328;0.284320;0.289188,192.56750612258912,worker_25,ok
35,init,-1,2.3926991798940787,0.7685943788963662,300.0,0.7568734555640442,3.1612935587904447,392.8936425706334,0.27748645580919246,0.39363908431645106,3.7099149545218406,0.2701197936363244,0.38627242214358304,0.360919;0.391324;0.390099;0.395381;0.393639,0.244766;0.275171;0.273947;0.279229;0.277486,193.02228118578594,worker_35,ok
15,init,-1,3.4141098437848685,0.11709678364743693,300.0,0.9668394415841411,3.5312066274323053,309.7631880604029,0.285444943846924,0.40264032833961666,3.7432205806966037,0.2775131142356496,0.39470849872834224,0.369399;0.400050;0.399782;0.401672;0.402640,0.252203;0.282854;0.282587;0.284476;0.285445,193.04039109547932,worker_15,ok
24,init,-1,4.749809173124847,0.2540812257869941,300.0,0.9492232631949239,5.003890398911841,315.4076011636132,0.27888550883681906,0.39589174111499925,3.7371790589650753,0.272981332337598,0.3899875646157782,0.368990;0.393155;0.395982;0.395920;0.395892,0.251984;0.276148;0.278976;0.278914;0.278886,193.52431190013885,worker_24,ok
1,init,-1,4.5,0.5,300.0,0.9,5.0,331.90684904390565,0.29529032537496347,0.41202135579895505,3.7283891117422905,0.2857643796845434,0.40249541010853485,0.370117;0.405156;0.412938;0.412245;0.412021,0.253386;0.288425;0.296207;0.295514;0.295290,193.5249550541242,worker_01,ok
12,init,-1,4.4010780921641,0.652264497317232,300.0,0.8709241485675367,5.053342589481332,343.01397697495514,0.27712679813351765,0.3936859574615554,3.7228995489375247,0.2693946102821681,0.3859537696102059,0.357493;0.391208;0.394348;0.393034;0.393686,0.240934;0.274649;0.277789;0.276475;0.277127,194.03532032569248,worker_12,ok
27,init,-1,4.0302208744724926,1.1334701640722364,300.0,0.7804922572610619,5.163691038544729,383.5917196957445,0.27410290300862056,0.3901574117463171,3.7067810090820275,0.26696257931509565,0.38301708805279217,0.359061;0.386027;0.389724;0.390117;0.390157,0.243006;0.269972;0.273669;0.274062;0.274103,194.1711181998253,worker_27,ok
