rank,ep,kind,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,r_last_obs,X_last_obs,gp_mean,gp_sd
1,132,bo,4.614,0.498,0.903,5.113,331.8,0.29687,0.41361,0.29333,0.00065
2,128,bo,4.680,0.500,0.903,5.180,331.9,0.29579,0.41252,0.29330,0.00068
3,218,rep,4.680,0.500,0.903,5.180,332.5,0.29636,0.41327,0.29330,0.00068
4,219,rep,4.680,0.500,0.903,5.180,331.4,0.29811,0.41465,0.29330,0.00068
5,215,rep,4.765,0.480,0.908,5.245,326.9,0.28710,0.40352,0.29328,0.00071
6,119,bo,4.765,0.480,0.908,5.245,327.4,0.28712,0.40373,0.29328,0.00071
7,214,rep,4.765,0.480,0.908,5.245,328.0,0.28793,0.40472,0.29328,0.00071
8,1,init,4.500,0.500,0.900,5.000,331.9,0.29529,0.41202,0.29328,0.00063
9,131,bo,4.440,0.500,0.899,4.940,331.9,0.29383,0.41056,0.29324,0.00063
10,216,rep,4.935,0.470,0.913,5.405,323.9,0.28897,0.40598,0.29307,0.00086
11,217,rep,4.935,0.470,0.913,5.405,322.8,0.29403,0.41067,0.29307,0.00086
12,52,bo,4.935,0.470,0.913,5.405,323.4,0.29274,0.40956,0.29307,0.00086
13,167,bo,4.380,0.512,0.895,4.892,332.7,0.29269,0.40940,0.29302,0.00065
14,92,bo,5.000,0.500,0.909,5.500,325.0,0.29169,0.40848,0.29301,0.00096
15,55,bo,4.310,0.481,0.900,4.790,330.5,0.29178,0.40853,0.29295,0.00062
