time_s,conversion
0.1,0.074602632
0.2,0.075216673
0.3,0.040202297
0.4,0.033141687
0.5,0.036809519
0.6,0.095157722
0.7,0.048521873
0.8,0.061779042
0.9,0.11799565
1,0.062839029
1.1,0.079158938
1.2,0.10515023
1.3,0.066118827
1.4,0.09166132
1.5,0.11442624
1.6,0.06946601
1.7,0.12006329
1.8,0.090837738
1.9,0.077329709
2,0.138796
2.1,0.090232753
2.2,0.10495006
2.3,0.11765843
2.4,0.088762136
2.5,0.13777257
2.6,0.093243916
2.7,0.092986263
2.8,0.15963119
2.9,0.1228766
3,0.10795936
3.1,0.12641623
3.2,0.11278774
3.3,0.1286826
3.4,0.11466202
3.5,0.13107535
3.6,0.11405152
3.7,0.13778203
3.8,0.11433058
3.9,0.14124258
4,0.11079168
4.1,0.16521479
4.2,0.1157667
4.3,0.16728668
4.4,0.11909663
4.5,0.16972567
4.6,0.12249084
4.7,0.19120597
4.8,0.16435234
4.9,0.12867404
5,0.18458148
5.1,0.13932036
5.2,0.1338019
5.3,0.18260412
5.4,0.16274907
5.5,0.14376667
5.6,0.15192465
5.7,0.1945433
5.8,0.16250899
5.9,0.14184467
6,0.20434267
