time_s,conversion
0.1,0.020867908
0.2,0.059911711
0.3,0.11086461
0.4,0.21156382
0.5,0.020888293
0.6,0.085072144
0.7,0.15047602
0.8,0.16568161
0.9,0.17146894
1,0.18492611
1.1,0.18893561
1.2,0.18241133
1.3,0.17305488
1.4,0.17258048
1.5,0.16477648
1.6,0.12935866
1.7,0.15210092
1.8,0.18438825
1.9,0.17543267
2,0.17143153
2.1,0.2066189
2.2,0.20862949
2.3,0.1994182
2.4,0.18629857
2.5,0.2240208
2.6,0.24147515
2.7,0.24485237
2.8,0.21059317
2.9,0.20376935
3,0.22543551
3.1,0.22906861
3.2,0.24756959
3.3,0.25372009
3.4,0.25209702
3.5,0.23777786
3.6,0.25970797
3.7,0.25445152
3.8,0.25266203
3.9,0.22249771
4,0.21517523
4.1,0.24017199
4.2,0.25821952
4.3,0.24412297
4.4,0.25018748
4.5,0.25953039
4.6,0.25799656
4.7,0.25999627
4.8,0.27722509
4.9,0.25199607
5,0.26280164
5.1,0.27425539
5.2,0.28733208
5.3,0.29798015
5.4,0.29854015
5.5,0.26443008
5.6,0.25695529
5.7,0.29717284
5.8,0.28981061
5.9,0.2908589
6,0.274415
