time_s,conversion
0.1,0.050700293
0.2,0.040811748
0.3,0.091205374
0.4,0.058244481
0.5,0.036442365
0.6,0.084622314
0.7,0.036577091
0.8,0.10628012
0.9,0.097120001
1,0.060727677
1.1,0.062502892
1.2,0.11610556
1.3,0.09802021
1.4,0.070160913
1.5,0.079951348
1.6,0.12383432
1.7,0.072744243
1.8,0.088564007
1.9,0.12099176
2,0.078989682
2.1,0.09547797
2.2,0.13176291
2.3,0.08665927
2.4,0.10481061
2.5,0.11881545
2.6,0.094190284
2.7,0.1136124
2.8,0.12572953
2.9,0.097264808
3,0.12810077
3.1,0.12942069
3.2,0.10377789
3.3,0.11883244
3.4,0.13119149
3.5,0.11048162
3.6,0.12261999
3.7,0.14756539
3.8,0.12211126
3.9,0.15461771
4,0.12707403
4.1,0.15773024
4.2,0.12501337
4.3,0.15875901
4.4,0.13383902
4.5,0.16300591
4.6,0.13145115
4.7,0.16036271
4.8,0.13498352
4.9,0.16554951
5,0.14203159
5.1,0.17069235
5.2,0.13957182
5.3,0.17560694
5.4,0.14040744
5.5,0.18123306
5.6,0.14366445
5.7,0.1948975
5.8,0.15232298
5.9,0.16603325
6,0.14889277
