time_s,conversion
0.1,0.074451317
0.2,0.037394765
0.3,0.021302513
0.4,0.093790546
0.5,0.099472822
0.6,0.1205471
0.7,0.13348151
0.8,0.13844324
0.9,0.14417726
1,0.15181768
1.1,0.15841172
1.2,0.16311197
1.3,0.16490419
1.4,0.16385721
1.5,0.16200705
1.6,0.16038696
1.7,0.16027986
1.8,0.16089185
1.9,0.16212116
2,0.16322307
2.1,0.16620133
2.2,0.16790915
2.3,0.16980984
2.4,0.17131625
2.5,0.17255284
2.6,0.17335104
2.7,0.17381699
2.8,0.17410842
2.9,0.17480745
3,0.17399842
3.1,0.17481622
3.2,0.17460352
3.3,0.1745929
3.4,0.17475344
3.5,0.17576047
3.6,0.1773523
3.7,0.17981102
3.8,0.18286956
3.9,0.18627359
4,0.18966726
4.1,0.19374792
4.2,0.19812541
4.3,0.20239298
4.4,0.20673132
4.5,0.21085958
4.6,0.21467813
4.7,0.2183517
4.8,0.2226222
4.9,0.22592807
5,0.2300627
5.1,0.23323967
5.2,0.23627137
5.3,0.23859099
5.4,0.23980632
5.5,0.24035867
5.6,0.24034833
5.7,0.23971924
5.8,0.23893869
5.9,0.23808844
6,0.23716227
