time_s,conversion
0.1,0.037916443
0.2,0.03014647
0.3,0.051194764
0.4,0.087952264
0.5,0.1161918
0.6,0.1378999
0.7,0.10951927
0.8,0.15869654
0.9,0.13279679
1,0.13517384
1.1,0.17266746
1.2,0.1149899
1.3,0.13600254
1.4,0.18083823
1.5,0.14041167
1.6,0.1612374
1.7,0.18805609
1.8,0.14689699
1.9,0.14878621
2,0.20552914
2.1,0.19453657
2.2,0.11966907
2.3,0.11455451
2.4,0.16753664
2.5,0.11646631
2.6,0.10224261
2.7,0.095862922
2.8,0.14971939
2.9,0.16018048
3,0.19851865
3.1,0.19417102
3.2,0.20745034
3.3,0.22433383
3.4,0.19629999
3.5,0.23281922
3.6,0.17538085
3.7,0.18469631
3.8,0.21794804
3.9,0.22445865
4,0.2200811
4.1,0.25162771
4.2,0.22201592
4.3,0.23281295
4.4,0.26235967
4.5,0.23679559
4.6,0.30053658
4.7,0.2724881
4.8,0.2156877
4.9,0.19211214
5,0.191019
5.1,0.17585563
5.2,0.25401603
5.3,0.25206289
5.4,0.27383537
5.5,0.29665573
5.6,0.28050993
5.7,0.25441859
5.8,0.24638966
5.9,0.27525891
6,0.259343
