time_s,conversion
0.1,0.074041897
0.2,0.093122827
0.3,0.046268778
0.4,0.029661325
0.5,0.07750281
0.6,0.098500642
0.7,0.11032266
0.8,0.099859818
0.9,0.08808756
1,0.11032457
1.1,0.13018008
1.2,0.1016369
1.3,0.045814685
1.4,0.11088426
1.5,0.057636246
1.6,0.102235
1.7,0.069388994
1.8,0.063857573
1.9,0.093247115
2,0.067815791
2.1,0.12711735
2.2,0.080099039
2.3,0.072127864
2.4,0.12125193
2.5,0.077885701
2.6,0.11062303
2.7,0.11281182
2.8,0.047287662
2.9,0.10304726
3,0.13274896
3.1,0.11160958
3.2,0.11750142
3.3,0.13326194
3.4,0.14215603
3.5,0.14102325
3.6,0.13959393
3.7,0.14445074
3.8,0.15398018
3.9,0.10366095
4,0.1413884
4.1,0.10357486
4.2,0.13610718
4.3,0.10678722
4.4,0.10023424
4.5,0.15108868
4.6,0.10052473
4.7,0.16418463
4.8,0.11387813
4.9,0.10530534
5,0.16022416
5.1,0.10673002
5.2,0.16243226
5.3,0.080654668
5.4,0.15149014
5.5,0.10072989
5.6,0.16535405
5.7,0.19683561
5.8,0.19609007
5.9,0.19364698
6,0.19548946
