time_s,conversion
0.1,0.020867965
0.2,0.059911979
0.3,0.11082926
0.4,0.21152209
0.5,0.020903805
0.6,0.085080895
0.7,0.15050463
0.8,0.16567201
0.9,0.17156746
1,0.18491032
1.1,0.18893573
1.2,0.18211261
1.3,0.4214978
1.4,0.087139778
1.5,0.13767773
1.6,0.074228769
1.7,0.076111182
1.8,0.13737842
1.9,0.084540724
2,0.11498934
2.1,0.080447643
2.2,0.12547835
2.3,0.093940772
2.4,0.094316449
2.5,0.12444842
2.6,0.17351225
2.7,0.060180305
2.8,0.13631353
2.9,0.15853392
3,0.17110187
3.1,0.16815951
3.2,0.17709303
3.3,0.17620169
3.4,0.18611026
3.5,0.20492673
3.6,0.22779354
3.7,0.21318535
3.8,0.37401582
3.9,0.1219196
4,0.13191406
4.1,0.16133234
4.2,0.12903017
4.3,0.15884152
4.4,0.12483933
4.5,0.17769205
4.6,0.13667327
4.7,0.16849056
4.8,0.13544965
4.9,0.19051403
5,0.14415007
5.1,0.1887583
5.2,0.12680839
5.3,0.1382694
5.4,0.19857122
5.5,0.22759137
5.6,0.24251383
5.7,0.24281388
5.8,0.25189745
5.9,0.26637861
6,0.26976823
