time_s,conversion
0.1,0.0050311115
0.2,0.016493408
0.3,0.044309215
0.4,0.084349594
0.5,0.10065077
0.6,0.1307443
0.7,0.12328849
0.8,0.13324574
0.9,0.17543645
1,0.11334159
1.1,0.14653032
1.2,0.16065447
1.3,0.19926633
1.4,0.17192517
1.5,0.21132066
1.6,0.19785996
1.7,0.15605839
1.8,0.16164229
1.9,0.18871025
2,0.1449726
2.1,0.18460516
2.2,0.18944494
2.3,0.18222255
2.4,0.20011904
2.5,0.23789644
2.6,0.12132153
2.7,0.17127298
2.8,0.20369353
2.9,0.18326242
3,0.18010615
3.1,0.20644707
3.2,0.19343396
3.3,0.1716999
3.4,0.18531267
3.5,0.24955911
3.6,0.20218521
3.7,0.20413073
3.8,0.28601277
3.9,0.27336892
4,0.24943559
4.1,0.2210428
4.2,0.25982738
4.3,0.24662724
4.4,0.21360092
4.5,0.2384055
4.6,0.28296594
4.7,0.23773992
4.8,0.23633741
4.9,0.25911061
5,0.25078821
5.1,0.19868429
5.2,0.22076996
5.3,0.23474798
5.4,0.24262282
5.5,0.25183512
5.6,0.24608422
5.7,0.2847277
5.8,0.27380392
5.9,0.24396673
6,0.30824087
