time_s,conversion
0.1,0.059373848
0.2,0.038463258
0.3,0.07759596
0.4,0.10305423
0.5,0.038927709
0.6,0.096799835
0.7,0.063768252
0.8,0.058127696
0.9,0.060738156
1,0.11108747
1.1,0.10622685
1.2,0.066296445
1.3,0.081637228
1.4,0.10886784
1.5,0.06747421
1.6,0.12216817
1.7,0.074565235
1.8,0.12722573
1.9,0.081811862
2,0.086359642
2.1,0.13165133
2.2,0.083835016
2.3,0.14338276
2.4,0.089641689
2.5,0.1357111
2.6,0.10300842
2.7,0.087747306
2.8,0.1045444
2.9,0.15542271
3,0.10246026
3.1,0.10563229
3.2,0.096815255
3.3,0.10932092
3.4,0.13108833
3.5,0.16737553
3.6,0.14906186
3.7,0.1351677
3.8,0.11976723
3.9,0.12358747
4,0.17842293
4.1,0.12257005
4.2,0.15079888
4.3,0.15803605
4.4,0.13134479
4.5,0.18801773
4.6,0.13233335
4.7,0.15750101
4.8,0.16755886
4.9,0.13785909
5,0.19950068
5.1,0.13906969
5.2,0.13982973
5.3,0.19227797
5.4,0.13950207
5.5,0.1491552
5.6,0.19905403
5.7,0.15888263
5.8,0.16187239
5.9,0.16917031
6,0.20058479
