time_s,conversion
0.1,0.071852195
0.2,0.016716147
0.3,0.070449719
0.4,0.01671588
0.5,0.082080671
0.6,0.13754731
0.7,0.1724857
0.8,0.19640316
0.9,0.18437857
1,0.1643419
1.1,0.16195254
1.2,0.17557883
1.3,0.20296602
1.4,0.14118886
1.5,0.13673643
1.6,0.14248414
1.7,0.14200512
1.8,0.14379621
1.9,0.14703506
2,0.15389454
2.1,0.16317527
2.2,0.16484795
2.3,0.16391573
2.4,0.1608057
2.5,0.16467827
2.6,0.14287145
2.7,0.17635752
2.8,0.1903188
2.9,0.20264729
3,0.2034191
3.1,0.19211867
3.2,0.1806007
3.3,0.18026221
3.4,0.18770241
3.5,0.20697882
3.6,0.21765757
3.7,0.20429365
3.8,0.2267885
3.9,0.21107534
4,0.18471156
4.1,0.20212635
4.2,0.20775955
4.3,0.20572383
4.4,0.20273771
4.5,0.19955746
4.6,0.20153842
4.7,0.20242387
4.8,0.21002695
4.9,0.21562301
5,0.2183171
5.1,0.20432013
5.2,0.24085441
5.3,0.23598144
5.4,0.226942
5.5,0.22047789
5.6,0.22336333
5.7,0.2330124
5.8,0.25213348
5.9,0.25140661
6,0.23513627
