branch,rpm,Re_rot,t_start_s,t_end_s,settled_frame_s
up,40,62.8,0,40,40
up,60,94.3,40,80,80
up,80,125.7,80,120,120
up,100,157.1,120,160,160
up,120,188.5,160,200,200
up,160,251.4,200,240,240
up,220,345.7,240,280,280
up,300,471.4,280,320,320
up,500,785.6,320,360,360
up,800,1256.9,360,400,400
up,1200,1885.4,400,440,440
up,1800,2828.1,440,480,480
up,2500,3928.0,480,520,520
down,1800,2828.1,520,560,560
down,1200,1885.4,560,600,600
down,800,1256.9,600,640,640
down,500,785.6,640,680,680
down,300,471.4,680,720,720
down,220,345.7,720,760,760
down,160,251.4,760,800,800
down,120,188.5,800,840,840
down,100,157.1,840,880,880
down,80,125.7,880,920,920
down,60,94.3,920,960,960
down,40,62.8,960,1000,1000
