branch,rpm,omega_rad,Re_rot,Ta,t_start,t_end,conv,wf_norm,wallFlux,Mz_kin,mech_P,motor_P,Re_axial
up,40.0,4.1887902047863905,62.8474392679067,987.4501556333055,0.0,40.0,0.23977947144526096,0.01904472503918718,4.408891545846331e-10,-8.167487489999999e-10,3.181705918411946e-06,0.6941961829536324,0.8636000000000001
up,60.0,6.283185307179586,94.27115890186005,2221.7628501749373,40.0,80.0,0.24705189105039999,0.015122725004394209,3.500940774143e-10,-8.167487489999999e-10,4.7725588776179195e-06,0.9274403178009972,0.8636000000000001
up,80.0,8.377580409572781,125.6948785358134,3949.800622533222,80.0,120.0,0.24890302636039996,0.0143849443723342,3.3301430973749996e-10,-8.167487489999999e-10,6.363411836823892e-06,1.1608477874621426,0.8636000000000001
up,100.0,10.471975511965976,157.11859816976673,6171.563472708158,120.0,160.0,0.24932920468385,0.014178633016901985,3.2823816101965e-10,-8.167487489999999e-10,7.954264796029864e-06,1.3944229985157208,0.8636000000000001
up,120.0,12.566370614359172,188.5423178037201,8887.05140069975,160.0,200.0,0.24947824212529998,0.014072190500579347,3.2577399569634997e-10,-8.167487489999999e-10,9.545117755235839e-06,1.6281703575948592,0.8636000000000001
up,160.0,16.755160819145562,251.3897570716268,15799.202490132888,200.0,240.0,0.24955468590375005,0.014000383961741133,3.2411166010805e-10,-8.167487489999999e-10,1.2726823673647784e-05,2.096199146634684,0.8636000000000001
up,220.0,23.03834612632515,345.6609159734869,29870.3672079075,240.0,280.0,0.24960484025699997,0.013947448108074582,3.2288618461695e-10,-8.167487489999999e-10,1.7499382551265703e-05,2.7996436093464694,0.8636000000000001
up,300.0,31.41592653589793,471.3557945093003,55544.071254373455,280.0,320.0,0.24964131963179997,0.013907402546503078,3.2195912193950005e-10,-8.167487489999999e-10,2.3862794388089597e-05,3.7403703718872428,0.8636000000000001
up,500.0,52.35987755982988,785.5929908488339,154289.08681770402,320.0,360.0,0.2496687753702,0.01387689337032295,3.212528284716e-10,-8.167487489999999e-10,3.9771323980149324e-05,6.107939525482773,0.8636000000000001
up,800.0,83.7758040957278,1256.9487853581338,394980.0622533221,360.0,400.0,0.24968965399495,0.013853605430527148,3.2071370805545e-10,-8.167487489999999e-10,6.363411836823891e-05,9.70947559968558,0.8636000000000001
up,1200.0,125.66370614359172,1885.4231780372013,888705.1400699753,400.0,440.0,0.24970558214045,0.013835820518665196,3.203019838253e-10,-8.167487489999999e-10,9.545117755235839e-05,14.628340953474417,0.8636000000000001
up,1800.0,188.49555921538757,2828.1347670558016,1999586.5651574438,440.0,480.0,0.24971748910400002,0.01382252102209294,3.1999409784700005e-10,-8.167487489999999e-10,0.00014317676632853756,22.328613056878755,0.8636000000000001
up,2500.0,261.79938779914943,3927.964954244169,3857227.1704426,480.0,520.0,0.24971875542244998,0.013821090544173496,3.19960982e-10,-8.167487489999999e-10,0.00019885661990074664,31.942743656104323,0.8636000000000001
down,1800.0,188.49555921538757,2828.1347670558016,1999586.5651574438,520.0,560.0,0.24971876295725,0.013821075295923751,3.19960629e-10,-8.167487489999999e-10,0.00014317676632853756,22.328613056878755,0.8636000000000001
down,1200.0,125.66370614359172,1885.4231780372013,888705.1400699753,560.0,600.0,0.24971877003259996,0.013821060047674007,3.1996027600000003e-10,-8.167487489999999e-10,9.545117755235839e-05,14.628340953474417,0.8636000000000001
down,800.0,83.7758040957278,1256.9487853581338,394980.0622533221,600.0,640.0,0.24971877298500003,0.013821052272362523,3.1996009600000005e-10,-8.167487489999999e-10,6.363411836823891e-05,9.70947559968558,0.8636000000000001
down,500.0,52.35987755982988,785.5929908488339,154289.08681770402,640.0,680.0,0.24971877785280003,0.01382104130053409,3.1995984199999995e-10,-8.167487489999999e-10,3.9771323980149324e-05,6.107939525482773,0.8636000000000001
down,300.0,31.41592653589793,471.3557945093003,55544.071254373455,680.0,720.0,0.2497187807889,0.013821033827595832,3.19959669e-10,-8.167487489999999e-10,2.3862794388089597e-05,3.7403703718872428,0.8636000000000001
down,220.0,23.03834612632515,345.6609159734869,29870.3672079075,720.0,760.0,0.24971878408419998,0.013821027780131341,3.1995952899999993e-10,-8.167487489999999e-10,1.7499382551265703e-05,2.7996436093464694,0.8636000000000001
down,160.0,16.755160819145562,251.3897570716268,15799.202490132888,760.0,800.0,0.24971878835255001,0.013821019443269585,3.19959336e-10,-8.167487489999999e-10,1.2726823673647784e-05,2.096199146634684,0.8636000000000001
down,120.0,12.566370614359172,188.5423178037201,8887.05140069975,800.0,840.0,0.2497187917704,0.013821014864475043,3.1995922999999993e-10,-8.167487489999999e-10,9.545117755235839e-06,1.6281703575948592,0.8636000000000001
down,100.0,10.471975511965976,157.11859816976673,6171.563472708158,840.0,880.0,0.2497187929273,0.01382101110640783,3.1995914300000003e-10,-8.167487489999999e-10,7.954264796029864e-06,1.3944229985157208,0.8636000000000001
down,80.0,8.377580409572781,125.6948785358134,3949.800622533222,880.0,920.0,0.24971879560555,0.013821005361316566,3.1995901000000004e-10,-8.167487489999999e-10,6.363411836823892e-06,1.1608477874621426,0.8636000000000001
down,60.0,6.283185307179586,94.27115890186005,2221.7628501749373,920.0,960.0,0.2497187983499,0.013821002207995795,3.19958937e-10,-8.167487489999999e-10,4.7725588776179195e-06,0.9274403178009972,0.8636000000000001
down,40.0,4.1887902047863905,62.8474392679067,987.4501556333055,960.0,1000.0,0.249718800456,0.013820999616225302,3.1995887700000004e-10,-8.167487489999999e-10,3.181705918411946e-06,0.6941961829536324,0.8636000000000001
