mode,wb_rpm,trough_rpm,peak_rpm,X_conv_lastperiod,P_motor_W,P_over_Pmax,R_minus,wall_minutes
constant,100.0,100.0,100.0,0.258483,1.39442,0.0436576,0.214825,40.34
constant,200.0,200.0,200.0,0.307063,2.56497,0.0803059,0.226758,42.22
constant,300.0,300.0,300.0,0.340205,3.74037,0.117106,0.223099,44.05
constant,400.0,400.0,400.0,0.398557,4.92118,0.154076,0.244481,40.95
constant,500.0,500.0,500.0,0.392418,6.10794,0.191232,0.201186,42.16
pulsed D=80% T=10,100.0,0.0,125.0,0.271798,1.35005,0.0422684,0.229529,42.99
pulsed D=80% T=10,200.0,0.0,250.0,0.333421,2.52214,0.0789649,0.254456,42.3
pulsed D=80% T=10,300.0,0.0,375.0,0.374396,3.70108,0.115876,0.25852,40.42
pulsed D=80% T=10,400.0,0.0,500.0,0.374299,4.88796,0.153036,0.221263,38.6
pulsed D=80% T=10,500.0,0.0,625.0,0.396137,6.08353,0.190467,0.20567,39.57
pulsed D=80% T=2.5 (champion),300.0,0.0,375.0,0.391479,3.71561,0.116331,0.275148,39.89
"TD3 policy (v5 seed 2, deterministic)",300.0,6.257935166358948,400.62831680596065,0.4054807592127959,3.7138848871024566,0.11627692195060915,0.2892038372621868,37.55269569158554
