t,Mz_kin,conv,cupC,wallFlux
0.0012004802,6.2330245e-08,0.00080483845,49.959758,8.0531482e-08
0.0026293779,5.685103e-08,0.0011990706,49.940047,7.7058448e-08
0.0042861398,5.1366669e-08,0.0023770925,49.881145,7.3285052e-08
0.0061719615,4.6145217e-08,0.0058713234,49.706434,6.9321001e-08
0.0082864892,4.1360937e-08,0.018214843,49.089258,6.5278779e-08
0.01056629,3.7211408e-08,0.060362905,46.981855,6.13999e-08
0.011336278,3.6019392e-08,0.077706543,46.114673,6.0197702e-08
0.012077405,3.4954205e-08,0.087786761,45.610662,5.9081101e-08
0.012721003,3.4087085e-08,0.088483224,45.575839,5.8136722e-08
0.013360432,3.3273994e-08,0.081663157,45.916842,5.7216729e-08
0.014017316,3.2485105e-08,0.070040489,46.497976,5.6289791e-08
0.014734916,3.1673108e-08,0.055605187,47.219741,5.5299116e-08
0.015535945,3.082354e-08,0.041826418,47.908679,5.4223806e-08
0.016439123,2.9931743e-08,0.03111432,48.444284,5.3052427e-08
0.017472275,2.898984e-08,0.02387736,48.806132,5.176558e-08
0.018673409,2.7989148e-08,0.020065056,48.996747,5.0338921e-08
0.020097686,2.6918855e-08,0.020685658,48.965717,4.8741906e-08
0.021750135,2.5814566e-08,0.031893073,48.405346,4.702272e-08
0.023032245,2.5047096e-08,0.054933392,47.25333,4.5802174e-08
0.023776318,2.4633296e-08,0.070831777,46.458411,4.5137641e-08
0.024550484,2.4224361e-08,0.08191761,45.90412,4.4470657e-08
0.025234051,2.3880098e-08,0.083432655,45.828367,4.3894078e-08
0.025926356,2.3546434e-08,0.077292161,46.135392,4.33171e-08
0.026629151,2.32223e-08,0.066029779,46.698511,4.2737651e-08
0.027392579,2.2886005e-08,0.052864801,47.35676,4.2118235e-08
0.028244249,2.2529253e-08,0.04079366,47.960317,4.144344e-08
0.029202588,2.2149678e-08,0.03154861,48.42257,4.0707329e-08
0.030294599,2.1743428e-08,0.025749729,48.712514,3.9900146e-08
0.031557236,2.1305753e-08,0.024065562,48.796722,3.9010732e-08
0.033033521,2.0833467e-08,0.029766606,48.51167,3.8037068e-08
0.034542049,2.038994e-08,0.050312524,47.484374,3.7135789e-08
0.035293963,2.0181299e-08,0.064791404,46.76043,3.6721377e-08
0.03607258,1.9972476e-08,0.076057024,46.197149,3.6307776e-08
0.036748546,1.9796595e-08,0.078631122,46.068444,3.5952955e-08
0.037428808,1.9624462e-08,0.073963419,46.301829,3.5595131e-08
0.038111967,1.9456455e-08,0.064229205,46.78854,3.523429e-08
0.038851312,1.9280164e-08,0.052251392,47.38743,3.4845031e-08
0.039675625,1.9090464e-08,0.040756856,47.962157,3.4416794e-08
0.040603475,1.8885537e-08,0.031484463,48.425777,3.3945452e-08
0.041661244,1.8662745e-08,0.025126022,48.743699,3.3424393e-08
0.042885176,1.8418709e-08,0.022206243,48.889688,3.2845781e-08
0.044324446,1.8149397e-08,0.024971791,48.75141,3.2204721e-08
0.045960877,1.7864308e-08,0.041915323,47.904234,3.1548249e-08
0.046866897,1.7713908e-08,0.059338195,47.03309,3.1224587e-08
0.047643064,1.7587951e-08,0.073216407,46.33918,3.0962922e-08
0.048351136,1.7474907e-08,0.079458914,46.027054,3.0727293e-08
0.049034792,1.7367406e-08,0.077734546,46.113273,3.0496175e-08
0.049720914,1.7261305e-08,0.069658171,46.517091,3.0258357e-08
0.05044301,1.7151847e-08,0.058038776,47.098061,3.0003534e-08
0.051246358,1.7033108e-08,0.045763794,47.71181,2.9719097e-08
0.052146504,1.6904222e-08,0.03528405,48.235797,2.940367e-08
0.053166798,1.6763673e-08,0.027736592,48.61317,2.9053796e-08
0.054338622,1.6609517e-08,0.02368277,48.815861,2.8665323e-08
0.055705184,1.6439247e-08,0.024682769,48.765861,2.8236063e-08
0.057292234,1.625351e-08,0.037186466,48.140677,2.7786851e-08
0.058349081,1.6135023e-08,0.055521811,47.223909,2.7528537e-08
0.059117776,1.6050059e-08,0.069624522,46.518774,2.7356052e-08
0.059847142,1.596986e-08,0.077562218,46.121889,2.719478e-08
0.060529401,1.5895177e-08,0.077418476,46.129076,2.7038939e-08
0.061214646,1.5820714e-08,0.070608189,46.469591,2.6874614e-08
0.061924771,1.5744461e-08,0.059752728,47.012364,2.6697207e-08
0.062713733,1.5661314e-08,0.047614476,47.619276,2.6495909e-08
0.063595469,1.5570843e-08,0.036883764,48.155812,2.6270417e-08
0.064591644,1.547214e-08,0.028936102,48.553195,2.6018835e-08
0.065732386,1.5363915e-08,0.024375178,48.781241,2.5738365e-08
0.067057589,1.5244611e-08,0.024321316,48.783934,2.542808e-08
0.068609905,1.5113247e-08,0.03387835,48.306083,2.5100541e-08
0.069824234,1.5015087e-08,0.053227733,47.338613,2.4887922e-08
0.070585425,1.4954004e-08,0.067575515,46.621224,2.4770467e-08
0.071334953,1.4893541e-08,0.076997119,46.150144,2.4657435e-08
0.072014299,1.4838416e-08,0.078089486,46.095526,2.4549496e-08
0.072697646,1.4782889e-08,0.072206306,46.389685,2.4432041e-08
0.073396442,1.472638e-08,0.061802897,46.909855,2.4303188e-08
0.074163498,1.4665168e-08,0.049706694,47.514665,2.4155532e-08
0.075019961,1.4598378e-08,0.038634301,48.068285,2.3987777e-08
0.075985493,1.4525536e-08,0.030124632,48.493768,2.3799009e-08
0.077088136,1.444587e-08,0.024787778,48.760611,2.3587342e-08
0.07836818,1.4358239e-08,0.02340203,48.829898,2.3351481e-08
0.079871658,1.4261808e-08,0.029627401,48.51863,2.3099175e-08
0.081375136,1.4171268e-08,0.051101123,47.444944,2.289882e-08
0.08211836,1.4126703e-08,0.065912122,46.704394,2.2817814e-08
0.082892943,1.4079475e-08,0.077412215,46.129389,2.2736468e-08
0.083566791,1.4037624e-08,0.079876972,46.006151,2.2660431e-08
0.084246638,1.3994926e-08,0.074719776,46.264011,2.2574553e-08
0.084931569,1.3951788e-08,0.064230455,46.788477,2.2478398e-08
0.085674319,1.3905364e-08,0.05153623,47.423189,2.236652e-08
0.086503264,1.3854574e-08,0.039646553,48.017672,2.2237146e-08
0.087436356,1.3799243e-08,0.030430409,48.478479,2.2089868e-08
0.088501191,1.3738909e-08,0.024494121,48.775294,2.1923046e-08
0.089734613,1.3673017e-08,0.022366097,48.881695,2.1735778e-08
0.091186392,1.3600934e-08,0.026400106,48.679995,2.1532299e-08
0.092829816,1.3525847e-08,0.045392209,47.73039,2.1350382e-08
0.093692145,1.3487039e-08,0.06251637,46.874181,2.1280367e-08
0.09447076,1.3451125e-08,0.076062934,46.196853,2.1224595e-08
0.095170551,1.3417855e-08,0.081347062,45.932647,2.1170813e-08
0.095853957,1.3384619e-08,0.078493027,46.075349,2.1109005e-08
0.096539435,1.3350897e-08,0.069223143,46.538843,2.1036775e-08
0.097265106,1.3315243e-08,0.056356433,47.182178,2.0951082e-08
0.098072561,1.3276216e-08,0.043086723,47.845664,2.0849346e-08
0.098978111,1.3233844e-08,0.031933451,48.403327,2.0731658e-08
0.1000055,1.3188037e-08,0.024639199,48.76804,2.059741e-08
0.10118815,1.3138605e-08,0.022210639,48.889468,2.0446452e-08
0.10256881,1.3085455e-08,0.026104101,48.694795,2.028244e-08
0.10416567,1.3029767e-08,0.04254131,47.872934,2.0128005e-08
0.10518831,1.2995386e-08,0.062102593,46.89487,2.0061264e-08
0.10595837,1.2968746e-08,0.076683238,46.165838,2.0022918e-08
0.10668346,1.2942611e-08,0.083903537,45.804823,1.9985662e-08
0.1073659,1.291714e-08,0.082368373,45.881581,1.9941518e-08
0.10805149,1.2891008e-08,0.073856267,46.307187,1.9885051e-08
0.10876391,1.2863709e-08,0.061448786,46.927561,1.9815494e-08
0.10955542,1.2833798e-08,0.048459089,47.577045,1.9730669e-08
0.11044055,1.2801475e-08,0.037617417,48.119129,1.9631652e-08
0.11144118,1.2766883e-08,0.030072163,48.496392,1.9518484e-08
0.11258771,1.2730152e-08,0.026270815,48.686459,1.9391087e-08
0.11392216,1.2691466e-08,0.027434318,48.628284,1.925166e-08
0.11548491,1.2651534e-08,0.038943951,48.052802,1.911664e-08
0.11666426,1.2623509e-08,0.058989552,47.050522,1.9051286e-08
0.11742642,1.2604745e-08,0.073250273,46.337486,1.9022194e-08
0.11817246,1.2585278e-08,0.081925551,45.903722,1.8993986e-08
0.11885236,1.2566566e-08,0.081981626,45.900919,1.8960543e-08
0.11953648,1.2547084e-08,0.074933668,46.253317,1.8915834e-08
0.12023693,1.2526864e-08,0.063528085,46.823596,1.8859509e-08
0.12100798,1.2504844e-08,0.050895347,47.455233,1.8789411e-08
0.12186889,1.2481162e-08,0.03988275,48.005862,1.8706043e-08
