time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,52.3599,2.5221273e-05,0.095082001
0.2,52.3599,2.9882279e-05,0.11265359
0.3,52.3599,3.5496001e-05,0.13381683
0.4,52.3599,3.1863154e-05,0.12012131
0.5,52.3599,3.3438204e-05,0.12605911
0.6,52.3599,3.2944028e-05,0.12419611
0.7,52.3599,2.9205151e-05,0.11010087
0.8,52.3599,3.1583228e-05,0.11906601
0.9,52.3599,3.1482063e-05,0.11868463
1,52.3599,3.1733075e-05,0.11963093
1.1,52.3599,3.1779597e-05,0.11980631
1.2,52.3599,3.1819099e-05,0.11995523
1.3,52.3599,3.1514721e-05,0.11880775
1.4,52.3599,3.1828735e-05,0.11999155
1.5,52.3599,3.1874123e-05,0.12016266
1.6,52.3599,3.1589249e-05,0.11908871
1.7,52.3599,3.1637948e-05,0.1192723
1.8,52.3599,3.1790889e-05,0.11984888
1.9,52.3599,3.1825782e-05,0.11998042
2,52.3599,3.1414208e-05,0.11842883
2.1,52.3599,3.1691918e-05,0.11947577
2.2,52.3599,3.1773897e-05,0.11978482
2.3,52.3599,3.1648401e-05,0.11931171
2.4,52.3599,3.1392465e-05,0.11834685
2.5,52.3599,3.1685983e-05,0.11945339
2.6,52.3599,3.1739986e-05,0.11965698
2.7,52.3599,3.1405927e-05,0.11839761
2.8,52.3599,3.143858e-05,0.1185207
2.9,52.3599,3.1636625e-05,0.11926732
3,52.3599,3.1655456e-05,0.11933831
3.1,52.3599,3.1193841e-05,0.11759806
3.2,52.3599,3.1494492e-05,0.11873149
3.3,52.3599,3.1599964e-05,0.11912911
3.4,52.3599,3.1488757e-05,0.11870987
3.5,52.3599,3.1128067e-05,0.1173501
3.6,52.3599,3.1502191e-05,0.11876051
3.7,52.3599,3.1575659e-05,0.11903748
3.8,52.3599,3.1236055e-05,0.1177572
3.9,52.3599,3.1192105e-05,0.11759152
4,52.3599,3.1459738e-05,0.11860047
4.1,52.3599,3.1517647e-05,0.11881878
4.2,52.3599,3.0981875e-05,0.11679897
4.3,52.3599,3.1297856e-05,0.11799019
4.4,52.3599,3.1429789e-05,0.11848756
4.5,52.3599,3.1366126e-05,0.11824756
4.6,52.3599,3.0891486e-05,0.11645821
4.7,52.3599,3.134336e-05,0.11816173
4.8,52.3599,3.1433903e-05,0.11850307
4.9,52.3599,3.110257e-05,0.11725398
5,52.3599,3.0993954e-05,0.1168445
5.1,52.3599,3.1329263e-05,0.11810859
5.2,52.3599,3.140583e-05,0.11839724
5.3,52.3599,3.0813725e-05,0.11616505
5.4,52.3599,3.1173532e-05,0.1175215
5.5,52.3599,3.1314733e-05,0.11805381
5.6,52.3599,3.1249799e-05,0.11780902
5.7,52.3599,3.0744581e-05,0.11590439
5.8,52.3599,3.1254943e-05,0.11782841
5.9,52.3599,3.133665e-05,0.11813644
6,52.3599,3.0909001e-05,0.11652424
6.1,52.3599,3.0957374e-05,0.1167066
6.2,52.3599,3.1224589e-05,0.11771398
6.3,52.3599,3.1280188e-05,0.11792358
6.4,52.3599,3.0638405e-05,0.11550411
6.5,52.3599,3.1153875e-05,0.11744739
6.6,52.3599,3.1241035e-05,0.11777598
6.7,52.3599,3.0966129e-05,0.1167396
6.8,52.3599,3.0780187e-05,0.11603862
6.9,52.3599,3.1145176e-05,0.1174146
7,52.3599,3.1234853e-05,0.11775267
7.1,52.3599,3.0563351e-05,0.11522117
7.2,52.3599,3.1075135e-05,0.11715055
7.3,52.3599,3.1165551e-05,0.11749141
7.4,52.3599,3.0937583e-05,0.11663199
7.5,52.3599,3.0709788e-05,0.11577322
7.6,52.3599,3.1078006e-05,0.11716137
7.7,52.3599,3.1164812e-05,0.11748862
7.8,52.3599,3.0462131e-05,0.11483958
7.9,52.3599,3.1044169e-05,0.11703381
8,52.3599,3.1130448e-05,0.11735907
8.1,52.3599,3.0724484e-05,0.11582863
8.2,52.3599,3.0818589e-05,0.11618339
8.3,52.3599,3.1028928e-05,0.11697635
8.4,52.3599,3.1002471e-05,0.11687661
8.5,52.3599,3.0488287e-05,0.11493819
8.6,52.3599,3.09778e-05,0.1167836
8.7,52.3599,3.1069902e-05,0.11713082
8.8,52.3599,3.0353967e-05,0.11443181
8.9,52.3599,3.0971002e-05,0.11675798
9,52.3599,3.1042075e-05,0.11702592
9.1,52.3599,3.0361538e-05,0.11446035
9.2,52.3599,3.0932973e-05,0.11661461
9.3,52.3599,3.0986309e-05,0.11681568
9.4,52.3599,3.0353121e-05,0.11442862
9.5,52.3599,3.0899344e-05,0.11648783
9.6,52.3599,3.0944563e-05,0.1166583
9.7,52.3599,3.0378435e-05,0.11452405
9.8,52.3599,3.0817184e-05,0.1161781
9.9,52.3599,3.0841419e-05,0.11626946
10,52.3599,3.0650478e-05,0.11554963
10.1,52.3599,3.0810145e-05,0.11615156
10.2,52.3599,3.0538234e-05,0.11512648
10.3,52.3599,3.079449e-05,0.11609254
10.4,52.3599,3.0829051e-05,0.11622283
10.5,52.3599,3.059286e-05,0.11533242
10.6,52.3599,3.0722433e-05,0.11582089
10.7,52.3599,3.0522639e-05,0.11506769
10.8,52.3599,3.075035e-05,0.11592614
10.9,52.3599,3.0746835e-05,0.11591289
11,52.3599,3.0689149e-05,0.11569541
11.1,52.3599,3.0722384e-05,0.11582071
11.2,52.3599,3.0461421e-05,0.1148369
11.3,52.3599,3.0656521e-05,0.11557241
11.4,52.3599,3.0588699e-05,0.11531673
11.5,52.3599,3.0712319e-05,0.11578277
11.6,52.3599,3.0711048e-05,0.11577797
11.7,52.3599,3.0576649e-05,0.1152713
11.8,52.3599,3.0624679e-05,0.11545237
11.9,52.3599,3.0428969e-05,0.11471456
12,52.3599,3.0630521e-05,0.11547439
12.1,52.3599,3.0591623e-05,0.11532775
12.2,52.3599,3.0688339e-05,0.11569236
12.3,52.3599,3.0684958e-05,0.11567962
12.4,52.3599,3.0554126e-05,0.11518639
12.5,52.3599,3.0590506e-05,0.11532354
12.6,52.3599,3.0421037e-05,0.11468466
12.7,52.3599,3.0620952e-05,0.11543832
12.8,52.3599,3.0571169e-05,0.11525064
12.9,52.3599,3.0677493e-05,0.11565147
13,52.3599,3.0653992e-05,0.11556288
13.1,52.3599,3.0567157e-05,0.11523552
13.2,52.3599,3.0579471e-05,0.11528194
13.3,52.3599,3.0439287e-05,0.11475346
13.4,52.3599,3.0566565e-05,0.11523328
13.5,52.3599,3.056519e-05,0.1152281
13.6,52.3599,3.0649941e-05,0.11554761
13.7,52.3599,3.062833e-05,0.11546613
13.8,52.3599,3.0453245e-05,0.11480608
13.9,52.3599,3.054617e-05,0.1151564
14,52.3599,3.0479711e-05,0.11490585
14.1,52.3599,3.0679915e-05,0.1156606
14.2,52.3599,3.0641788e-05,0.11551687
14.3,52.3599,3.0505015e-05,0.11500125
14.4,52.3599,3.053317e-05,0.11510739
14.5,52.3599,3.0363657e-05,0.11446834
