time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,52.3599,2.5221273e-05,0.095082001
0.2,52.3599,2.9882279e-05,0.11265359
0.3,52.3599,3.5496001e-05,0.13381683
0.4,52.3599,3.1863154e-05,0.12012131
0.5,52.3599,3.3438204e-05,0.12605911
0.6,52.3599,3.2944028e-05,0.12419611
0.7,52.3599,2.9205151e-05,0.11010087
0.8,52.3599,3.1583228e-05,0.11906601
0.9,52.3599,3.1482063e-05,0.11868463
1,52.3599,3.1733075e-05,0.11963093
1.1,52.3599,3.1779597e-05,0.11980631
1.2,52.3599,3.1819099e-05,0.11995523
1.3,52.3599,3.1514721e-05,0.11880775
1.4,52.3599,3.1828735e-05,0.11999155
1.5,52.3599,3.1874123e-05,0.12016266
1.6,52.3599,3.1589249e-05,0.11908871
1.7,52.3599,3.1637948e-05,0.1192723
1.8,52.3599,3.1790889e-05,0.11984888
1.9,52.3599,3.1825782e-05,0.11998042
2,52.3599,3.1414208e-05,0.11842883
2.1,52.3599,3.1691918e-05,0.11947577
2.2,52.3599,3.1773897e-05,0.11978482
2.3,52.3599,3.1648401e-05,0.11931171
2.4,52.3599,3.1392465e-05,0.11834685
2.5,52.3599,3.1685983e-05,0.11945339
2.6,52.3599,3.1739986e-05,0.11965698
2.7,52.3599,3.1405927e-05,0.11839761
2.8,52.3599,3.143858e-05,0.1185207
2.9,52.3599,3.1636625e-05,0.11926732
3,52.3599,3.1655456e-05,0.11933831
3.1,52.3599,3.1193841e-05,0.11759806
3.2,52.3599,3.1494492e-05,0.11873149
3.3,52.3599,3.1599964e-05,0.11912911
3.4,52.3599,3.1488757e-05,0.11870987
3.5,52.3599,3.1128067e-05,0.1173501
3.6,52.3599,3.1502191e-05,0.11876051
3.7,52.3599,3.1575659e-05,0.11903748
3.8,52.3599,3.1236055e-05,0.1177572
3.9,52.3599,3.1192105e-05,0.11759152
4,52.3599,3.1459738e-05,0.11860047
4.1,52.3599,3.1517647e-05,0.11881878
4.2,52.3599,3.0981875e-05,0.11679897
4.3,52.3599,3.1297856e-05,0.11799019
4.4,52.3599,3.1429789e-05,0.11848756
4.5,52.3599,3.1366126e-05,0.11824756
4.6,52.3599,3.0891486e-05,0.11645821
4.7,52.3599,3.134336e-05,0.11816173
4.8,52.3599,3.1433903e-05,0.11850307
4.9,52.3599,3.110257e-05,0.11725398
5,26.17995,-3.5055344e-07,0.00066077796
5.1,0,-6.0562528e-06,0
5.2,0,-3.0294729e-06,0
5.3,0,-2.0661992e-06,0
5.4,0,-1.528561e-06,0
5.5,0,-1.1539639e-06,0
5.6,0,-8.8034034e-07,0
5.7,0,-6.760229e-07,0
5.8,0,-5.1942529e-07,0
5.9,0,-3.9823098e-07,0
6,0,-3.0455276e-07,0
6.1,0,-2.323492e-07,0
6.2,0,-1.7697277e-07,0
6.3,0,-1.3460831e-07,0
6.4,0,-1.022936e-07,0
6.5,0,-7.7703858e-08,0
6.6,0,-5.9021194e-08,0
6.7,0,-4.4820201e-08,0
6.8,0,-3.402903e-08,0
6.9,0,-2.5834264e-08,0
7,0,-1.9617265e-08,0
7.1,0,-1.4895668e-08,0
7.2,0,-1.1314095e-08,0
7.3,0,-8.5927562e-09,0
7.4,0,-6.5269823e-09,0
7.5,0,-4.9575173e-09,0
7.6,0,-3.7650691e-09,0
7.7,0,-2.8591766e-09,0
7.8,0,-2.1718711e-09,0
7.9,0,-1.6489018e-09,0
8,0,-1.2526732e-09,0
8.1,0,-9.5126555e-10,0
8.2,0,-7.2211789e-10,0
8.3,0,-5.4864119e-10,0
8.4,0,-4.1636059e-10,0
8.5,0,-3.1640574e-10,0
8.6,0,-2.4021248e-10,0
8.7,0,-1.8244869e-10,0
8.8,0,-1.3853217e-10,0
8.9,0,-1.0517254e-10,0
9,0,-7.9907645e-11,0
9.1,0,-6.0660716e-11,0
9.2,0,-4.6064121e-11,0
9.3,0,-3.4974318e-11,0
9.4,0,-2.6555654e-11,0
9.5,0,-2.0160317e-11,0
9.6,0,-1.5300035e-11,0
9.7,0,-1.1620191e-11,0
9.8,0,-8.8144781e-12,0
9.9,0,-6.6927537e-12,0
10,0,-5.0813251e-12,0
10.1,0,-3.8531824e-12,0
10.2,0,-2.9262673e-12,0
10.3,0,-2.2190744e-12,0
10.4,0,-1.684608e-12,0
10.5,0,-1.278854e-12,0
10.6,0,-9.6938816e-13,0
10.7,0,-7.3603271e-13,0
10.8,0,-5.5795265e-13,0
10.9,0,-4.2356022e-13,0
11,0,-3.2140615e-13,0
11.1,0,-2.4358499e-13,0
11.2,0,-1.8489495e-13,0
11.3,0,-1.4019018e-13,0
11.4,0,-1.0636589e-13,0
11.5,0,-8.0637137e-14,0
11.6,0,-6.1137678e-14,0
11.7,0,-4.639543e-14,0
11.8,0,-3.5160107e-14,0
11.9,0,-2.6668313e-14,0
12,0,-2.021529e-14,0
12.1,0,-1.5323833e-14,0
12.2,0,-1.1625331e-14,0
12.3,0,-8.8081861e-15,0
12.4,0,-6.6790826e-15,0
12.5,0,-5.0613648e-15,0
12.6,0,-3.8351414e-15,0
12.7,0,-2.9090061e-15,0
12.8,0,-2.2030147e-15,0
12.9,0,-1.6709596e-15,0
13,0,-1.2657603e-15,0
13.1,0,-9.5979978e-16,0
13.2,0,-7.2748644e-16,0
13.3,0,-5.509631e-16,0
13.4,0,-4.1777486e-16,0
13.5,0,-3.1623656e-16,0
13.6,0,-2.3980116e-16,0
13.7,0,-1.8153591e-16,0
13.8,0,-1.376339e-16,0
13.9,0,-1.0426396e-16,0
14,0,-7.8963354e-17,0
14.1,0,-5.9863853e-17,0
14.2,0,-4.533385e-17,0
14.3,0,-3.4355966e-17,0
14.4,0,-2.6016916e-17,0
14.5,0,-1.9703551e-17,0
14.6,0,-1.4935879e-17,0
14.7,0,-1.1305985e-17,0
14.8,0,-8.5667911e-18,0
14.9,0,-6.4895984e-18,0
15,0,-4.9158928e-18,0
15.1,0,-3.7267742e-18,0
15.2,0,-2.8256384e-18,0
15.3,0,-2.1400551e-18,0
15.4,0,-1.6233498e-18,0
15.5,0,-1.2314877e-18,0
15.6,0,-9.3441528e-19,0
15.7,0,-7.0967471e-19,0
15.8,0,-5.3905376e-19,0
15.9,0,-4.1035149e-19,0
16,0,-3.1298373e-19,0
16.1,0,-2.3868156e-19,0
16.2,0,-1.8286177e-19,0
16.3,0,-1.4032399e-19,0
16.4,0,-1.0824739e-19,0
16.5,0,-8.3916472e-20,0
16.6,0,-6.5850192e-20,0
16.7,0,-5.1759015e-20,0
16.8,0,-4.122095e-20,0
16.9,0,-3.3061594e-20,0
17,0,-2.7346765e-20,0
17.1,0,-2.260593e-20,0
17.2,0,-1.9113677e-20,0
17.3,0,-1.6503873e-20,0
17.4,0,-1.4403842e-20,0
17.5,0,-1.3151921e-20,0
17.6,0,-1.1660387e-20,0
17.7,0,-1.1139714e-20,0
