time_s,conversion
0.1,0.11013917
0.2,0.079497873
0.3,0.061403498
0.4,0.052603452
0.5,0.026241366
0.6,0.098095625
0.7,0.13132359
0.8,0.15048363
0.9,0.16819599
1,0.17544888
1.1,0.18410707
1.2,0.19004925
1.3,0.20014201
1.4,0.19901813
1.5,0.19764504
1.6,0.20281844
1.7,0.20625935
1.8,0.21049702
1.9,0.21054412
2,0.20858021
2.1,0.20760422
2.2,0.20949991
2.3,0.21324327
2.4,0.21548409
2.5,0.21848668
2.6,0.22252391
2.7,0.22823952
2.8,0.22752102
2.9,0.2275153
3,0.22841937
3.1,0.23089735
3.2,0.23305372
3.3,0.23474746
3.4,0.2364674
3.5,0.23722952
3.6,0.23908525
3.7,0.24196211
3.8,0.24202042
3.9,0.2431862
4,0.24486499
4.1,0.24563641
4.2,0.24684638
4.3,0.2482928
4.4,0.24980283
4.5,0.25069772
4.6,0.25181603
4.7,0.25401361
4.8,0.25533536
4.9,0.25799017
5,0.2616301
5.1,0.10314559
5.2,0.1720159
5.3,0.2089228
5.4,0.18934487
5.5,0.19053056
5.6,0.17097368
5.7,0.19108551
5.8,0.20270677
5.9,0.18601151
6,0.21346117
6.1,0.18127332
6.2,0.22172227
6.3,0.19052646
6.4,0.20045927
6.5,0.21193615
6.6,0.20885547
6.7,0.22333217
6.8,0.18771305
6.9,0.22669249
7,0.18978488
7.1,0.20525566
7.2,0.20247628
7.3,0.19316075
7.4,0.22341352
7.5,0.1927647
7.6,0.23923295
7.7,0.19454581
7.8,0.25031405
7.9,0.20769973
8,0.22391192
8.1,0.20315322
8.2,0.2003611
8.3,0.23069614
8.4,0.19782395
8.5,0.23957849
8.6,0.20515165
8.7,0.22582201
8.8,0.20433947
8.9,0.24791617
9,0.20331465
9.1,0.25361791
9.2,0.22016046
9.3,0.21365378
9.4,0.21690675
9.5,0.20274314
9.6,0.24866766
9.7,0.20640468
9.8,0.23616086
9.9,0.20580125
10,0.24268005
10.1,0.21334418
10.2,0.22096505
10.3,0.23392405
10.4,0.21775324
10.5,0.24742895
10.6,0.21140925
10.7,0.25447925
10.8,0.22428718
10.9,0.2217888
11,0.2661546
11.1,0.21704684
11.2,0.26178223
11.3,0.22201332
11.4,0.2524488
11.5,0.21848365
11.6,0.27374789
11.7,0.23760495
11.8,0.23154452
11.9,0.2326785
12,0.22103235
12.1,0.22726285
12.2,0.26599689
12.3,0.2219734
12.4,0.27170524
12.5,0.23120788
12.6,0.25527217
12.7,0.22887896
12.8,0.23379919
12.9,0.25075259
13,0.22962332
13.1,0.27147851
13.2,0.22542044
13.3,0.27676417
13.4,0.23680002
13.5,0.25267363
13.6,0.2354685
13.7,0.23029666
13.8,0.25786997
13.9,0.23418465
14,0.27031329
14.1,0.22722911
14.2,0.27113667
14.3,0.22814253
14.4,0.27519785
14.5,0.23219343
14.6,0.23149386
14.7,0.27595218
14.8,0.22847943
14.9,0.28087778
15,0.23862249
15.1,0.2326062
15.2,0.27684676
15.3,0.23490181
15.4,0.27166732
15.5,0.23553504
15.6,0.23892406
15.7,0.26487614
15.8,0.23310262
15.9,0.25059512
16,0.24936233
16.1,0.23707931
16.2,0.23847057
16.3,0.25766511
16.4,0.24297404
16.5,0.26805853
16.6,0.23468707
16.7,0.277024
16.8,0.2433723
16.9,0.23336671
17,0.28889609
17.1,0.23878281
17.2,0.28155454
17.3,0.24073539
17.4,0.28238536
17.5,0.24283377
17.6,0.24309295
17.7,0.28262017
17.8,0.24082912
17.9,0.28750637
18,0.24847118
18.1,0.23892704
18.2,0.28450676
18.3,0.24083003
18.4,0.24732565
18.5,0.2660007
18.6,0.23786837
18.7,0.27560808
18.8,0.23138684
18.9,0.27324026
19,0.2322693
19.1,0.2257621
19.2,0.26619924
19.3,0.22022767
19.4,0.26767538
19.5,0.22783688
19.6,0.23689852
19.7,0.22654926
19.8,0.2145232
19.9,0.24185433
20,0.20665345
20.1,0.21010669
20.2,0.23717407
20.3,0.20567861
20.4,0.24557614
20.5,0.20401627
20.6,0.24168326
20.7,0.20186995
20.8,0.24047803
20.9,0.19994896
21,0.24452382
21.1,0.20077528
21.2,0.19629121
21.3,0.23610396
21.4,0.19302131
21.5,0.24390171
21.6,0.20657316
21.7,0.20981121
21.8,0.20420922
21.9,0.19110583
22,0.23018898
22.1,0.1892061
22.2,0.23660886
22.3,0.19438771
22.4,0.18579595
22.5,0.23805759
22.6,0.20324392
22.7,0.19617111
22.8,0.19760397
22.9,0.18185949
23,0.22786573
23.1,0.17995503
23.2,0.22054863
23.3,0.18151661
23.4,0.1824572
23.5,0.21150833
23.6,0.17614787
23.7,0.22014796
23.8,0.17918262
23.9,0.1797876
24,0.22985417
24.1,0.17308293
24.2,0.22470853
24.3,0.18469703
24.4,0.21048763
24.5,0.18089342
24.6,0.17372311
24.7,0.21924317
24.8,0.17057497
24.9,0.21747168
25,0.1758713
25.1,0.18757633
25.2,0.18350025
25.3,0.17225253
25.4,0.22083846
25.5,0.18550408
25.6,0.21658516
25.7,0.20204659
25.8,0.22952713
25.9,0.23295614
26,0.24316823
26.1,0.2296146
26.2,0.23114999
26.3,0.2460755
26.4,0.25150951
26.5,0.22345468
26.6,0.24864427
26.7,0.23304663
26.8,0.26565213
26.9,0.24703571
27,0.23832588
27.1,0.26983814
27.2,0.24672238
27.3,0.28428341
27.4,0.25358357
27.5,0.30539506
27.6,0.26456974
27.7,0.26509325
27.8,0.30600679
27.9,0.25275134
28,0.26619374
28.1,0.27866973
28.2,0.27184518
28.3,0.30474994
28.4,0.2593915
28.5,0.29806398
28.6,0.28129692
28.7,0.27850028
28.8,0.30647379
28.9,0.28174692
29,0.32136107
29.1,0.29069164
29.2,0.32509922
29.3,0.33299795
29.4,0.30200518
29.5,0.32499275
29.6,0.31711928
29.7,0.32782977
29.8,0.33470194
29.9,0.31312362
30,0.33909873
30.1,0.3305075
30.2,0.27981685
30.3,0.31006967
30.4,0.28985641
30.5,0.28294248
30.6,0.2808645
30.7,0.30490734
30.8,0.28167363
30.9,0.32289966
31,0.28513906
31.1,0.32630366
31.2,0.29150815
31.3,0.28840874
31.4,0.32795784
31.5,0.28849381
31.6,0.33235366
31.7,0.29389905
31.8,0.29545742
31.9,0.32282888
32,0.29330627
32.1,0.32630423
32.2,0.30000122
32.3,0.30308461
32.4,0.31589741
32.5,0.29957786
32.6,0.33575059
32.7,0.29568424
32.8,0.34165612
32.9,0.30348578
33,0.32575835
33.1,0.30253427
33.2,0.30745516
33.3,0.31982913
33.4,0.30399224
33.5,0.32790205
33.6,0.29758091
33.7,0.33415445
33.8,0.30635848
33.9,0.29922959
34,0.3415533
34.1,0.30008338
34.2,0.33922656
34.3,0.30539429
34.4,0.32889458
34.5,0.30152614
34.6,0.34061297
34.7,0.30477098
34.8,0.33074442
34.9,0.30293877
35,0.34856207
35.1,0.3130564
35.2,0.32119441
35.3,0.31446671
35.4,0.30705784
35.5,0.33270325
35.6,0.30396282
35.7,0.33452464
