mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.25913,0.302835,0.217527,1.39442,0.0436576,0.215472,0.302787,0.00198044,100.0,100.0,0,52.57
constant,200,1.00,200,0.30548,0.323226,0.262843,2.56497,0.0803059,0.225174,0.385786,0.0105466,200.0,200.0,0,50.35
constant,300,1.00,300,0.341032,0.340914,0.2936,3.74037,0.117106,0.223926,0.458138,0.0295533,300.0,300.0,0,50.37
constant,400,1.00,400,0.401114,0.436421,0.337048,4.92118,0.154076,0.247038,0.55519,0.0648669,400.0,400.0,0,50.14
constant,500,1.00,500,0.388554,0.391691,0.329196,6.10794,0.191232,0.197322,0.579786,0.115209,500.0,500.0,0,47.41
pulsed,100,0.20,500,0.230563,0.227821,0.203695,1.52605,0.0477786,0.182784,0.278341,0.0235642,500.0,124.6,0,48.99
pulsed,200,0.20,1000,0.260776,0.26407,0.233263,3.03566,0.0950427,0.165733,0.355819,0.127934,1000.0,249.2,0,54.42
pulsed,300,0.20,1500,0.286623,0.294988,0.256822,4.60374,0.144137,0.142486,0.43076,0.333872,1500.0,373.8,0,66.73
pulsed,400,0.20,2000,0.303977,0.352717,0.266935,6.24753,0.195602,0.108375,0.499579,0.641156,2000.0,498.3,0,73.86
pulsed,500,0.20,2500,0.310361,0.341931,0.282835,7.98406,0.24997,0.0603904,0.560331,1.06083,2500.0,622.9,0,83.29
