time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,104.72,9.0290098e-05,0.68077289
0.2,104.72,9.3051306e-05,0.70159196
0.3,104.72,9.0148266e-05,0.6797035
0.4,104.72,8.8638411e-05,0.66831944
0.5,104.72,8.8574123e-05,0.66783472
0.6,104.72,8.7355645e-05,0.65864759
0.7,104.72,8.7668738e-05,0.66100826
0.8,104.72,8.7811673e-05,0.66208597
0.9,104.72,8.5074386e-05,0.64144726
1,104.72,8.6736337e-05,0.6539781
1.1,104.72,8.6973118e-05,0.65576339
1.2,104.72,8.3921126e-05,0.63275186
1.3,104.72,8.3672281e-05,0.63087561
1.4,104.72,8.6198315e-05,0.64992151
1.5,104.72,8.6363981e-05,0.6511706
1.6,104.72,8.3797267e-05,0.63181798
1.7,104.72,8.3069497e-05,0.62633071
1.8,104.72,8.4317647e-05,0.63574157
1.9,104.72,8.6469048e-05,0.65196278
2,52.36,1.3935585e-05,0.052536042
2.1,0,-1.1252303e-05,0
2.2,0,-5.6067131e-06,0
2.3,0,-3.5454217e-06,0
2.4,0,-2.4360762e-06,0
2.5,0,-1.7619842e-06,0
2.6,0,-1.3269767e-06,0
2.7,0,-1.0177584e-06,0
2.8,0,-7.859095e-07,0
2.9,0,-6.0675038e-07,0
3,0,-4.670399e-07,0
3.1,0,-3.5698703e-07,0
3.2,0,-2.7116064e-07,0
3.3,0,-2.0577474e-07,0
3.4,0,-1.5620148e-07,0
3.5,0,-1.1857397e-07,0
3.6,0,-9.0000975e-08,0
3.7,0,-6.8317124e-08,0
3.8,0,-5.1861687e-08,0
3.9,0,-3.936587e-08,0
4,0,-2.9884579e-08,0
4.1,0,-2.2686292e-08,0
4.2,0,-1.7220928e-08,0
4.3,0,-1.3070999e-08,0
4.4,0,-9.9269158e-09,0
4.5,0,-7.5367426e-09,0
4.6,0,-5.7228219e-09,0
4.7,0,-4.3451641e-09,0
4.8,0,-3.2996436e-09,0
4.9,0,-2.5048036e-09,0
5,0,-1.9024845e-09,0
5.1,0,-1.4443675e-09,0
5.2,0,-1.096273e-09,0
5.3,0,-8.3244598e-10,0
5.4,0,-6.3167554e-10,0
5.5,0,-4.7974751e-10,0
5.6,0,-3.6407788e-10,0
5.7,0,-2.763853e-10,0
5.8,0,-2.0998778e-10,0
5.9,0,-1.5938701e-10,0
6,0,-1.2096482e-10,0
6.1,0,-9.1894529e-11,0
6.2,0,-6.9740881e-11,0
6.3,0,-5.2922422e-11,0
6.4,0,-4.0196645e-11,0
6.5,0,-3.0487232e-11,0
6.6,0,-2.3158466e-11,0
6.7,0,-1.7563613e-11,0
6.8,0,-1.3339028e-11,0
6.9,0,-1.0121945e-11,0
7,0,-7.6809529e-12,0
7.1,0,-5.8304238e-12,0
7.2,0,-4.4201711e-12,0
7.3,0,-3.3565351e-12,0
7.4,0,-2.5447106e-12,0
7.5,0,-1.9313037e-12,0
7.6,0,-1.4650958e-12,0
7.7,0,-1.11125e-12,0
7.8,0,-8.436407e-13,0
7.9,0,-6.3983294e-13,0
8,0,-4.8515774e-13,0
