mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.262485,0.302835,0.217527,1.39442,0.0436576,0.218828,0.306143,0.00198171,100.0,100.0,0,nan
constant,200,1.00,200,0.309158,0.323226,0.262843,2.56497,0.0803059,0.228852,0.389464,0.0105466,200.0,200.0,0,nan
constant,300,1.00,300,0.346296,0.340914,0.2936,3.74037,0.117106,0.22919,0.463403,0.0295531,300.0,300.0,0,nan
constant,400,1.00,400,0.407373,0.436421,0.337048,4.92118,0.154076,0.253298,0.561449,0.0648682,400.0,400.0,0,nan
constant,500,1.00,500,0.393293,0.391691,0.329196,6.10794,0.191232,0.202062,0.584525,0.115211,500.0,500.0,0,nan
pulsed,100,0.20,500,0.253965,0.237641,0.213559,1.22491,0.0383504,0.215615,0.292316,0.0228481,500.0,99.6,0,43.70
pulsed,200,0.20,1000,0.276558,0.265063,0.228861,2.44598,0.0765804,0.199977,0.353138,0.127955,1000.0,199.2,0,48.18
pulsed,300,0.20,1500,0.305709,0.294636,0.253381,3.72386,0.116589,0.18912,0.422298,0.326479,1500.0,298.8,0,56.44
pulsed,400,0.20,2000,0.319701,0.362347,0.266324,5.07217,0.158803,0.160898,0.478504,0.631267,2000.0,398.3,0,62.75
pulsed,500,0.20,2500,0.347422,0.335578,0.284523,6.50447,0.203647,0.143776,0.551069,1.05859,2500.0,497.9,0,69.12
