mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.262485,0.302835,0.217527,1.39442,0.0436576,0.218828,0.306143,0.00198171,100.0,100.0,0,nan
constant,200,1.00,200,0.309158,0.323226,0.262843,2.56497,0.0803059,0.228852,0.389464,0.0105466,200.0,200.0,0,nan
constant,300,1.00,300,0.346296,0.340914,0.2936,3.74037,0.117106,0.22919,0.463403,0.0295531,300.0,300.0,0,nan
constant,400,1.00,400,0.407373,0.436421,0.337048,4.92118,0.154076,0.253298,0.561449,0.0648682,400.0,400.0,0,nan
constant,500,1.00,500,0.393293,0.391691,0.329196,6.10794,0.191232,0.202062,0.584525,0.115211,500.0,500.0,0,nan
pulsed,100,0.30,333,0.268953,0.261354,0.225086,1.24143,0.0388677,0.230085,0.307821,0.0124358,333.3,99.7,0,44.22
pulsed,200,0.30,667,0.292985,0.314935,0.249978,2.43637,0.0762797,0.216706,0.369265,0.0719104,666.7,199.4,0,44.39
pulsed,300,0.30,1000,0.313804,0.34536,0.262135,3.6608,0.114615,0.19919,0.428419,0.191387,1000.0,299.2,0,50.40
pulsed,400,0.30,1333,0.339689,0.329432,0.28284,4.92076,0.154063,0.185626,0.493752,0.374888,1333.3,398.9,0,58.50
pulsed,500,0.30,1667,0.352117,0.341002,0.296521,6.22232,0.194813,0.157305,0.54693,0.626114,1666.7,498.6,0,66.26
