time_s,conversion
0.1,0.064508066
0.2,0.033595586
0.3,0.042150749
0.4,0.04059887
0.5,0.091954353
0.6,0.054866075
0.7,0.052722789
0.8,0.10892738
0.9,0.050830676
1,0.078423359
1.1,0.11595775
1.2,0.067340692
1.3,0.082726946
1.4,0.11358611
1.5,0.085638806
1.6,0.080504463
1.7,0.14810968
1.8,0.13682066
1.9,0.087645217
2,0.088542458
2.1,0.12346987
2.2,0.13292961
2.3,0.14578955
2.4,0.15423758
2.5,0.16786657
2.6,0.13401293
2.7,0.12819348
2.8,0.12390764
2.9,0.12723953
3,0.11613815
3.1,0.16420517
3.2,0.14395444
3.3,0.12822777
3.4,0.11619135
3.5,0.12030182
3.6,0.14776251
3.7,0.12220505
3.8,0.13287028
3.9,0.14268046
4,0.18061106
4.1,0.13028816
4.2,0.15005367
4.3,0.18595406
4.4,0.15234679
4.5,0.13886186
4.6,0.14233107
4.7,0.15330733
4.8,0.20433883
4.9,0.15185413
5,0.14853249
5.1,0.14466344
5.2,0.18799637
5.3,0.150813
5.4,0.14064236
5.5,0.17698349
5.6,0.13041416
5.7,0.17926388
5.8,0.12993929
5.9,0.12778091
6,0.19595652
6.1,0.15464952
6.2,0.13488188
6.3,0.19220448
6.4,0.14634573
6.5,0.15472041
6.6,0.14584569
6.7,0.13482158
6.8,0.16682111
6.9,0.13255133
7,0.17517713
7.1,0.13465017
7.2,0.14703384
7.3,0.17371431
7.4,0.14557045
7.5,0.19532257
7.6,0.14881945
7.7,0.20370624
7.8,0.16184193
7.9,0.17439212
8,0.16941859
8.1,0.1548474
8.2,0.20145524
8.3,0.15593911
8.4,0.21079419
8.5,0.16021407
8.6,0.14290707
8.7,0.20603748
8.8,0.15934369
8.9,0.21220298
9,0.16240022
9.1,0.15678494
9.2,0.19601346
9.3,0.16458157
9.4,0.16318349
9.5,0.18802515
9.6,0.15628089
9.7,0.21337845
9.8,0.17867704
9.9,0.16015819
10,0.20829978
10.1,0.15440269
10.2,0.20033511
10.3,0.19149779
10.4,0.15817424
10.5,0.15262151
10.6,0.20203895
10.7,0.17991999
10.8,0.16626252
10.9,0.18589654
11,0.17601649
11.1,0.19881038
11.2,0.2511651
11.3,0.19744397
11.4,0.24967387
11.5,0.19780592
11.6,0.23827848
11.7,0.20305744
11.8,0.25774272
11.9,0.2083184
12,0.21792493
12.1,0.23586773
12.2,0.21212057
12.3,0.25298529
12.4,0.21212289
12.5,0.26018285
12.6,0.21730572
12.7,0.23342131
12.8,0.26632863
12.9,0.22148921
13,0.22451449
13.1,0.22201389
13.2,0.23945646
