time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,34.9066,1.3962501e-05,0.035091608
0.2,34.9066,1.3186421e-05,0.033141104
0.3,34.9066,1.537313e-05,0.038636907
0.4,34.9066,1.8644301e-05,0.046858259
0.5,34.9066,1.8310976e-05,0.046020522
0.6,34.9066,1.7511592e-05,0.044011449
0.7,34.9066,1.684177e-05,0.042328003
0.8,34.9066,1.737316e-05,0.043663533
0.9,34.9066,1.7525566e-05,0.04404657
1,34.9066,1.7435783e-05,0.043820922
1.1,34.9066,1.7495603e-05,0.043971265
1.2,34.9066,1.742138e-05,0.043784722
1.3,34.9066,1.7445275e-05,0.043844777
1.4,34.9066,1.7392202e-05,0.04371139
1.5,34.9066,1.7388993e-05,0.043703324
1.6,34.9066,1.7361705e-05,0.043634743
1.7,34.9066,1.7328297e-05,0.043550778
1.8,34.9066,1.7319914e-05,0.04352971
1.9,34.9066,1.7273684e-05,0.043413522
2,34.9066,1.7274531e-05,0.043415651
2.1,34.9066,1.7231257e-05,0.043306891
2.2,34.9066,1.7231424e-05,0.043307311
2.3,34.9066,1.7221327e-05,0.043281935
2.4,34.9066,1.7195192e-05,0.04321625
2.5,34.9066,1.7253216e-05,0.04336208
2.6,34.9066,1.7172286e-05,0.043158681
2.7,34.9066,1.7256397e-05,0.043370075
2.8,34.9066,1.7202242e-05,0.043233968
2.9,34.9066,1.722466e-05,0.043290311
3,34.9066,1.7190433e-05,0.043204288
3.1,34.9066,1.711927e-05,0.043025436
3.2,34.9066,1.7231408e-05,0.04330727
3.3,34.9066,1.703175e-05,0.042805475
3.4,34.9066,1.6640312e-05,0.041821683
3.5,34.9066,1.6539603e-05,0.041568575
3.6,34.9066,1.6914695e-05,0.042511283
3.7,34.9066,1.6930203e-05,0.042550258
3.8,34.9066,1.6941571e-05,0.042578831
3.9,34.9066,1.6970068e-05,0.042650451
4,34.9066,1.6967422e-05,0.0426438
4.1,34.9066,1.6989886e-05,0.042700258
4.2,34.9066,1.6985624e-05,0.042689546
4.3,34.9066,1.7006421e-05,0.042741817
4.4,34.9066,1.700633e-05,0.042741587
4.5,34.9066,1.7004243e-05,0.042736341
4.6,34.9066,1.699744e-05,0.042719244
4.7,34.9066,1.7010593e-05,0.0427523
4.8,34.9066,1.6998801e-05,0.042722665
4.9,34.9066,1.6987631e-05,0.042694592
5,34.9066,1.6980455e-05,0.042676557
5.1,34.9066,1.6982862e-05,0.042682607
5.2,34.9066,1.6965709e-05,0.042639496
5.3,34.9066,1.6956942e-05,0.042617461
5.4,34.9066,1.6955907e-05,0.042614861
5.5,34.9066,1.6943553e-05,0.04258381
5.6,34.9066,1.6920268e-05,0.042525291
5.7,34.9066,1.6914495e-05,0.042510782
5.8,34.9066,1.691336e-05,0.042507927
5.9,34.9066,1.6892774e-05,0.042456191
6,17.4533,-3.2761902e-06,0.0041169838
6.1,0,-3.8552449e-06,0
6.2,0,-2.2176985e-06,0
6.3,0,-1.4936468e-06,0
6.4,0,-1.1126487e-06,0
6.5,0,-8.484082e-07,0
6.6,0,-6.5064819e-07,0
6.7,0,-4.9895473e-07,0
6.8,0,-3.819282e-07,0
6.9,0,-2.9172238e-07,0
7,0,-2.2238013e-07,0
7.1,0,-1.6928801e-07,0
7.2,0,-1.2872512e-07,0
7.3,0,-9.7806052e-08,0
7.4,0,-7.4270448e-08,0
7.5,0,-5.637726e-08,0
7.6,0,-4.2795878e-08,0
7.7,0,-3.2488326e-08,0
7.8,0,-2.466791e-08,0
7.9,0,-1.8729023e-08,0
8,0,-1.421965e-08,0
8.1,0,-1.0800732e-08,0
8.2,0,-8.2029787e-09,0
8.3,0,-6.2287816e-09,0
8.4,0,-4.7284303e-09,0
8.5,0,-3.5900059e-09,0
8.6,0,-2.7262918e-09,0
8.7,0,-2.0692095e-09,0
8.8,0,-1.5719131e-09,0
8.9,0,-1.1938146e-09,0
9,0,-9.060228e-10,0
9.1,0,-6.879084e-10,0
9.2,0,-5.2245743e-10,0
9.3,0,-3.9648198e-10,0
9.4,0,-3.0126375e-10,0
9.5,0,-2.2858001e-10,0
9.6,0,-1.7368978e-10,0
9.7,0,-1.3180987e-10,0
9.8,0,-1.0012536e-10,0
9.9,0,-7.5989592e-11,0
10,17.4533,1.9564638e-05,0.024585659
10.1,34.9066,1.3963159e-05,0.035093262
10.2,34.9066,1.3226436e-05,0.033241674
10.3,34.9066,1.5629234e-05,0.039280566
10.4,34.9066,1.9640336e-05,0.04936157
10.5,34.9066,1.7802448e-05,0.044742451
10.6,34.9066,1.7279652e-05,0.043428522
10.7,34.9066,1.6257652e-05,0.040859954
10.8,34.9066,1.5973336e-05,0.040145388
10.9,34.9066,1.7140705e-05,0.04307931
11,34.9066,1.702351e-05,0.042784766
11.1,34.9066,1.7143245e-05,0.043085693
11.2,34.9066,1.7118267e-05,0.043022916
11.3,34.9066,1.7123079e-05,0.043035011
11.4,34.9066,1.7127915e-05,0.043047165
11.5,34.9066,1.7124789e-05,0.043039307
11.6,34.9066,1.7124577e-05,0.043038775
11.7,34.9066,1.7100909e-05,0.042979291
11.8,34.9066,1.7118471e-05,0.04302343
11.9,34.9066,1.7092222e-05,0.042957458
12,34.9066,1.7082203e-05,0.042932277
12.1,34.9066,1.7071449e-05,0.042905249
12.2,34.9066,1.7063965e-05,0.042886439
12.3,34.9066,1.7057645e-05,0.042870556
12.4,34.9066,1.7047637e-05,0.042845403
12.5,34.9066,1.7019443e-05,0.042774544
12.6,34.9066,1.7013729e-05,0.042760183
12.7,34.9066,1.7010786e-05,0.042752787
12.8,34.9066,1.6989744e-05,0.042699902
12.9,34.9066,1.6974139e-05,0.042660683
13,34.9066,1.6970432e-05,0.042651366
13.1,34.9066,1.6951515e-05,0.042603823
13.2,34.9066,1.6937242e-05,0.042567949
13.3,34.9066,1.6926369e-05,0.042540624
13.4,34.9066,1.6901651e-05,0.042478501
13.5,34.9066,1.6893682e-05,0.042458471
13.6,34.9066,1.6889167e-05,0.042447125
13.7,34.9066,1.6872672e-05,0.042405669
13.8,34.9066,1.6847333e-05,0.042341984
13.9,34.9066,1.6836468e-05,0.042314677
14,34.9066,1.6829286e-05,0.042296628
14.1,34.9066,1.6805246e-05,0.042236207
14.2,34.9066,1.6801872e-05,0.042227729
14.3,34.9066,1.6776602e-05,0.042164218
14.4,34.9066,1.6762162e-05,0.042127927
14.5,34.9066,1.6751991e-05,0.042102363
14.6,34.9066,1.6729726e-05,0.042046406
14.7,34.9066,1.6726334e-05,0.042037881
14.8,34.9066,1.6704266e-05,0.041982417
14.9,34.9066,1.6688523e-05,0.041942851
15,34.9066,1.6680012e-05,0.04192146
15.1,34.9066,1.6657038e-05,0.041863721
15.2,34.9066,1.6653485e-05,0.041854792
15.3,34.9066,1.662884e-05,0.04179285
15.4,34.9066,1.6624317e-05,0.041781483
15.5,34.9066,1.6597777e-05,0.041714781
15.6,34.9066,1.6585595e-05,0.041684165
15.7,34.9066,1.6581086e-05,0.041672833
15.8,34.9066,1.6555504e-05,0.041608539
15.9,34.9066,1.6553159e-05,0.041602644
16,17.4533,-3.6045976e-06,0.0045296729
16.1,0,-3.7436202e-06,0
16.2,0,-2.156364e-06,0
16.3,0,-1.4726845e-06,0
16.4,0,-1.1006155e-06,0
16.5,0,-8.4247133e-07,0
16.6,0,-6.4787062e-07,0
16.7,0,-4.9771792e-07,0
16.8,0,-3.8129238e-07,0
16.9,0,-2.9131821e-07,0
17,0,-2.2205965e-07,0
17.1,0,-1.690168e-07,0
17.2,0,-1.2848256e-07,0
17.3,0,-9.760849e-08,0
17.4,0,-7.4120239e-08,0
17.5,0,-5.6278644e-08,0
17.6,0,-4.2724719e-08,0
17.7,0,-3.2431134e-08,0
17.8,0,-2.4615515e-08,0
17.9,0,-1.8687978e-08,0
18,0,-1.4188244e-08,0
18.1,0,-1.0775563e-08,0
18.2,0,-8.1862442e-09,0
18.3,0,-6.2159575e-09,0
18.4,0,-4.7204497e-09,0
18.5,0,-3.5854471e-09,0
18.6,0,-2.7228887e-09,0
18.7,0,-2.0672778e-09,0
18.8,0,-1.5699318e-09,0
18.9,0,-1.191683e-09,0
19,0,-9.0497075e-10,0
19.1,0,-6.8742722e-10,0
19.2,0,-5.2172164e-10,0
19.3,0,-3.962903e-10,0
19.4,0,-3.0084119e-10,0
19.5,0,-2.2843252e-10,0
19.6,0,-1.7354926e-10,0
19.7,0,-1.3169546e-10,0
19.8,0,-1.0004048e-10,0
19.9,0,-7.5978042e-11,0
20,17.4533,1.9563456e-05,0.024584174
20.1,34.9066,1.3964642e-05,0.035096988
20.2,34.9066,1.322579e-05,0.033240049
20.3,34.9066,1.5616176e-05,0.039247748
20.4,34.9066,1.9707146e-05,0.049529481
20.5,34.9066,1.7804437e-05,0.04474745
20.6,34.9066,1.7300649e-05,0.043481292
20.7,34.9066,1.640146e-05,0.041221382
20.8,34.9066,1.6152066e-05,0.040594587
20.9,34.9066,1.7125052e-05,0.043039968
21,34.9066,1.7050053e-05,0.042851474
21.1,34.9066,1.7107422e-05,0.042995661
21.2,34.9066,1.7118948e-05,0.043024628
21.3,34.9066,1.7125266e-05,0.043040506
21.4,34.9066,1.7142743e-05,0.043084431
21.5,34.9066,1.7122374e-05,0.043033239
21.6,34.9066,1.7130244e-05,0.043053017
21.7,34.9066,1.7120516e-05,0.043028567
21.8,34.9066,1.7121752e-05,0.043031675
21.9,34.9066,1.709444e-05,0.042963032
22,34.9066,1.710245e-05,0.042983163
22.1,34.9066,1.7089638e-05,0.042950964
22.2,34.9066,1.7078997e-05,0.04292422
22.3,34.9066,1.7062475e-05,0.042882695
22.4,34.9066,1.7063417e-05,0.042885064
22.5,34.9066,1.7043353e-05,0.042834637
22.6,34.9066,1.7030285e-05,0.042801793
22.7,34.9066,1.7026864e-05,0.042793196
22.8,34.9066,1.7011689e-05,0.042755055
22.9,34.9066,1.6995377e-05,0.042714058
23,34.9066,1.6987897e-05,0.042695261
23.1,34.9066,1.6965496e-05,0.04263896
23.2,34.9066,1.6964463e-05,0.042636364
23.3,34.9066,1.6939617e-05,0.042573919
23.4,34.9066,1.6926674e-05,0.042541389
23.5,34.9066,1.692025e-05,0.042525245
23.6,34.9066,1.6900173e-05,0.042474787
23.7,34.9066,1.6884863e-05,0.042436308
23.8,34.9066,1.6880544e-05,0.042425452
23.9,34.9066,1.6855729e-05,0.042363085
24,34.9066,1.6844171e-05,0.042334036
24.1,34.9066,1.6834588e-05,0.042309952
24.2,34.9066,1.681219e-05,0.04225366
24.3,34.9066,1.680775e-05,0.042242501
24.4,34.9066,1.6785434e-05,0.042186414
24.5,34.9066,1.6768716e-05,0.042144398
24.6,34.9066,1.6759199e-05,0.042120479
24.7,34.9066,1.6736234e-05,0.042062763
24.8,34.9066,1.6732991e-05,0.042054611
24.9,34.9066,1.6709145e-05,0.04199468
25,34.9066,1.6696102e-05,0.0419619
25.1,34.9066,1.6685935e-05,0.041936348
25.2,34.9066,1.6663909e-05,0.04188099
25.3,34.9066,1.6657288e-05,0.041864348
25.4,34.9066,1.6634449e-05,0.041806948
25.5,34.9066,1.6631598e-05,0.041799783
25.6,34.9066,1.6606902e-05,0.041737716
25.7,34.9066,1.6602236e-05,0.041725988
25.8,34.9066,1.6575973e-05,0.041659982
25.9,34.9066,1.6569181e-05,0.041642913
26,17.4533,-3.5862539e-06,0.0045066215
26.1,0,-3.7499132e-06,0
26.2,0,-2.1591787e-06,0
26.3,0,-1.4733377e-06,0
26.4,0,-1.1008458e-06,0
26.5,0,-8.4245806e-07,0
26.6,0,-6.477482e-07,0
26.7,0,-4.9759965e-07,0
26.8,0,-3.8120756e-07,0
26.9,0,-2.912637e-07,0
27,0,-2.2202402e-07,0
27.1,0,-1.6897907e-07,0
27.2,0,-1.2845182e-07,0
27.3,0,-9.7574527e-08,0
27.4,0,-7.4093473e-08,0
27.5,0,-5.6247354e-08,0
27.6,0,-4.2700122e-08,0
27.7,0,-3.2415297e-08,0
27.8,0,-2.4611833e-08,0
27.9,0,-1.8686498e-08,0
28,0,-1.418585e-08,0
28.1,0,-1.0775437e-08,0
28.2,0,-8.1833906e-09,0
28.3,0,-6.2151211e-09,0
28.4,0,-4.7198481e-09,0
28.5,0,-3.5841631e-09,0
28.6,0,-2.7219607e-09,0
28.7,0,-2.0666137e-09,0
28.8,0,-1.5694423e-09,0
28.9,0,-1.1912106e-09,0
29,0,-9.0478984e-10,0
29.1,0,-6.8729989e-10,0
29.2,0,-5.2180907e-10,0
29.3,0,-3.9614681e-10,0
29.4,0,-3.0099423e-10,0
29.5,0,-2.2836539e-10,0
29.6,0,-1.7352977e-10,0
29.7,0,-1.3168458e-10,0
29.8,0,-1.0003616e-10,0
29.9,0,-7.5925308e-11,0
30,17.4533,1.9564502e-05,0.024585489
30.1,34.9066,1.3963091e-05,0.035093091
30.2,34.9066,1.3227062e-05,0.033243247
30.3,34.9066,1.5630774e-05,0.039284436
30.4,34.9066,1.9627888e-05,0.049330284
30.5,34.9066,1.7801808e-05,0.044740841
30.6,34.9066,1.7278909e-05,0.043426654
30.7,34.9066,1.6238403e-05,0.040811576
30.8,34.9066,1.5967979e-05,0.040131927
30.9,34.9066,1.7144386e-05,0.043088561
31,34.9066,1.7019476e-05,0.042774626
31.1,34.9066,1.715183e-05,0.043107268
31.2,34.9066,1.7118747e-05,0.043024122
31.3,34.9066,1.7122855e-05,0.043034447
31.4,34.9066,1.7127172e-05,0.043045297
31.5,34.9066,1.7124607e-05,0.04303885
31.6,34.9066,1.7123818e-05,0.043036867
31.7,34.9066,1.7099436e-05,0.042975589
31.8,34.9066,1.7116191e-05,0.043017699
31.9,34.9066,1.7090123e-05,0.042952183
32,34.9066,1.7083376e-05,0.042935224
32.1,34.9066,1.7065268e-05,0.042889714
32.2,34.9066,1.7070727e-05,0.042903434
32.3,34.9066,1.7045783e-05,0.042840743
32.4,34.9066,1.7037931e-05,0.04282101
32.5,34.9066,1.7028681e-05,0.042797761
32.6,34.9066,1.7013481e-05,0.042759561
32.7,34.9066,1.6997966e-05,0.042720566
32.8,34.9066,1.6997331e-05,0.042718971
32.9,34.9066,1.6976997e-05,0.042667864
33,34.9066,1.6956961e-05,0.04261751
33.1,34.9066,1.6949391e-05,0.042598484
33.2,34.9066,1.6939824e-05,0.042574439
33.3,34.9066,1.6912175e-05,0.04250495
33.4,34.9066,1.6903234e-05,0.04248248
33.5,34.9066,1.6900261e-05,0.042475006
33.6,34.9066,1.6877275e-05,0.042417237
33.7,34.9066,1.6861983e-05,0.042378803
33.8,34.9066,1.6853644e-05,0.042357846
33.9,34.9066,1.6831402e-05,0.042301945
34,34.9066,1.6826529e-05,0.042289698
34.1,34.9066,1.6802229e-05,0.042228626
34.2,34.9066,1.6796735e-05,0.042214817
34.3,34.9066,1.6772095e-05,0.04215289
34.4,34.9066,1.67574e-05,0.042115958
34.5,34.9066,1.6752383e-05,0.042103348
34.6,34.9066,1.6726093e-05,0.042037274
34.7,34.9066,1.6722724e-05,0.042028806
34.8,34.9066,1.6696672e-05,0.041963331
34.9,34.9066,1.6684169e-05,0.041931909
35,34.9066,1.6679557e-05,0.041920316
35.1,34.9066,1.6656847e-05,0.04186324
35.2,34.9066,1.6643823e-05,0.041830507
35.3,34.9066,1.6627103e-05,0.041788484
35.4,34.9066,1.6621786e-05,0.041775124
35.5,34.9066,1.6597139e-05,0.041713178
35.6,34.9066,1.6592922e-05,0.04170258
35.7,34.9066,1.6566511e-05,0.041636202
35.8,34.9066,1.6560044e-05,0.041619947
35.9,34.9066,1.6542139e-05,0.041574948
36,17.4533,-3.6038919e-06,0.0045287861
36.1,0,-3.7424089e-06,0
36.2,0,-2.1562223e-06,0
36.3,0,-1.4723539e-06,0
36.4,0,-1.1002625e-06,0
36.5,0,-8.4244576e-07,0
36.6,0,-6.4782657e-07,0
36.7,0,-4.9763984e-07,0
36.8,0,-3.8128481e-07,0
36.9,0,-2.9131442e-07,0
37,0,-2.2209783e-07,0
37.1,0,-1.6901721e-07,0
37.2,0,-1.2846649e-07,0
37.3,0,-9.7586374e-08,0
37.4,0,-7.4101692e-08,0
37.5,0,-5.6262562e-08,0
37.6,0,-4.2710856e-08,0
37.7,0,-3.242607e-08,0
37.8,0,-2.4618127e-08,0
37.9,0,-1.8690733e-08,0
38,0,-1.4191142e-08,0
38.1,0,-1.0777451e-08,0
38.2,0,-8.1829507e-09,0
38.3,0,-6.2138642e-09,0
38.4,0,-4.7190693e-09,0
38.5,0,-3.5837228e-09,0
38.6,0,-2.7216197e-09,0
38.7,0,-2.0664738e-09,0
38.8,0,-1.569477e-09,0
38.9,0,-1.1913422e-09,0
39,0,-9.0482233e-10,0
39.1,0,-6.8735198e-10,0
39.2,0,-5.2171824e-10,0
39.3,0,-3.9608224e-10,0
39.4,0,-3.009022e-10,0
