time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,39.2699,1.6261656e-05,0.045978739
0.2,39.2699,1.5841371e-05,0.044790411
0.3,39.2699,1.9051172e-05,0.053865909
0.4,39.2699,2.229469e-05,0.063036739
0.5,39.2699,2.2014856e-05,0.062245525
0.6,39.2699,2.044301e-05,0.057801236
0.7,39.2699,2.1173314e-05,0.059866123
0.8,39.2699,2.0910006e-05,0.059121638
0.9,39.2699,2.091962e-05,0.059148821
1,39.2699,2.0566333e-05,0.058149925
1.1,39.2699,2.0224883e-05,0.057184499
1.2,39.2699,2.0553518e-05,0.058113691
1.3,39.2699,2.0826515e-05,0.058885572
1.4,39.2699,2.0960932e-05,0.059265626
1.5,39.2699,2.0942835e-05,0.059214459
1.6,39.2699,2.0959607e-05,0.059261881
1.7,39.2699,2.0843586e-05,0.058933838
1.8,39.2699,2.0981231e-05,0.059323021
1.9,39.2699,2.0829424e-05,0.058893796
2,19.63495,-2.0675456e-06,0.0029229231
2.1,0,-4.5520867e-06,0
2.2,0,-2.4742473e-06,0
2.3,0,-1.6651409e-06,0
2.4,0,-1.2297831e-06,0
2.5,19.63495,2.1071975e-05,0.029789797
2.6,39.2699,1.5501942e-05,0.043830698
2.7,39.2699,1.7748767e-05,0.050183446
2.8,39.2699,2.2855906e-05,0.064623538
2.9,39.2699,2.0539496e-05,0.058074044
3,39.2699,2.0525656e-05,0.058034914
3.1,39.2699,2.1069285e-05,0.059571988
3.2,39.2699,2.1047987e-05,0.059511768
3.3,39.2699,2.0902824e-05,0.05910133
3.4,39.2699,2.0759319e-05,0.058695579
3.5,39.2699,2.0624595e-05,0.058314658
3.6,39.2699,1.9720005e-05,0.055756988
3.7,39.2699,2.0446855e-05,0.057812108
3.8,39.2699,2.0430519e-05,0.057765919
3.9,39.2699,2.0384037e-05,0.057634496
4,39.2699,2.0425568e-05,0.05775192
4.1,39.2699,2.0387268e-05,0.057643631
4.2,39.2699,2.0408521e-05,0.057703723
4.3,39.2699,2.0366031e-05,0.057583583
4.4,39.2699,2.0385248e-05,0.057637919
4.5,19.63495,-2.5336123e-06,0.0035818092
4.6,0,-4.4602451e-06,0
4.7,0,-2.4529857e-06,0
4.8,0,-1.6498122e-06,0
4.9,0,-1.2272221e-06,0
5,19.63495,2.1069178e-05,0.029785843
5.1,39.2699,1.5508914e-05,0.043850413
5.2,39.2699,1.7198322e-05,0.048627099
5.3,39.2699,2.3185607e-05,0.065555747
5.4,39.2699,2.1954905e-05,0.062076019
5.5,39.2699,2.0799972e-05,0.058810524
5.6,39.2699,2.064553e-05,0.058373847
5.7,39.2699,2.0961361e-05,0.05926684
5.8,39.2699,2.1114885e-05,0.05970092
5.9,39.2699,2.1058325e-05,0.059541
6,39.2699,2.1100935e-05,0.059661475
6.1,39.2699,2.1108368e-05,0.059682491
6.2,39.2699,2.1116543e-05,0.059705606
6.3,39.2699,2.1187895e-05,0.059907349
6.4,39.2699,2.1064747e-05,0.059559156
6.5,39.2699,2.1057765e-05,0.059539416
6.6,39.2699,2.0803031e-05,0.058819171
6.7,39.2699,2.0713672e-05,0.058566514
6.8,39.2699,2.0590819e-05,0.058219156
6.9,39.2699,2.0613478e-05,0.058283224
7,19.63495,-2.3965511e-06,0.0033880435
7.1,0,-4.677562e-06,0
7.2,0,-2.519772e-06,0
7.3,0,-1.6895393e-06,0
7.4,0,-1.2345513e-06,0
7.5,19.63495,2.1073985e-05,0.029792638
7.6,39.2699,1.5508687e-05,0.04384977
7.7,39.2699,1.9011032e-05,0.053752415
7.8,39.2699,2.1584577e-05,0.061028942
7.9,39.2699,2.0985408e-05,0.059334831
8,39.2699,2.133232e-05,0.060315703
8.1,39.2699,2.1236949e-05,0.060046046
8.2,39.2699,2.125404e-05,0.060094371
8.3,39.2699,2.1201318e-05,0.059945301
8.4,39.2699,2.1193682e-05,0.059923712
8.5,39.2699,2.1212975e-05,0.059978261
8.6,39.2699,2.0962107e-05,0.059268948
8.7,39.2699,2.0134867e-05,0.056929984
8.8,39.2699,2.0252971e-05,0.057263913
8.9,39.2699,2.0374298e-05,0.05760696
9,39.2699,2.0457549e-05,0.057842345
9.1,39.2699,2.0428356e-05,0.057759805
9.2,39.2699,2.0482748e-05,0.057913594
9.3,39.2699,2.0475168e-05,0.057892161
9.4,39.2699,2.0516836e-05,0.058009974
9.5,19.63495,-2.3850795e-06,0.0033718259
9.6,0,-4.5116564e-06,0
9.7,0,-2.4852077e-06,0
9.8,0,-1.665716e-06,0
9.9,0,-1.2365138e-06,0
10,19.63495,2.1059671e-05,0.029772402
10.1,39.2699,1.5515858e-05,0.043870045
10.2,39.2699,1.7492176e-05,0.049457953
10.3,39.2699,2.3118593e-05,0.065366269
10.4,39.2699,2.051504e-05,0.058004898
10.5,39.2699,2.0876096e-05,0.05902576
10.6,39.2699,2.0008861e-05,0.056573709
10.7,39.2699,2.0668362e-05,0.058438405
10.8,39.2699,2.0591242e-05,0.058220352
10.9,39.2699,2.0604031e-05,0.058256512
11,39.2699,2.0610427e-05,0.058274597
11.1,39.2699,2.0593312e-05,0.058226206
11.2,39.2699,2.058294e-05,0.058196881
11.3,39.2699,2.0577821e-05,0.058182407
11.4,39.2699,2.0562161e-05,0.058138128
11.5,39.2699,2.0545808e-05,0.058091892
11.6,39.2699,2.0539956e-05,0.058075346
11.7,39.2699,2.051984e-05,0.058018468
11.8,39.2699,2.0514051e-05,0.058002099
11.9,39.2699,2.04937e-05,0.057944559
12,19.63495,-2.3825986e-06,0.0033683188
12.1,0,-4.4669876e-06,0
12.2,0,-2.4670835e-06,0
12.3,0,-1.6450165e-06,0
12.4,0,-1.2212311e-06,0
12.5,19.63495,2.1076756e-05,0.029796556
12.6,39.2699,1.5508724e-05,0.043849875
12.7,39.2699,1.8557437e-05,0.052469907
12.8,39.2699,2.2332074e-05,0.063142438
12.9,39.2699,2.2163287e-05,0.062665203
13,39.2699,2.1582073e-05,0.061021861
13.1,39.2699,2.0815736e-05,0.058855093
13.2,39.2699,2.1124078e-05,0.059726911
13.3,39.2699,2.1029848e-05,0.059460482
13.4,39.2699,2.112683e-05,0.059734693
13.5,39.2699,2.1117028e-05,0.059706978
13.6,39.2699,2.1073292e-05,0.059583316
13.7,39.2699,2.1005718e-05,0.059392255
13.8,39.2699,2.0864393e-05,0.05899267
13.9,39.2699,2.0809353e-05,0.058837046
14,39.2699,2.0770348e-05,0.058726762
14.1,39.2699,2.0778415e-05,0.058749571
14.2,39.2699,2.0909365e-05,0.059119823
14.3,39.2699,2.0822568e-05,0.058874412
14.4,39.2699,2.101731e-05,0.059425031
14.5,19.63495,-2.3457825e-06,0.0033162712
14.6,0,-4.5520175e-06,0
14.7,0,-2.4880448e-06,0
14.8,0,-1.6726127e-06,0
14.9,0,-1.227257e-06,0
15,19.63495,2.1075581e-05,0.029794894
15.1,39.2699,1.5502532e-05,0.043832368
15.2,39.2699,1.9422549e-05,0.054915951
15.3,39.2699,2.2843709e-05,0.064589052
15.4,39.2699,2.1338403e-05,0.060332901
15.5,39.2699,2.0073715e-05,0.056757079
15.6,39.2699,2.0058579e-05,0.056714284
15.7,39.2699,2.019603e-05,0.057102918
