time_s,conversion
0.1,0.060444016
0.2,0.037960244
0.3,0.057082695
0.4,0.081760729
0.5,0.073651484
0.6,0.038782837
0.7,0.067654167
0.8,0.11701409
0.9,0.065733778
1,0.059400751
1.1,0.086988258
1.2,0.064447949
1.3,0.067439108
1.4,0.10392128
1.5,0.13174524
1.6,0.095291528
1.7,0.081828996
1.8,0.07677827
1.9,0.081182614
2,0.12695189
2.1,0.09289985
2.2,0.089989103
2.3,0.11029848
2.4,0.078317786
2.5,0.13204185
2.6,0.076418391
2.7,0.12416039
2.8,0.077999737
2.9,0.13538232
3,0.14264855
3.1,0.14048637
3.2,0.11324629
3.3,0.14110723
3.4,0.13107913
3.5,0.15191357
3.6,0.13555394
3.7,0.12354698
3.8,0.11504185
3.9,0.11836103
4,0.13038349
4.1,0.17929694
4.2,0.16364373
4.3,0.18713221
4.4,0.18236835
4.5,0.16591668
4.6,0.13270759
4.7,0.11523322
4.8,0.16647085
4.9,0.11926947
5,0.15619196
5.1,0.12595461
5.2,0.15948531
5.3,0.11666525
5.4,0.15585378
5.5,0.12650181
5.6,0.13480338
5.7,0.14790943
5.8,0.17196831
5.9,0.18012116
6,0.16495319
6.1,0.15647853
6.2,0.16003358
6.3,0.18019619
6.4,0.17094663
6.5,0.21192024
6.6,0.18897845
6.7,0.16086842
6.8,0.16765968
6.9,0.18087318
7,0.21395564
7.1,0.16388479
7.2,0.19462182
7.3,0.15945783
7.4,0.16223452
7.5,0.20767194
7.6,0.15894121
7.7,0.18258998
7.8,0.18180114
7.9,0.16107105
8,0.20327053
8.1,0.1826748
8.2,0.17036173
8.3,0.21183635
8.4,0.19582958
8.5,0.19043269
8.6,0.21708297
8.7,0.22494494
8.8,0.24190558
8.9,0.24232518
9,0.23908209
9.1,0.25559031
9.2,0.24946048
9.3,0.25271728
9.4,0.27081702
9.5,0.21173709
9.6,0.26501266
9.7,0.20302061
9.8,0.21290666
9.9,0.19290055
10,0.18824689
10.1,0.2206091
10.2,0.20611259
10.3,0.22675941
10.4,0.22130497
10.5,0.21238182
10.6,0.21515713
10.7,0.2175921
10.8,0.25246801
10.9,0.23780816
11,0.21763482
11.1,0.21984194
11.2,0.22614006
11.3,0.24128779
11.4,0.22519297
11.5,0.22679467
11.6,0.22789459
11.7,0.22872015
11.8,0.23316707
11.9,0.23449097
12,0.23516497
12.1,0.23434587
12.2,0.25501606
12.3,0.22407613
12.4,0.22871435
12.5,0.26259655
12.6,0.22006869
