time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,39.2699,1.6261656e-05,0.045978739
0.2,39.2699,1.5841371e-05,0.044790411
0.3,39.2699,1.9051172e-05,0.053865909
0.4,39.2699,2.229469e-05,0.063036739
0.5,39.2699,2.2014856e-05,0.062245525
0.6,39.2699,2.044301e-05,0.057801236
0.7,39.2699,2.1173314e-05,0.059866123
0.8,39.2699,2.0910006e-05,0.059121638
0.9,39.2699,2.091962e-05,0.059148821
1,39.2699,2.0566333e-05,0.058149925
1.1,39.2699,2.0224883e-05,0.057184499
1.2,39.2699,2.0553518e-05,0.05811369
1.3,39.2699,2.0826516e-05,0.058885573
1.4,39.2699,2.0960932e-05,0.059265626
1.5,39.2699,2.0942835e-05,0.059214459
1.6,39.2699,2.0959607e-05,0.059261881
1.7,39.2699,2.0843586e-05,0.058933838
1.8,39.2699,2.0981231e-05,0.059323021
1.9,39.2699,2.0829424e-05,0.058893796
2,39.2699,2.1017302e-05,0.05942501
2.1,39.2699,2.0789967e-05,0.058782236
2.2,39.2699,2.0947499e-05,0.059227647
2.3,39.2699,2.0603212e-05,0.058254199
2.4,39.2699,2.0648403e-05,0.058381972
2.5,39.2699,2.0335258e-05,0.057496576
2.6,39.2699,2.0460834e-05,0.057851633
2.7,39.2699,2.0324856e-05,0.057467164
2.8,39.2699,2.0432951e-05,0.057772795
2.9,39.2699,2.0443544e-05,0.057802748
3,39.2699,2.0443149e-05,0.05780163
3.1,39.2699,2.0482814e-05,0.057913779
3.2,39.2699,2.0478954e-05,0.057902867
3.3,39.2699,2.0486477e-05,0.057924138
3.4,39.2699,2.0496191e-05,0.057951604
3.5,39.2699,2.048736e-05,0.057926632
3.6,39.2699,2.0497254e-05,0.057954609
3.7,39.2699,2.0478291e-05,0.057900992
3.8,39.2699,2.0482452e-05,0.057912757
3.9,39.2699,2.0469907e-05,0.057877287
4,19.63495,-2.412692e-06,0.0034108622
4.1,0,-4.5065598e-06,0
4.2,0,-2.4720172e-06,0
4.3,0,-1.6580203e-06,0
4.4,0,-1.232916e-06,0
4.5,0,-9.3623634e-07,0
4.6,0,-7.1623985e-07,0
4.7,0,-5.4896888e-07,0
4.8,0,-4.2043691e-07,0
4.9,0,-3.214175e-07,0
5,19.63495,2.1763771e-05,0.0307678
5.1,39.2699,1.6053602e-05,0.045390481
5.2,39.2699,1.5839599e-05,0.044785402
5.3,39.2699,2.1753203e-05,0.061505719
5.4,39.2699,2.0254711e-05,0.057268835
5.5,39.2699,2.0732349e-05,0.058619323
5.6,39.2699,2.0657924e-05,0.058408893
5.7,39.2699,2.1003422e-05,0.059385764
5.8,39.2699,2.084138e-05,0.058927601
5.9,39.2699,2.0833629e-05,0.058905685
6,39.2699,2.0756021e-05,0.058686255
6.1,39.2699,2.0755157e-05,0.058683812
6.2,39.2699,2.0763727e-05,0.058708043
6.3,39.2699,2.0061302e-05,0.056721982
6.4,39.2699,2.0394007e-05,0.057662683
6.5,39.2699,2.0267565e-05,0.057305179
6.6,39.2699,2.0481298e-05,0.057909494
6.7,39.2699,2.0438885e-05,0.057789573
6.8,39.2699,2.0490324e-05,0.057935015
6.9,39.2699,2.0493466e-05,0.057943898
7,39.2699,2.0482842e-05,0.05791386
7.1,39.2699,2.0506106e-05,0.057979638
7.2,39.2699,2.0504074e-05,0.057973891
7.3,39.2699,2.052254e-05,0.058026101
7.4,39.2699,2.0507828e-05,0.057984506
7.5,39.2699,2.0505025e-05,0.057976581
7.6,39.2699,2.0496012e-05,0.057951097
7.7,39.2699,2.0493405e-05,0.057943726
7.8,39.2699,2.0487564e-05,0.057927211
7.9,39.2699,2.046391e-05,0.057860331
8,39.2699,2.0470118e-05,0.057877884
8.1,39.2699,2.0462057e-05,0.057855092
8.2,39.2699,2.0449322e-05,0.057819085
8.3,39.2699,2.0431473e-05,0.057768616
8.4,39.2699,2.0424891e-05,0.057750005
8.5,39.2699,2.0417092e-05,0.057727957
8.6,39.2699,2.0393529e-05,0.057661332
8.7,39.2699,2.0381838e-05,0.057628277
8.8,39.2699,2.0367714e-05,0.057588343
8.9,39.2699,2.0355799e-05,0.057554654
9,19.63495,-2.5310838e-06,0.0035782346
9.1,0,-4.4588547e-06,0
9.2,0,-2.4513742e-06,0
9.3,0,-1.6481121e-06,0
9.4,0,-1.2255277e-06,0
9.5,0,-9.3147727e-07,0
9.6,0,-7.1333555e-07,0
9.7,0,-5.4708192e-07,0
9.8,0,-4.1908386e-07,0
9.9,0,-3.2044405e-07,0
10,19.63495,2.1764527e-05,0.030768869
10.1,39.2699,1.6046072e-05,0.045369189
10.2,39.2699,1.586384e-05,0.04485394
10.3,39.2699,2.1430149e-05,0.060592307
10.4,39.2699,2.1241805e-05,0.060059776
10.5,39.2699,2.0104792e-05,0.056844947
10.6,39.2699,2.0120099e-05,0.056888229
10.7,39.2699,2.0432731e-05,0.057772174
10.8,39.2699,2.0597385e-05,0.058237722
10.9,39.2699,2.0649545e-05,0.058385201
11,39.2699,2.0639191e-05,0.058355927
11.1,39.2699,2.060774e-05,0.058266999
11.2,39.2699,2.059781e-05,0.058238922
11.3,39.2699,2.0602478e-05,0.058252122
11.4,39.2699,2.0587969e-05,0.058211099
11.5,39.2699,2.0584143e-05,0.058200282
11.6,39.2699,2.0576397e-05,0.058178379
11.7,39.2699,2.0573919e-05,0.058171374
11.8,39.2699,2.0554147e-05,0.05811547
11.9,39.2699,2.0547816e-05,0.058097569
12,39.2699,2.0536298e-05,0.058065002
12.1,39.2699,2.0512677e-05,0.057998216
12.2,39.2699,2.0513019e-05,0.057999183
12.3,39.2699,2.0492028e-05,0.057939833
12.4,39.2699,2.0466867e-05,0.057868691
12.5,39.2699,2.0449555e-05,0.057819742
12.6,39.2699,2.0436198e-05,0.057781977
12.7,39.2699,2.0421802e-05,0.057741273
12.8,39.2699,2.040954e-05,0.057706602
12.9,39.2699,2.0395409e-05,0.05766665
13,39.2699,2.0386605e-05,0.057641755
13.1,39.2699,2.0368063e-05,0.05758933
13.2,39.2699,2.0346966e-05,0.05752968
13.3,39.2699,2.0326433e-05,0.057471622
13.4,39.2699,2.0309175e-05,0.057422827
13.5,39.2699,2.0292729e-05,0.057376327
13.6,39.2699,2.0280265e-05,0.057341087
13.7,39.2699,2.0262908e-05,0.05729201
13.8,39.2699,2.0245777e-05,0.057243574
13.9,39.2699,2.0227967e-05,0.057193216
14,19.63495,-2.6469387e-06,0.0037420207
14.1,0,-4.4140905e-06,0
14.2,0,-2.4312205e-06,0
14.3,0,-1.6389741e-06,0
14.4,0,-1.2189448e-06,0
14.5,0,-9.2801012e-07,0
14.6,0,-7.1140991e-07,0
14.7,0,-5.4582267e-07,0
14.8,0,-4.1830655e-07,0
14.9,0,-3.1987096e-07,0
15,19.63495,2.176224e-05,0.030765635
15.1,39.2699,1.6067111e-05,0.045428677
15.2,39.2699,1.5852144e-05,0.044820872
15.3,39.2699,2.169979e-05,0.061354698
15.4,39.2699,2.1129572e-05,0.059742444
15.5,39.2699,1.8810156e-05,0.053184451
15.6,39.2699,1.9929744e-05,0.056350012
15.7,39.2699,2.0519205e-05,0.058016674
15.8,39.2699,2.0574137e-05,0.058171991
