time_s,conversion
0.1,0.060443918
0.2,0.041447504
0.3,0.057922601
0.4,0.094520312
0.5,0.07830354
0.6,0.039245673
0.7,0.06288003
0.8,0.12300265
0.9,0.065208569
1,0.059913303
1.1,0.087440861
1.2,0.064278867
1.3,0.068217287
1.4,0.09956821
1.5,0.13281239
1.6,0.097022031
1.7,0.0815479
1.8,0.077685341
1.9,0.082467762
2,0.1458651
2.1,0.14132111
2.2,0.14252481
2.3,0.13441906
2.4,0.10707177
2.5,0.11988891
2.6,0.10969895
2.7,0.1164974
2.8,0.1510383
2.9,0.14519768
3,0.17079981
3.1,0.18320517
3.2,0.14660414
3.3,0.15017041
3.4,0.15435775
3.5,0.16499537
3.6,0.17115199
3.7,0.16327253
3.8,0.15246158
3.9,0.14694621
4,0.1640623
4.1,0.12906055
4.2,0.13851565
4.3,0.06689966
4.4,0.10292144
4.5,0.16434485
4.6,0.11317502
4.7,0.16938941
4.8,0.1177191
4.9,0.12972464
5,0.15215966
5.1,0.12219707
5.2,0.1148984
5.3,0.168307
5.4,0.11738749
5.5,0.14269123
5.6,0.11475891
5.7,0.13670605
5.8,0.1477705
5.9,0.19097274
6,0.13097109
6.1,0.18101037
6.2,0.1377658
6.3,0.13349885
6.4,0.15694313
6.5,0.16277678
6.6,0.16935162
6.7,0.19547079
6.8,0.19439322
6.9,0.20618179
7,0.18520982
7.1,0.18564993
7.2,0.21799069
7.3,0.22210563
7.4,0.22197933
7.5,0.19963029
7.6,0.18937217
7.7,0.24493265
7.8,0.18717432
7.9,0.18438685
8,0.19539337
8.1,0.22130543
8.2,0.20189583
8.3,0.19621355
8.4,0.20443967
8.5,0.21683564
8.6,0.2014471
8.7,0.19592879
8.8,0.19746559
8.9,0.1991509
9,0.20070702
9.1,0.1995013
9.2,0.23856253
9.3,0.20215093
9.4,0.19477515
9.5,0.23806981
9.6,0.18715345
9.7,0.22393227
9.8,0.18217897
9.9,0.18167874
10,0.22775808
10.1,0.18112146
10.2,0.20628156
10.3,0.2289863
10.4,0.17337061
10.5,0.2237805
10.6,0.23012502
10.7,0.22969083
10.8,0.21826695
10.9,0.21559259
11,0.21781228
11.1,0.21314242
11.2,0.21506262
11.3,0.21481096
11.4,0.21851897
11.5,0.22915266
11.6,0.25953018
11.7,0.2827447
11.8,0.22958848
11.9,0.25566889
12,0.27687218
12.1,0.25706121
12.2,0.28570719
12.3,0.271008
12.4,0.24214662
12.5,0.24027991
12.6,0.23851081
12.7,0.23874265
12.8,0.24565869
12.9,0.2562398
13,0.28231148
13.1,0.26446864
13.2,0.25072769
13.3,0.24716365
13.4,0.24875608
13.5,0.24997705
13.6,0.25158926
13.7,0.25229853
13.8,0.25281669
13.9,0.25399421
14,0.25612312
14.1,0.25990246
14.2,0.27523902
14.3,0.24872829
14.4,0.28975213
14.5,0.24043438
14.6,0.27203067
14.7,0.23918326
14.8,0.24203918
14.9,0.26714014
15,0.2300769
15.1,0.26122314
15.2,0.23004771
15.3,0.26413304
15.4,0.24887238
15.5,0.28038526
15.6,0.30960765
15.7,0.30147235
15.8,0.30608201
15.9,0.30168322
16,0.30162976
16.1,0.31038948
16.2,0.3099335
16.3,0.29332834
16.4,0.29452015
16.5,0.30370706
16.6,0.31701302
16.7,0.3072607
16.8,0.29248744
16.9,0.27407438
17,0.27522902
17.1,0.28565858
17.2,0.32356818
17.3,0.3036252
17.4,0.32813068
17.5,0.32050823
17.6,0.31573554
17.7,0.3312327
17.8,0.32312282
17.9,0.30999547
18,0.33790147
18.1,0.3360922
18.2,0.32693063
18.3,0.30242384
18.4,0.33282215
18.5,0.30800525
18.6,0.29364292
18.7,0.29712371
18.8,0.32077241
18.9,0.3484328
19,0.31509461
19.1,0.31735258
19.2,0.28467012
19.3,0.29295289
19.4,0.31941951
19.5,0.28237197
19.6,0.28847665
19.7,0.28493837
19.8,0.27157005
19.9,0.31630116
20,0.27261888
20.1,0.27141746
20.2,0.28640855
20.3,0.31744772
20.4,0.27391131
20.5,0.30323006
20.6,0.34512552
20.7,0.36068259
20.8,0.356257
20.9,0.31274105
21,0.31060474
21.1,0.30005854
21.2,0.30055876
21.3,0.30144505
21.4,0.31955691
21.5,0.30933339
21.6,0.30948966
21.7,0.32748493
21.8,0.31486559
21.9,0.31734812
22,0.36136567
22.1,0.35467401
22.2,0.34907571
22.3,0.32474378
22.4,0.35570022
22.5,0.35156026
22.6,0.33192378
22.7,0.31683543
22.8,0.3132096
22.9,0.32093375
23,0.32669603
23.1,0.36402726
23.2,0.36534714
23.3,0.34000134
