time_s,omega_cmd_rad_s
0.000000,39.269908
3.975000,39.269908
4.025000,0.000000
4.975000,0.000000
5.025000,39.269908
8.975000,39.269908
9.025000,0.000000
9.975000,0.000000
10.025000,39.269908
13.975000,39.269908
14.025000,0.000000
14.975000,0.000000
15.025000,39.269908
18.975000,39.269908
19.025000,0.000000
19.975000,0.000000
20.025000,39.269908
23.975000,39.269908
24.025000,0.000000
24.975000,0.000000
25.025000,39.269908
28.975000,39.269908
29.025000,0.000000
29.975000,0.000000
30.025000,39.269908
33.975000,39.269908
34.025000,0.000000
34.975000,0.000000
35.025000,39.269908
38.975000,39.269908
39.025000,0.000000
39.975000,0.000000
40.025000,39.269908
43.975000,39.269908
44.025000,0.000000
44.975000,0.000000
45.025000,39.269908
48.975000,39.269908
49.025000,0.000000
51.000000,0.000000
