time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,10.472,1.8027222e-05,0.013592237
0.2,10.472,1.3312967e-05,0.010037764
0.3,10.472,1.1307068e-05,0.0085253482
0.4,10.472,1.0147346e-05,0.0076509362
0.5,10.472,9.3840275e-06,0.0070754066
0.6,10.472,8.8639915e-06,0.0066833078
0.7,10.472,8.5043364e-06,0.0064121336
0.8,10.472,8.2606417e-06,0.0062283916
0.9,10.472,8.103106e-06,0.0061096123
1,10.472,7.9954893e-06,0.006028471
1.1,10.472,7.9397892e-06,0.005986474
1.2,10.472,7.9339394e-06,0.0059820634
1.3,10.472,7.959656e-06,0.0060014533
1.4,10.472,8.017322e-06,0.0060449325
1.5,10.472,8.0829991e-06,0.006094452
1.6,10.472,8.1557551e-06,0.0061493088
1.7,10.472,8.244623e-06,0.0062163138
1.8,10.472,8.3455251e-06,0.0062923924
1.9,10.472,8.4516648e-06,0.0063724201
2,10.472,8.5582461e-06,0.0064527807
2.1,10.472,8.6634087e-06,0.0065320715
2.2,10.472,8.7897925e-06,0.0066273629
2.3,10.472,8.9436483e-06,0.0067433677
2.4,10.472,9.1536801e-06,0.0069017284
2.5,10.472,9.4435849e-06,0.0071203119
2.6,10.472,9.8197351e-06,0.0074039232
2.7,10.472,1.0268883e-05,0.0077425731
2.8,10.472,1.0729194e-05,0.008089641
2.9,10.472,1.1153976e-05,0.0084099191
3,10.472,1.1493043e-05,0.0086655703
3.1,10.472,1.1685247e-05,0.0088104891
3.2,10.472,1.1742005e-05,0.0088532837
3.3,10.472,1.1728043e-05,0.0088427571
3.4,10.472,1.1705632e-05,0.0088258591
3.5,10.472,1.1697193e-05,0.0088194967
3.6,10.472,1.1695193e-05,0.0088179887
3.7,10.472,1.1698249e-05,0.0088202928
3.8,10.472,1.1693405e-05,0.0088166404
3.9,10.472,1.1690053e-05,0.0088141132
4,10.472,1.1684082e-05,0.0088096107
4.1,10.472,1.1675708e-05,0.0088032969
4.2,10.472,1.1667767e-05,0.0087973095
4.3,10.472,1.1656402e-05,0.0087887404
4.4,10.472,1.1648233e-05,0.0087825813
4.5,10.472,1.1635249e-05,0.0087727915
4.6,10.472,1.1625717e-05,0.0087656043
4.7,10.472,1.1618609e-05,0.0087602451
4.8,10.472,1.1618161e-05,0.0087599076
4.9,10.472,1.1633674e-05,0.0087716042
5,10.472,1.1657937e-05,0.0087898978
5.1,10.472,1.1686301e-05,0.0088112838
5.2,10.472,1.1698953e-05,0.008820823
5.3,10.472,1.1703382e-05,0.0088241626
5.4,10.472,1.1705672e-05,0.0088258896
5.5,10.472,1.1703186e-05,0.0088240149
5.6,10.472,1.1705488e-05,0.008825751
5.7,10.472,1.1705585e-05,0.0088258236
5.8,10.472,1.1707188e-05,0.0088270328
5.9,10.472,1.1707709e-05,0.0088274252
6,10.472,1.1705128e-05,0.008825479
6.1,10.472,1.170544e-05,0.0088257145
6.2,10.472,1.1706237e-05,0.0088263156
6.3,10.472,1.1703475e-05,0.0088242326
6.4,10.472,1.1704632e-05,0.008825105
6.5,10.472,1.1700752e-05,0.00882218
6.6,10.472,1.1698763e-05,0.0088206798
6.7,10.472,1.1697569e-05,0.0088197797
6.8,10.472,1.169341e-05,0.0088166441
6.9,10.472,1.1693251e-05,0.0088165244
7,10.472,1.1689246e-05,0.0088135048
7.1,10.472,1.168711e-05,0.0088118942
7.2,10.472,1.1684998e-05,0.0088103018
7.3,10.472,1.168074e-05,0.0088070909
7.4,10.472,1.1680471e-05,0.008806888
7.5,10.472,1.167469e-05,0.0088025298
7.6,10.472,1.167196e-05,0.0088004709
7.7,10.472,1.1670503e-05,0.0087993727
7.8,10.472,1.1665247e-05,0.0087954094
7.9,10.472,1.1664008e-05,0.0087944758
8,10.472,1.1658684e-05,0.0087904612
8.1,10.472,1.1654242e-05,0.0087871122
8.2,10.472,1.1652986e-05,0.0087861649
8.3,10.472,1.1647996e-05,0.0087824027
8.4,10.472,1.1643301e-05,0.0087788629
8.5,10.472,1.164151e-05,0.0087775121
8.6,10.472,1.1636555e-05,0.008773776
8.7,10.472,1.1631651e-05,0.0087700788
8.8,10.472,1.1629488e-05,0.0087684479
8.9,10.472,1.1624899e-05,0.0087649876
9,10.472,1.1619218e-05,0.0087607046
9.1,10.472,1.1615995e-05,0.0087582747
9.2,10.472,1.1613855e-05,0.0087566609
9.3,10.472,1.1607919e-05,0.0087521854
9.4,10.472,1.1606294e-05,0.0087509601
9.5,10.472,1.1599173e-05,0.0087455911
9.6,10.472,1.1595326e-05,0.0087426902
9.7,10.472,1.1593263e-05,0.0087411351
9.8,10.472,1.1587841e-05,0.0087370468
9.9,10.472,1.158717e-05,0.0087365406
10,10.472,1.1582006e-05,0.0087326472
10.1,10.472,1.1580762e-05,0.008731709
10.2,10.472,1.1582592e-05,0.0087330894
10.3,10.472,1.1582854e-05,0.0087332865
10.4,10.472,1.159043e-05,0.0087389987
10.5,10.472,1.159692e-05,0.0087438923
10.6,10.472,1.161086e-05,0.0087544026
10.7,10.472,1.1628269e-05,0.0087675286
10.8,10.472,1.164554e-05,0.0087805505
10.9,10.472,1.1663688e-05,0.008794234
11,10.472,1.1674419e-05,0.0088023248
11.1,10.472,1.168564e-05,0.0088107856
11.2,10.472,1.1693503e-05,0.0088167141
11.3,10.472,1.1697334e-05,0.008819603
11.4,10.472,1.1703705e-05,0.0088244065
11.5,10.472,1.1703749e-05,0.0088244393
11.6,10.472,1.1704065e-05,0.0088246776
11.7,10.472,1.1704674e-05,0.0088251371
11.8,10.472,1.169996e-05,0.0088215824
11.9,10.472,1.1698003e-05,0.0088201073
12,10.472,1.1689377e-05,0.0088136032
12.1,10.472,1.1682427e-05,0.0088083634
12.2,10.472,1.1676923e-05,0.008804213
12.3,10.472,1.1668622e-05,0.0087979541
12.4,10.472,1.1669532e-05,0.0087986405
12.5,10.472,1.1675551e-05,0.0088031786
12.6,10.472,1.1698716e-05,0.0088206445
12.7,10.472,1.1725803e-05,0.0088410681
12.8,10.472,1.1748258e-05,0.0088579986
12.9,10.472,1.1758994e-05,0.0088660934
13,10.472,1.1759559e-05,0.0088665196
13.1,10.472,1.1761165e-05,0.0088677299
13.2,10.472,1.1762562e-05,0.0088687832
13.3,10.472,1.176427e-05,0.0088700714
13.4,10.472,1.1768108e-05,0.008872965
13.5,10.472,1.1767555e-05,0.008872548
13.6,10.472,1.1770375e-05,0.0088746746
13.7,10.472,1.1768021e-05,0.0088728996
13.8,10.472,1.176867e-05,0.0088733886
13.9,10.472,1.1768327e-05,0.0088731302
14,10.472,1.1766937e-05,0.0088720821
14.1,10.472,1.1767321e-05,0.008872372
14.2,10.472,1.1764085e-05,0.008869932
14.3,10.472,1.1764227e-05,0.0088700392
14.4,10.472,1.1760592e-05,0.0088672984
14.5,10.472,1.1758909e-05,0.0088660294
14.6,10.472,1.1757341e-05,0.008864847
14.7,10.472,1.1753665e-05,0.0088620753
14.8,10.472,1.175364e-05,0.0088620562
14.9,10.472,1.1748274e-05,0.0088580106
15,10.472,1.1745964e-05,0.008856269
15.1,10.472,1.1744731e-05,0.0088553391
15.2,10.472,1.1739982e-05,0.0088517587
15.3,10.472,1.1738206e-05,0.0088504195
15.4,10.472,1.1732909e-05,0.0088464255
15.5,10.472,1.1729882e-05,0.0088441433
15.6,10.472,1.1726507e-05,0.0088415989
15.7,10.472,1.172177e-05,0.0088380269
15.8,10.472,1.1719486e-05,0.0088363049
15.9,10.472,1.1713507e-05,0.0088317969
16,10.472,1.1711559e-05,0.0088303284
16.1,10.472,1.170532e-05,0.0088256243
16.2,10.472,1.1701325e-05,0.0088226117
16.3,10.472,1.1697563e-05,0.0088197751
16.4,10.472,1.1691839e-05,0.0088154598
16.5,10.472,1.1688843e-05,0.0088132005
16.6,10.472,1.1682626e-05,0.0088085134
16.7,10.472,1.1679739e-05,0.0088063366
16.8,10.472,1.1671977e-05,0.0088004841
16.9,10.472,1.1668845e-05,0.0087981223
17,10.472,1.1664289e-05,0.0087946872
17.1,10.472,1.1658637e-05,0.0087904259
17.2,10.472,1.1653929e-05,0.0087868756
17.3,10.472,1.1646843e-05,0.0087815333
17.4,10.472,1.1644348e-05,0.0087796524
17.5,10.472,1.1636804e-05,0.0087739641
17.6,10.472,1.1632008e-05,0.0087703481
17.7,10.472,1.1627347e-05,0.0087668338
17.8,10.472,1.1620619e-05,0.0087617606
17.9,10.472,1.1617403e-05,0.0087593358
18,10.472,1.1608937e-05,0.0087529531
18.1,10.472,1.1603474e-05,0.0087488336
18.2,10.472,1.1600471e-05,0.0087465693
18.3,10.472,1.1592434e-05,0.0087405099
18.4,10.472,1.1588759e-05,0.0087377389
18.5,10.472,1.1582688e-05,0.0087331614
18.6,10.472,1.1576279e-05,0.0087283291
18.7,10.472,1.157298e-05,0.0087258419
18.8,10.472,1.1570296e-05,0.008723818
18.9,10.472,1.1566147e-05,0.0087206896
19,10.472,1.1568067e-05,0.0087221375
19.1,10.472,1.1566874e-05,0.0087212376
19.2,10.472,1.1572319e-05,0.0087253434
19.3,10.472,1.1583156e-05,0.008733514
19.4,10.472,1.1593867e-05,0.0087415899
19.5,10.472,1.1610922e-05,0.0087544496
19.6,10.472,1.1622618e-05,0.0087632678
19.7,10.472,1.1634438e-05,0.0087721802
19.8,10.472,1.164235e-05,0.0087781457
19.9,10.472,1.1645455e-05,0.0087804867
20,10.472,1.1648765e-05,0.0087829822
20.1,10.472,1.1644849e-05,0.0087800301
20.2,10.472,1.1645384e-05,0.008780433
20.3,10.472,1.1645996e-05,0.0087808945
20.4,10.472,1.1650852e-05,0.0087845561
20.5,10.472,1.1667666e-05,0.0087972334
20.6,10.472,1.1694808e-05,0.0088176983
20.7,10.472,1.1728955e-05,0.0088434447
20.8,10.472,1.1749219e-05,0.0088587231
20.9,10.472,1.1760636e-05,0.0088673311
21,10.472,1.1766587e-05,0.0088718185
21.1,10.472,1.176756e-05,0.008872552
21.2,10.472,1.1773145e-05,0.0088767626
21.3,10.472,1.1775358e-05,0.0088784313
21.4,10.472,1.1780581e-05,0.0088823696
21.5,10.472,1.1781926e-05,0.0088833839
21.6,10.472,1.178646e-05,0.008886802
21.7,10.472,1.1785151e-05,0.0088858155
21.8,10.472,1.1785102e-05,0.0088857784
21.9,10.472,1.178753e-05,0.0088876092
22,10.472,1.178685e-05,0.0088870962
22.1,10.472,1.1785499e-05,0.0088860777
22.2,10.472,1.1786469e-05,0.0088868094
22.3,10.472,1.1785129e-05,0.0088857991
22.4,10.472,1.1783151e-05,0.0088843073
22.5,10.472,1.1784854e-05,0.0088855917
22.6,10.472,1.1781532e-05,0.0088830868
22.7,10.472,1.1778124e-05,0.0088805167
22.8,10.472,1.1778928e-05,0.0088811235
22.9,10.472,1.1774282e-05,0.0088776205
23,10.472,1.1771505e-05,0.0088755265
23.1,10.472,1.1771792e-05,0.0088757424
23.2,10.472,1.1766838e-05,0.0088720078
23.3,10.472,1.1762717e-05,0.0088689003
23.4,10.472,1.1762486e-05,0.008868726
23.5,10.472,1.1756566e-05,0.008864263
23.6,10.472,1.1752642e-05,0.0088613042
23.7,10.472,1.1751802e-05,0.0088606707
23.8,10.472,1.1745417e-05,0.0088558566
23.9,10.472,1.1741494e-05,0.0088528983
24,10.472,1.1740503e-05,0.0088521516
24.1,10.472,1.173388e-05,0.0088471577
24.2,10.472,1.1729127e-05,0.0088435738
24.3,10.472,1.1726295e-05,0.0088414386
24.4,10.472,1.1719755e-05,0.0088365081
24.5,10.472,1.1717327e-05,0.0088346773
24.6,10.472,1.1709855e-05,0.0088290434
24.7,10.472,1.1704421e-05,0.0088249461
24.8,10.472,1.1702112e-05,0.0088232056
24.9,10.472,1.1694547e-05,0.0088175014
25,10.472,1.1689694e-05,0.0088138422
25.1,10.472,1.1685926e-05,0.0088110009
25.2,10.472,1.1678678e-05,0.0088055364
25.3,10.472,1.1675461e-05,0.0088031107
25.4,10.472,1.1667103e-05,0.0087968093
25.5,10.472,1.1660924e-05,0.0087921499
25.6,10.472,1.1657299e-05,0.0087894168
25.7,10.472,1.1648591e-05,0.0087828512
25.8,10.472,1.1643906e-05,0.0087793187
25.9,10.472,1.1638384e-05,0.0087751555
26,10.472,1.1630418e-05,0.0087691489
26.1,10.472,1.16259e-05,0.0087657427
26.2,10.472,1.1618474e-05,0.0087601435
26.3,10.472,1.1610604e-05,0.00875421
26.4,10.472,1.1605183e-05,0.0087501221
26.5,10.472,1.159925e-05,0.008745649
26.6,10.472,1.1591486e-05,0.0087397948
26.7,10.472,1.1585862e-05,0.0087355542
26.8,10.472,1.1576824e-05,0.0087287398
26.9,10.472,1.1572403e-05,0.0087254065
27,10.472,1.1562808e-05,0.0087181724
27.1,10.472,1.1554694e-05,0.0087120541
27.2,10.472,1.154904e-05,0.0087077917
27.3,10.472,1.1540034e-05,0.0087010009
27.4,10.472,1.1535074e-05,0.0086972613
