time_s,conversion
0.1,0.068566416
0.2,0.03237021
0.3,0.067438566
0.4,0.038220125
0.5,0.062128201
0.6,0.042770328
0.7,0.062668382
0.8,0.047798176
0.9,0.092312527
1,0.050502108
1.1,0.11253108
1.2,0.051825055
1.3,0.05690025
1.4,0.095073941
1.5,0.047920064
1.6,0.088601693
1.7,0.08646409
1.8,0.067887068
1.9,0.1464963
2,0.086204504
2.1,0.092390584
2.2,0.13127395
2.3,0.080648838
2.4,0.098018993
2.5,0.12608207
2.6,0.085771307
2.7,0.13574091
2.8,0.10222102
2.9,0.089367407
3,0.14490729
3.1,0.092943042
3.2,0.16156086
3.3,0.13415341
3.4,0.092505199
3.5,0.13129084
3.6,0.12012915
3.7,0.099453663
3.8,0.15771703
3.9,0.11819308
4,0.098909597
4.1,0.12471067
4.2,0.13166901
4.3,0.096384343
4.4,0.14227114
4.5,0.1248406
4.6,0.11893483
4.7,0.13197807
4.8,0.10988503
4.9,0.16046733
5,0.13008009
5.1,0.11501091
5.2,0.17509924
5.3,0.11661478
5.4,0.17525307
5.5,0.13048427
5.6,0.12446955
5.7,0.16172982
5.8,0.12336435
5.9,0.16893949
6,0.12611746
6.1,0.1283213
6.2,0.18299047
6.3,0.12944669
6.4,0.13628954
6.5,0.17313972
6.6,0.13810722
6.7,0.17597394
6.8,0.13638557
6.9,0.18242939
7,0.12557782
7.1,0.15388354
7.2,0.14351304
7.3,0.13612739
7.4,0.19510646
7.5,0.14919828
7.6,0.19281403
7.7,0.16615548
7.8,0.15556529
7.9,0.20477101
8,0.14873732
8.1,0.15788719
8.2,0.20454743
8.3,0.15719259
8.4,0.17226055
8.5,0.19716255
8.6,0.16080607
8.7,0.20625883
8.8,0.17601254
8.9,0.17150001
9,0.22007989
9.1,0.16664983
9.2,0.16876039
9.3,0.216504
9.4,0.17158555
9.5,0.2273647
9.6,0.17311808
9.7,0.1976044
9.8,0.20401287
9.9,0.17486544
10,0.22977911
10.1,0.1936465
10.2,0.18050983
10.3,0.24332468
10.4,0.21399063
10.5,0.18483773
10.6,0.22201205
10.7,0.18289352
10.8,0.23861145
10.9,0.18614942
11,0.23706969
11.1,0.061803565
11.2,0.1868514
11.3,0.25011291
11.4,0.21783775
11.5,0.20087373
11.6,0.21025919
11.7,0.2389982
11.8,0.20510196
11.9,0.23509293
12,0.21445742
12.1,0.23848884
12.2,0.20792358
12.3,0.24097999
12.4,0.21104359
12.5,0.24604567
12.6,0.21136766
12.7,0.27380655
12.8,0.2428657
12.9,0.21648223
13,0.27533928
13.1,0.22649866
13.2,0.23214994
13.3,0.23331672
13.4,0.20097311
13.5,0.24759289
13.6,0.2298816
13.7,0.21326488
13.8,0.25726789
13.9,0.25427138
14,0.23869683
14.1,0.27119289
14.2,0.23386433
14.3,0.28134994
14.4,0.23330947
14.5,0.28064898
14.6,0.252796
14.7,0.23819015
14.8,0.28091335
14.9,0.23897111
15,0.28969019
15.1,0.26499564
15.2,0.24178484
15.3,0.25239076
15.4,0.26728931
15.5,0.24587787
15.6,0.25589477
15.7,0.28520556
15.8,0.24367913
15.9,0.2657759
16,0.27276896
16.1,0.24924063
