time_s,conversion
0.1,0.023983373
0.2,0.078491706
0.3,0.047956164
0.4,0.073218496
0.5,0.076625996
0.6,0.064171755
0.7,0.069351853
0.8,0.035967657
0.9,0.10245406
1,0.14189911
1.1,0.14557147
1.2,0.13116585
1.3,0.12405304
1.4,0.13439663
1.5,0.14355188
1.6,0.11615118
1.7,0.13202722
1.8,0.14336451
1.9,0.13641729
2,0.16379514
2.1,0.16616763
2.2,0.15224421
2.3,0.14064468
2.4,0.13923911
2.5,0.1609601
2.6,0.1420327
2.7,0.15853819
2.8,0.1371005
2.9,0.1972991
3,0.12728084
3.1,0.14328496
3.2,0.14344679
3.3,0.2062182
3.4,0.14292551
3.5,0.14385615
3.6,0.16173751
3.7,0.19777082
3.8,0.14317966
3.9,0.14292583
4,0.15312828
4.1,0.14145571
4.2,0.16394163
4.3,0.16666043
4.4,0.14926383
4.5,0.18968752
4.6,0.15329748
4.7,0.15954771
4.8,0.19832855
4.9,0.18519223
5,0.17250111
5.1,0.19965987
5.2,0.18021939
5.3,0.13624417
5.4,0.19764736
5.5,0.21309836
5.6,0.25364137
5.7,0.22637474
5.8,0.22790667
5.9,0.25239259
6,0.22832814
6.1,0.23949894
6.2,0.23388042
6.3,0.25613326
6.4,0.23158216
6.5,0.22007912
6.6,0.21971711
6.7,0.25051732
6.8,0.24981353
6.9,0.21591772
7,0.24432087
7.1,0.24862533
7.2,0.233387
7.3,0.22965647
7.4,0.24075102
7.5,0.26391627
7.6,0.2401893
7.7,0.23719346
7.8,0.26543853
7.9,0.25336368
8,0.24934202
8.1,0.19409336
8.2,0.23079759
8.3,0.18464319
8.4,0.17827333
8.5,0.23301756
8.6,0.19466649
8.7,0.18547147
8.8,0.22336382
8.9,0.17529455
9,0.20446343
9.1,0.18528636
9.2,0.18007251
9.3,0.20932286
9.4,0.17864414
9.5,0.20879522
9.6,0.18076272
9.7,0.18982581
9.8,0.20981562
9.9,0.18096863
10,0.23547272
10.1,0.22795617
10.2,0.18575596
10.3,0.21404269
10.4,0.19897341
10.5,0.19551608
10.6,0.20355369
10.7,0.19188957
10.8,0.26288786
10.9,0.27191229
11,0.31096956
11.1,0.2941361
11.2,0.28652489
11.3,0.28950299
11.4,0.28683374
11.5,0.28668268
11.6,0.28530137
11.7,0.29222671
11.8,0.28394873
11.9,0.28603359
12,0.28951019
12.1,0.3020012
12.2,0.27487554
12.3,0.30084824
12.4,0.29657849
12.5,0.29196968
12.6,0.29517307
12.7,0.29754541
12.8,0.31234183
12.9,0.28993213
13,0.30708588
13.1,0.2977408
13.2,0.3016296
13.3,0.31590401
13.4,0.30003542
13.5,0.31065726
13.6,0.30601424
13.7,0.32655065
13.8,0.31762258
13.9,0.31536995
14,0.30979372
14.1,0.33459691
14.2,0.32186576
14.3,0.30567847
14.4,0.3167006
14.5,0.34170925
14.6,0.31568124
14.7,0.30932243
14.8,0.33174982
14.9,0.33600808
15,0.31376292
15.1,0.32479632
15.2,0.34805472
15.3,0.31601257
15.4,0.32887669
15.5,0.33833971
15.6,0.31726164
15.7,0.34615443
15.8,0.32838228
15.9,0.33009249
16,0.35792732
