time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,65.4498,0.0001418562,0.6684811
0.2,65.4498,0.0001376277,0.64855479
0.3,65.4498,0.00023486141,1.1067575
0.4,65.4498,0.00019364543,0.91253193
0.5,65.4498,0.00020561435,0.96893412
0.6,65.4498,0.00020720895,0.97644847
0.7,65.4498,0.00020807601,0.9805344
0.8,65.4498,0.00021135407,0.99598188
0.9,65.4498,0.00020940336,0.98678939
1,65.4498,0.00020773451,0.9789251
1.1,65.4498,0.0002091187,0.98544795
1.2,65.4498,0.00020900509,0.98491258
1.3,65.4498,0.00020800684,0.98020842
1.4,65.4498,0.00020848315,0.98245298
1.5,65.4498,0.00020892288,0.98452516
1.6,65.4498,0.00020880747,0.98398132
1.7,65.4498,0.00020863682,0.98317713
1.8,65.4498,0.00020872084,0.98357307
1.9,65.4498,0.00020850107,0.98253744
2,65.4498,0.00020829948,0.98158746
2.1,65.4498,0.00020981913,0.98874867
2.2,65.4498,0.00020933766,0.98647976
2.3,65.4498,0.0002062333,0.97185083
2.4,65.4498,0.00020325515,0.95781663
2.5,65.4498,0.00020355933,0.95925004
2.6,65.4498,0.00020569582,0.96931803
2.7,65.4498,0.00020630235,0.97217623
2.8,65.4498,0.00020507238,0.96638012
2.9,65.4498,0.00020555227,0.96864154
3,65.4498,0.00020479774,0.96508593
3.1,65.4498,0.00020230335,0.95333138
3.2,65.4498,0.00020105085,0.94742914
3.3,65.4498,0.00020254649,0.95447715
3.4,65.4498,0.0002049265,0.9656927
3.5,65.4498,0.00020455267,0.96393104
3.6,65.4498,0.00020197455,0.95178194
3.7,65.4498,0.00019950239,0.94013218
3.8,65.4498,0.00019959447,0.94056609
3.9,65.4498,0.0002019569,0.95169881
4,65.4498,0.00020420478,0.96229165
4.1,65.4498,0.00020335079,0.95826731
4.2,65.4498,0.00020104943,0.94742244
4.3,65.4498,0.00019892946,0.93743235
4.4,65.4498,0.00020006819,0.94279845
4.5,65.4498,0.0002029416,0.95633907
4.6,65.4498,0.0002034988,0.95896482
4.7,65.4498,0.00020229653,0.95329927
4.8,65.4498,0.000199595,0.9405686
4.9,65.4498,0.00019888577,0.93722643
5,65.4498,0.0002025118,0.95431368
5.1,65.4498,0.0002048306,0.96524078
5.2,65.4498,0.00020415998,0.96208055
5.3,65.4498,0.00020101385,0.94725478
5.4,65.4498,0.00019851386,0.93547385
5.5,65.4498,0.00019897803,0.9376612
5.6,65.4498,0.00020331681,0.9581072
5.7,65.4498,0.00020329451,0.95800211
5.8,65.4498,0.00019993282,0.94216055
5.9,65.4498,0.0001973781,0.93012172
6,65.4498,0.00020045803,0.94463555
6.1,65.4498,0.00020360414,0.95946122
6.2,65.4498,0.00020370149,0.95991996
6.3,65.4498,0.00020181202,0.95101606
6.4,65.4498,0.00020091444,0.9467863
6.5,65.4498,0.00020428799,0.96268381
6.6,65.4498,0.00020550094,0.96839966
6.7,65.4498,0.00020391465,0.96092445
6.8,65.4498,0.00020229491,0.95329161
6.9,65.4498,0.00020397792,0.96122262
7,65.4498,0.00020544013,0.96811312
7.1,65.4498,0.00020438433,0.96313779
7.2,65.4498,0.00020302778,0.95674517
7.3,65.4498,0.00020494577,0.96578351
7.4,65.4498,0.00020619329,0.97166229
7.5,65.4498,0.00020510504,0.96653401
7.6,65.4498,0.00020450374,0.96370049
7.7,65.4498,0.00020538075,0.96783329
7.8,65.4498,0.00020432769,0.96287088
7.9,65.4498,0.00020396937,0.96118231
8,32.7249,1.5330049e-06,0.003612055
8.1,0,-5.1383431e-05,0
8.2,0,-2.425296e-05,0
8.3,0,-1.7292839e-05,0
8.4,0,-1.2517019e-05,0
8.5,0,-9.1686576e-06,0
8.6,0,-6.8363003e-06,0
8.7,0,-5.2001008e-06,0
8.8,0,-3.9975089e-06,0
8.9,0,-3.0810026e-06,0
9,0,-2.3726847e-06,0
9.1,0,-1.8245123e-06,0
9.2,0,-1.401229e-06,0
9.3,0,-1.0752611e-06,0
9.4,0,-8.2475412e-07,0
9.5,0,-6.3244035e-07,0
9.6,0,-4.8492342e-07,0
9.7,0,-3.7179127e-07,0
9.8,0,-2.8505006e-07,0
9.9,0,-2.1854512e-07,0
10,32.7249,0.00018217985,0.42925085
10.1,65.4498,0.00014129078,0.66581661
10.2,65.4498,0.00016622513,0.78331692
10.3,65.4498,0.0002175902,1.0253689
10.4,65.4498,0.0002017986,0.95095284
10.5,65.4498,0.00020373296,0.96006825
10.6,65.4498,0.00020590492,0.97030339
10.7,65.4498,0.00020528281,0.96737176
10.8,65.4498,0.00020432622,0.96286394
10.9,65.4498,0.00020384789,0.96060986
11,65.4498,0.00020310563,0.95711206
11.1,65.4498,0.00020264814,0.95495619
11.2,65.4498,0.00020181071,0.95100989
11.3,65.4498,0.00020308455,0.9570127
11.4,65.4498,0.00020393531,0.9610218
11.5,65.4498,0.00020496092,0.96585488
11.6,65.4498,0.00020510245,0.96652182
11.7,65.4498,0.00020414652,0.96201711
11.8,65.4498,0.00020450867,0.96372371
11.9,65.4498,0.0002037175,0.9599954
12,65.4498,0.00020412945,0.96193668
12.1,65.4498,0.00020451653,0.96376077
12.2,65.4498,0.0002052828,0.9673717
12.3,65.4498,0.00020432442,0.96285547
12.4,65.4498,0.00020322724,0.9576851
12.5,65.4498,0.0002047233,0.96473512
12.6,65.4498,0.0002051318,0.96666016
12.7,65.4498,0.00020430888,0.96278224
12.8,65.4498,0.00020397253,0.9611972
12.9,65.4498,0.0002055946,0.96884104
13,65.4498,0.000205792,0.96977125
13.1,65.4498,0.0002039393,0.96104062
13.2,65.4498,0.0002046246,0.96427003
13.3,65.4498,0.0002056816,0.96925102
13.4,65.4498,0.00020475291,0.96487468
13.5,65.4498,0.00020202878,0.95203751
13.6,65.4498,0.00020318443,0.95748339
13.7,65.4498,0.00020253686,0.95443178
13.8,65.4498,0.0002017725,0.95082983
13.9,65.4498,0.00020362836,0.95957535
14,65.4498,0.00020324236,0.95775635
14.1,65.4498,0.00020185162,0.95120265
14.2,65.4498,0.00020318337,0.95747837
14.3,65.4498,0.00020328614,0.95796268
14.4,65.4498,0.00020211157,0.95242766
14.5,65.4498,0.00020367295,0.95978549
14.6,65.4498,0.00020348639,0.95890632
14.7,65.4498,0.00020206438,0.95220528
14.8,65.4498,0.00020357418,0.95932005
14.9,65.4498,0.0002032343,0.95771839
15,65.4498,0.0002023191,0.95340559
15.1,65.4498,0.00020416835,0.96211998
15.2,65.4498,0.00020300298,0.95662831
15.3,65.4498,0.00020244539,0.95400074
15.4,65.4498,0.00020403932,0.96151195
15.5,65.4498,0.00020281129,0.95572498
15.6,65.4498,0.00020316074,0.95737176
15.7,65.4498,0.00020406994,0.96165624
15.8,65.4498,0.00020228067,0.95322451
15.9,65.4498,0.00020350605,0.95899896
16,65.4498,0.00020352324,0.95907997
16.1,65.4498,0.000202516,0.95433347
16.2,65.4498,0.00020413451,0.96196052
16.3,65.4498,0.0002026699,0.95505871
16.4,65.4498,0.00020242753,0.95391656
16.5,65.4498,0.00020367682,0.95980369
16.6,65.4498,0.00020248107,0.95416888
16.7,65.4498,0.00020346073,0.95878542
16.8,65.4498,0.00020339489,0.95847515
16.9,65.4498,0.00020218809,0.95278827
17,65.4498,0.00020293341,0.95630047
17.1,65.4498,0.0002026039,0.95474771
17.2,65.4498,0.00020298311,0.95653468
17.3,65.4498,0.00020347795,0.95886657
17.4,65.4498,0.00020274043,0.95539107
17.5,65.4498,0.00020277002,0.95553052
17.6,65.4498,0.00020248324,0.95417909
17.7,65.4498,0.00020283511,0.95583726
17.8,65.4498,0.00020335905,0.95830624
17.9,65.4498,0.00020307018,0.956945
18,32.7249,2.6051839e-06,0.0061383155
18.1,0,-4.7957562e-05,0
18.2,0,-2.3143626e-05,0
18.3,0,-1.662091e-05,0
18.4,0,-1.1889787e-05,0
18.5,0,-8.7172084e-06,0
18.6,0,-6.5984437e-06,0
18.7,0,-5.0685781e-06,0
18.8,0,-3.9073064e-06,0
18.9,0,-3.010206e-06,0
19,0,-2.3155102e-06,0
19.1,0,-1.7788609e-06,0
19.2,0,-1.3653234e-06,0
19.3,0,-1.0473259e-06,0
19.4,0,-8.0315554e-07,0
19.5,0,-6.15803e-07,0
19.6,0,-4.7212806e-07,0
19.7,0,-3.6195342e-07,0
19.8,0,-2.774821e-07,0
19.9,0,-2.127314e-07,0
20,32.7249,0.00018218692,0.4292675
20.1,65.4498,0.00014139659,0.66631525
20.2,65.4498,0.00016632609,0.78379266
20.3,65.4498,0.00022342446,1.0528622
20.4,65.4498,0.00020692703,0.97511997
20.5,65.4498,0.00020593533,0.97044669
20.6,65.4498,0.0002093693,0.98662885
20.7,65.4498,0.00020641984,0.97272989
20.8,65.4498,0.00020702954,0.97560304
20.9,65.4498,0.00020744395,0.97755588
21,65.4498,0.00020739146,0.97730851
21.1,65.4498,0.00020666281,0.97387487
21.2,65.4498,0.00020520267,0.9669941
21.3,65.4498,0.00020650893,0.9731497
21.4,65.4498,0.00020732051,0.97697418
21.5,65.4498,0.00020622788,0.9718253
21.6,65.4498,0.00020543409,0.96808462
21.7,65.4498,0.00020458407,0.96407903
21.8,65.4498,0.00020345393,0.95875335
21.9,65.4498,0.00020285207,0.95591717
22,65.4498,0.00020216314,0.95267065
22.1,65.4498,0.00020321995,0.95765078
22.2,65.4498,0.00020309859,0.95707886
22.3,65.4498,0.00020410937,0.96184203
22.4,65.4498,0.00020501836,0.96612555
22.5,65.4498,0.00020510544,0.96653592
22.6,65.4498,0.00020434848,0.96296881
22.7,65.4498,0.00020513462,0.96667341
22.8,65.4498,0.00020679418,0.97449391
22.9,65.4498,0.00020617217,0.97156279
23,65.4498,0.00020424364,0.9624748
23.1,65.4498,0.00020345795,0.95877231
23.2,65.4498,0.00020500764,0.96607504
23.3,65.4498,0.00020616124,0.97151128
23.4,65.4498,0.00020496804,0.96588845
23.5,65.4498,0.00020293883,0.95632603
23.6,65.4498,0.00020010905,0.942991
23.7,65.4498,0.00020227123,0.95318004
23.8,65.4498,0.00020243397,0.95394694
23.9,65.4498,0.00020045068,0.94460089
24,65.4498,0.00019977714,0.94142693
24.1,65.4498,0.00020247543,0.9541423
24.2,65.4498,0.00020313408,0.95724614
24.3,65.4498,0.000201117,0.94774083
24.4,65.4498,0.00019841043,0.93498644
24.5,65.4498,0.00020036641,0.94420379
24.6,65.4498,0.00020279927,0.95566837
24.7,65.4498,0.00020179158,0.95091971
24.8,65.4498,0.00019959194,0.94055416
24.9,65.4498,0.00020076692,0.94609116
25,65.4498,0.00020336996,0.95835767
25.1,65.4498,0.00020213626,0.95254399
25.2,65.4498,0.00020001391,0.94254266
25.3,65.4498,0.00020165836,0.95029197
25.4,65.4498,0.00020345961,0.95878012
25.5,65.4498,0.00020190031,0.95143213
25.6,65.4498,0.00020068718,0.94571535
25.7,65.4498,0.00020282647,0.95579656
25.8,65.4498,0.0002031683,0.95740737
25.9,65.4498,0.00020104474,0.94740035
26,65.4498,0.00020213231,0.95252539
26.1,65.4498,0.00020417447,0.96214883
26.2,65.4498,0.00020167279,0.95035993
26.3,65.4498,0.00020028581,0.94382399
26.4,65.4498,0.00020422259,0.96237561
26.5,65.4498,0.00020303141,0.9567623
26.6,65.4498,0.00019961218,0.94064954
26.7,65.4498,0.00020103038,0.94733269
26.8,65.4498,0.00020187741,0.95132419
26.9,65.4498,0.00020115612,0.94792522
27,65.4498,0.00020264199,0.95492719
27.1,65.4498,0.00020328682,0.95796588
27.2,65.4498,0.0002026825,0.9551181
27.3,65.4498,0.00020299736,0.95660181
27.4,65.4498,0.00020208072,0.9522823
27.5,65.4498,0.00020118702,0.94807081
27.6,65.4498,0.00020223344,0.95300193
27.7,65.4498,0.00020323766,0.95773422
27.8,65.4498,0.00020345341,0.9587509
27.9,65.4498,0.00020373669,0.96008583
28,32.7249,2.3614848e-06,0.0055641135
28.1,0,-4.9698042e-05,0
28.2,0,-2.3670976e-05,0
28.3,0,-1.6897838e-05,0
28.4,0,-1.2051181e-05,0
28.5,0,-8.8715337e-06,0
28.6,0,-6.7145782e-06,0
28.7,0,-5.1487986e-06,0
28.8,0,-3.9644329e-06,0
28.9,0,-3.0527446e-06,0
29,0,-2.34796e-06,0
29.1,0,-1.8038391e-06,0
29.2,0,-1.3845451e-06,0
29.3,0,-1.0621002e-06,0
29.4,0,-8.1445906e-07,0
29.5,0,-6.2444706e-07,0
29.6,0,-4.7873657e-07,0
29.7,0,-3.6701303e-07,0
29.8,0,-2.8136264e-07,0
29.9,0,-2.1570076e-07,0
30,32.7249,0.00018218859,0.42927145
30.1,65.4498,0.00014119934,0.66538575
30.2,65.4498,0.00016445898,0.77499415
30.3,65.4498,0.00022825103,1.0756069
30.4,65.4498,0.00021397893,1.0083512
30.5,65.4498,0.00021141145,0.99625229
30.6,65.4498,0.00021282648,1.0029204
30.7,65.4498,0.0002079275,0.97983458
30.8,65.4498,0.00020841489,0.98213131
30.9,65.4498,0.00020913044,0.98550326
31,65.4498,0.00020554232,0.96859466
31.1,65.4498,0.00020737386,0.97722561
31.2,65.4498,0.00020803004,0.98031779
31.3,65.4498,0.00020808697,0.98058604
31.4,65.4498,0.00020784008,0.97942262
31.5,65.4498,0.00020783859,0.97941559
31.6,65.4498,0.00020759743,0.97827915
31.7,65.4498,0.00020680444,0.97454226
31.8,65.4498,0.00020666574,0.97388867
31.9,65.4498,0.00020665375,0.97383214
32,65.4498,0.00020662618,0.97370222
32.1,65.4498,0.00020731293,0.97693848
32.2,65.4498,0.00020889737,0.98440498
32.3,65.4498,0.00020961703,0.98779628
32.4,65.4498,0.00020916604,0.98567103
