mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.688958,0.664431,0.588986,1.39442,0.0436576,0.645301,0.732616,0.00867457,100.0,100.0,0,1321.10
constant,200,1.00,200,0.761689,0.762621,0.673054,2.56497,0.0803059,0.681383,0.841995,0.0458739,200.0,200.0,0,1312.21
constant,300,1.00,300,0.786883,0.779775,0.729003,3.74037,0.117106,0.669777,0.903989,0.121381,300.0,300.0,0,1284.03
constant,400,1.00,400,0.811551,0.816215,0.753232,4.92118,0.154076,0.657475,0.965627,0.232528,400.0,400.0,0,1322.23
constant,500,1.00,500,0.828111,0.825795,0.770338,6.10794,0.191232,0.636879,1.01934,0.414289,500.0,500.0,0,1235.94
pulsed,100,0.80,125,0.711021,0.711734,0.602586,1.35065,0.0422871,0.668734,0.753308,0.0120365,125.0,100.0,0,1347.83
pulsed,200,0.80,250,0.85325,0.854763,0.740534,2.52375,0.0790154,0.774234,0.932265,0.0739425,250.0,200.0,0,1299.88
pulsed,300,0.80,375,0.87645,0.873116,0.779129,3.70415,0.115972,0.760477,0.992422,0.214016,375.0,299.9,0,1310.96
pulsed,400,0.80,500,0.874403,0.86613,0.781131,4.89298,0.153193,0.72121,1.0276,0.441601,500.0,399.9,0,1280.53
pulsed,500,0.80,625,0.876873,0.872382,0.786,6.09103,0.190702,0.68617,1.06757,0.751397,625.0,499.9,0,1380.19
