time_s,conversion
0.1,0.036617692
0.2,0.052790361
0.3,0.038720027
0.4,0.087955501
0.5,0.042673299
0.6,0.048455278
0.7,0.083646886
0.8,0.041532367
0.9,0.098491056
1,0.05825819
1.1,0.048646896
1.2,0.1043189
1.3,0.050365863
1.4,0.10378295
1.5,0.05716962
1.6,0.058179267
1.7,0.11414853
1.8,0.056819661
1.9,0.086410569
2,0.064908874
2.1,0.061274378
2.2,0.11204712
2.3,0.059404654
2.4,0.1117792
2.5,0.068331451
2.6,0.069334751
2.7,0.12021988
2.8,0.065816103
2.9,0.12057014
3,0.072783595
3.1,0.081429791
3.2,0.13105616
3.3,0.07686389
3.4,0.12454838
3.5,0.080427082
3.6,0.084723647
3.7,0.13616433
3.8,0.084698154
3.9,0.13129876
4,0.0911278
4.1,0.086731563
4.2,0.14207255
4.3,0.087807469
4.4,0.13779669
4.5,0.098032748
4.6,0.09265934
4.7,0.14542146
4.8,0.093909124
4.9,0.13551717
5,0.10244227
5.1,0.10238375
5.2,0.15381235
5.3,0.10029728
5.4,0.14522855
5.5,0.10852585
5.6,0.10872686
5.7,0.16040203
5.8,0.10414024
5.9,0.14534998
6,0.10817026
6.1,0.096783977
6.2,0.14060448
6.3,0.099224799
6.4,0.1585191
6.5,0.11271337
6.6,0.10218472
6.7,0.16448692
6.8,0.10337831
6.9,0.12480176
7,0.17984735
7.1,0.13693421
7.2,0.20464673
7.3,0.15706602
7.4,0.12353211
7.5,0.17444209
7.6,0.12566348
7.7,0.12478658
7.8,0.17912943
7.9,0.12602533
8,0.14980913
8.1,0.14480569
8.2,0.12684961
8.3,0.18435156
8.4,0.1345392
8.5,0.13044301
8.6,0.17985216
8.7,0.12574934
8.8,0.18803939
8.9,0.14359197
9,0.13428477
9.1,0.13498355
9.2,0.1559879
9.3,0.16958272
9.4,0.14109177
9.5,0.1858979
9.6,0.13999103
9.7,0.18499684
9.8,0.1460621
9.9,0.14548794
10,0.19803386
10.1,0.14559256
10.2,0.19172553
10.3,0.14719729
10.4,0.19959463
10.5,0.15226645
10.6,0.14994224
10.7,0.19919694
10.8,0.15097917
10.9,0.20651178
11,0.15502959
11.1,0.16393933
11.2,0.19369088
11.3,0.15708417
11.4,0.17829139
11.5,0.17521377
11.6,0.16030464
11.7,0.17933118
11.8,0.1784655
11.9,0.16135051
12,0.20472576
12.1,0.1606145
12.2,0.17050932
12.3,0.21291883
12.4,0.16135503
12.5,0.2070121
12.6,0.16890617
12.7,0.17402919
12.8,0.20520367
12.9,0.16850982
13,0.18709618
13.1,0.18723869
13.2,0.1704848
13.3,0.2158498
13.4,0.19004462
13.5,0.17193056
13.6,0.22115725
13.7,0.17132885
13.8,0.2230835
13.9,0.17275173
14,0.22944069
14.1,0.18518997
14.2,0.19659771
14.3,0.18766738
14.4,0.17510521
14.5,0.220991
14.6,0.17581949
14.7,0.21620378
14.8,0.17680711
14.9,0.17871854
15,0.22857881
15.1,0.17766802
15.2,0.19209192
15.3,0.18236549
15.4,0.16026269
15.5,0.19806642
15.6,0.14030598
15.7,0.16450948
15.8,0.16449995
15.9,0.15433072
16,0.2088695
16.1,0.15320728
16.2,0.19800851
16.3,0.16297387
16.4,0.23493087
16.5,0.19664078
16.6,0.20457209
16.7,0.24117304
16.8,0.18301267
16.9,0.19934478
17,0.18385121
17.1,0.17846672
17.2,0.22505888
17.3,0.17750452
17.4,0.21433213
17.5,0.18516354
17.6,0.18125569
17.7,0.22959046
17.8,0.18161177
17.9,0.21810021
18,0.18617234
18.1,0.18259954
18.2,0.22983188
18.3,0.18745598
18.4,0.23450355
18.5,0.19547207
18.6,0.18676144
18.7,0.21423139
18.8,0.20966647
18.9,0.188946
19,0.24795799
19.1,0.2034759
19.2,0.20479476
19.3,0.2238006
19.4,0.19985416
19.5,0.24496745
19.6,0.19187614
19.7,0.23852586
19.8,0.199528
19.9,0.20039419
20,0.25013225
20.1,0.20292317
20.2,0.25127907
20.3,0.20223791
20.4,0.24427205
20.5,0.20508545
20.6,0.20799185
20.7,0.25140045
20.8,0.2052115
20.9,0.24488973
21,0.20988751
21.1,0.20772182
21.2,0.25373713
21.3,0.20890385
21.4,0.25388645
21.5,0.21302628
21.6,0.20984165
21.7,0.25378657
21.8,0.21081432
21.9,0.25911082
22,0.21700999
22.1,0.21356838
22.2,0.25772165
22.3,0.21342679
22.4,0.25840363
22.5,0.21840984
22.6,0.21550636
22.7,0.26011584
22.8,0.21426659
22.9,0.26218965
23,0.23768493
23.1,0.21912882
23.2,0.26345816
23.3,0.21578733
23.4,0.25574181
23.5,0.21138761
23.6,0.21839237
23.7,0.26250747
23.8,0.20499367
23.9,0.25028742
24,0.22204028
24.1,0.21481979
24.2,0.25364289
24.3,0.21590356
24.4,0.24262239
24.5,0.20947257
24.6,0.25375793
24.7,0.21325733
24.8,0.20907503
24.9,0.19379398
25,0.16680033
25.1,0.19405675
25.2,0.19056363
25.3,0.18590144
25.4,0.22217421
25.5,0.18300744
25.6,0.19612857
25.7,0.22237857
25.8,0.23563993
25.9,0.26524217
26,0.23199156
26.1,0.24376262
26.2,0.23153648
26.3,0.20584513
26.4,0.23707929
26.5,0.22530716
26.6,0.21287982
26.7,0.25879836
26.8,0.21085879
26.9,0.24492499
27,0.21774798
27.1,0.21587383
27.2,0.26185111
27.3,0.21326895
27.4,0.24931531
27.5,0.22085643
27.6,0.21682143
27.7,0.26113645
27.8,0.2221301
27.9,0.24988161
28,0.21970802
28.1,0.26287204
28.2,0.22493363
28.3,0.22269506
28.4,0.26234482
28.5,0.2258994
28.6,0.25655597
28.7,0.22320702
28.8,0.25985369
28.9,0.23139998
29,0.22814668
29.1,0.28037661
29.2,0.24715197
29.3,0.2316965
29.4,0.27627363
29.5,0.2278199
29.6,0.27212304
29.7,0.24291286
29.8,0.2295439
29.9,0.27329411
30,0.23634619
30.1,0.2331036
30.2,0.2813426
30.3,0.24104572
30.4,0.23294033
30.5,0.27532975
30.6,0.23816494
30.7,0.26706238
30.8,0.22890594
30.9,0.27887067
31,0.24626078
31.1,0.23741135
31.2,0.28128968
31.3,0.58756156
31.4,0.26837055
31.5,0.23898554
31.6,0.24129992
31.7,0.28229658
31.8,0.23805856
31.9,0.27750519
32,0.2383575
32.1,0.29592095
32.2,0.28306356
32.3,0.23732292
32.4,0.27792396
32.5,0.24021396
32.6,0.24255522
32.7,0.28305658
32.8,0.23949705
32.9,0.27365139
33,0.24503123
33.1,0.23870452
33.2,0.28131729
33.3,0.23641351
33.4,0.27304937
33.5,0.23779437
33.6,0.23507975
33.7,0.27594443
33.8,0.23098713
33.9,0.26078528
34,0.22906687
34.1,0.21593014
34.2,0.24924514
34.3,0.19171107
34.4,0.22361177
34.5,0.1932624
34.6,0.19827345
34.7,0.24492652
34.8,0.19640876
34.9,0.23727932
35,0.18987454
35.1,0.22874774
35.2,0.29056816
35.3,0.24540073
35.4,0.2874286
35.5,0.24405379
35.6,0.22475503
35.7,0.26629123
35.8,0.21760979
35.9,0.26646341
36,0.23457182
36.1,0.2246184
36.2,0.27456208
36.3,0.22554734
36.4,0.23448773
36.5,0.27386326
36.6,0.17432231
36.7,0.2567575
36.8,0.23969717
36.9,0.23075307
37,0.27948576
37.1,0.23101363
37.2,0.27517896
37.3,0.23492976
37.4,0.23669309
37.5,0.27814007
37.6,0.23192542
37.7,0.27442454
37.8,0.24014172
37.9,0.23584495
38,0.28262129
38.1,0.23755426
38.2,0.28135696
38.3,0.23819446
38.4,0.28626356
38.5,0.24464351
38.6,0.24089571
38.7,0.28406783
38.8,0.24103301
38.9,0.28235834
39,0.24115696
39.1,0.24708071
39.2,0.29066387
39.3,0.24428047
39.4,0.28195487
39.5,0.24743077
39.6,0.25080679
39.7,0.28986704
39.8,0.24725067
39.9,0.27689381
40,0.2511414
40.1,0.2465905
40.2,0.29859255
40.3,-0.36658639
40.4,0.25407185
40.5,0.28229601
40.6,0.24995182
40.7,0.28296507
40.8,0.25605527
40.9,0.25540107
41,0.28561293
41.1,0.24756097
41.2,0.28226902
41.3,0.25051154
41.4,0.2537112
41.5,0.29217911
41.6,0.24976322
41.7,0.28587464
41.8,0.25046795
41.9,0.25285173
42,0.29406861
42.1,0.24751718
42.2,0.29013346
42.3,0.24878073
42.4,0.27634972
42.5,0.25206047
42.6,0.2479268
42.7,0.28714522
42.8,0.24348291
42.9,0.27949183
43,0.24930431
43.1,0.24170862
43.2,0.27721441
43.3,0.23556974
43.4,0.27127811
43.5,0.23241229
43.6,0.21622111
43.7,0.24784015
43.8,0.19712317
43.9,0.2337192
44,0.20967628
44.1,0.20421803
44.2,0.24571461
44.3,0.19225969
44.4,0.24853869
44.5,0.23847344
44.6,0.25630452
44.7,0.30469387
44.8,0.25757718
44.9,0.28749201
45,0.23415651
45.1,0.22682111
45.2,0.27041497
45.3,0.23294014
45.4,0.2807631
45.5,0.23763268
45.6,0.2312044
45.7,0.27506506
45.8,0.24171146
45.9,0.26859074
46,0.23549552
46.1,0.27704042
46.2,0.24240214
46.3,0.23878346
46.4,0.28049351
46.5,0.2374338
46.6,0.28199914
46.7,0.24403797
46.8,0.2414273
46.9,0.28262511
47,0.24124927
47.1,0.28820741
47.2,0.2480324
47.3,0.24100662
47.4,0.29064079
47.5,0.24360168
47.6,0.25251646
47.7,0.28079429
47.8,0.24532779
47.9,0.26113946
48,0.27624934
48.1,0.248439
48.2,0.29159798
48.3,0.24874249
48.4,0.28564888
48.5,0.25013747
48.6,0.25353941
48.7,0.29496173
48.8,0.25198876
48.9,0.28813029
49,0.25436676
49.1,0.25293531
49.2,0.29614312
49.3,0.25049986
49.4,0.28963375
49.5,0.25655911
49.6,0.25583146
49.7,0.29913785
49.8,0.25470345
49.9,0.29412038
50,0.25917771
