time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,41.8879,1.783104e-05,0.053777148
0.2,41.8879,1.8136841e-05,0.054699422
0.3,41.8879,2.2478044e-05,0.06779218
0.4,41.8879,2.4808706e-05,0.074821291
0.5,41.8879,2.3834293e-05,0.071882532
0.6,41.8879,2.3592658e-05,0.071153778
0.7,41.8879,2.3519966e-05,0.070934542
0.8,41.8879,2.3387779e-05,0.070535877
0.9,41.8879,2.3238359e-05,0.070085238
1,41.8879,2.3182465e-05,0.069916663
1.1,41.8879,2.293719e-05,0.069176933
1.2,41.8879,2.2500562e-05,0.067860094
1.3,41.8879,2.1678139e-05,0.065379722
1.4,41.8879,2.2893584e-05,0.069045419
1.5,41.8879,2.2968837e-05,0.069272378
1.6,41.8879,2.265333e-05,0.06832083
1.7,41.8879,2.2552376e-05,0.06801636
1.8,41.8879,2.2780582e-05,0.068704612
1.9,41.8879,2.3055755e-05,0.069534515
2,41.8879,2.3003411e-05,0.069376648
2.1,41.8879,2.2945164e-05,0.06920098
2.2,41.8879,2.3056745e-05,0.069537501
2.3,41.8879,2.2998369e-05,0.069361444
2.4,41.8879,2.3070962e-05,0.06958038
2.5,41.8879,2.293371e-05,0.069166437
2.6,41.8879,2.3160785e-05,0.06985128
2.7,41.8879,2.2932086e-05,0.069161539
2.8,41.8879,2.2560117e-05,0.068039705
2.9,41.8879,2.1329762e-05,0.064329043
3,41.8879,2.256761e-05,0.068062305
3.1,41.8879,2.2360661e-05,0.067438162
3.2,41.8879,2.2573928e-05,0.068081361
3.3,41.8879,2.2478992e-05,0.067795039
3.4,41.8879,2.2582727e-05,0.068107897
3.5,41.8879,2.2503753e-05,0.067869718
3.6,41.8879,2.2540695e-05,0.06798113
3.7,41.8879,2.251548e-05,0.067905084
3.8,41.8879,2.2497912e-05,0.0678521
3.9,41.8879,2.250325e-05,0.067868198
4,41.8879,2.2481417e-05,0.067802353
4.1,41.8879,2.2464383e-05,0.06775098
4.2,41.8879,2.2443635e-05,0.067688406
4.3,41.8879,2.2434863e-05,0.067661948
4.4,41.8879,2.2418581e-05,0.067612843
4.5,41.8879,2.2385362e-05,0.067512659
4.6,41.8879,2.2374548e-05,0.067480044
4.7,41.8879,2.2351687e-05,0.067411097
4.8,41.8879,2.234902e-05,0.067403054
4.9,41.8879,2.2324314e-05,0.067328542
5,41.8879,2.2287997e-05,0.067219013
5.1,41.8879,2.2296971e-05,0.067246076
5.2,41.8879,2.2272604e-05,0.067172588
5.3,41.8879,2.2252187e-05,0.067111011
5.4,41.8879,2.2229805e-05,0.06704351
5.5,41.8879,2.2205091e-05,0.066968973
5.6,41.8879,2.2187174e-05,0.066914937
5.7,41.8879,2.2163677e-05,0.066844072
