time_s,conversion
0.1,0.060443918
0.2,0.038777583
0.3,0.054630008
0.4,0.083038497
0.5,0.078871528
0.6,0.039444808
0.7,0.065480024
0.8,0.12295329
0.9,0.065975514
1,0.060489696
1.1,0.08613981
1.2,0.064029344
1.3,0.068081986
1.4,0.10189661
1.5,0.13239087
1.6,0.095974074
1.7,0.085817315
1.8,0.077988848
1.9,0.079035298
2,0.14611759
2.1,0.14071091
2.2,0.14278743
2.3,0.1350063
2.4,0.10634792
2.5,0.11900817
2.6,0.10968562
2.7,0.11587222
2.8,0.14936132
2.9,0.14974218
3,0.16874807
3.1,0.18446885
3.2,0.1516887
3.3,0.14755386
3.4,0.15196372
3.5,0.16445682
3.6,0.17380084
3.7,0.16405019
3.8,0.15386634
3.9,0.14796283
4,0.16375279
4.1,0.14652867
4.2,0.13499487
4.3,0.1385383
4.4,0.1451051
4.5,0.16240041
4.6,0.14731276
4.7,0.14520835
4.8,0.1473357
4.9,0.14860574
5,0.15363759
5.1,0.17049156
5.2,0.15051054
5.3,0.15083758
5.4,0.15600769
5.5,0.15723398
5.6,0.16218999
5.7,0.19392858
5.8,0.22320155
5.9,0.20938406
6,0.22719063
6.1,0.21908694
6.2,0.20049022
6.3,0.21041921
6.4,0.18251264
6.5,0.17858785
6.6,0.18037489
6.7,0.18441968
6.8,0.17636356
6.9,0.18236403
7,0.22046538
7.1,0.23450979
7.2,0.23633063
7.3,0.2238131
7.4,0.20183433
7.5,0.18787334
7.6,0.18747268
7.7,0.23053704
7.8,0.21680135
7.9,0.1906164
8,0.2118964
8.1,0.20436922
8.2,0.18479765
8.3,0.23138467
8.4,0.18051188
8.5,0.21734002
8.6,0.17123392
8.7,0.22104249
8.8,0.17815416
8.9,0.20055463
9,0.18853868
9.1,0.18566461
9.2,0.2122501
9.3,0.18126523
9.4,0.22198741
9.5,0.17884478
9.6,0.22832529
9.7,0.18342744
9.8,0.18499771
9.9,0.23086856
10,0.18914136
10.1,0.23143
10.2,0.19308131
10.3,0.19080418
10.4,0.22087344
10.5,0.20814907
10.6,0.27287473
10.7,0.26318542
10.8,0.25045575
10.9,0.24315443
11,0.26549214
11.1,0.26266316
11.2,0.25050834
11.3,0.24044197
11.4,0.25312725
11.5,0.23133134
11.6,0.22186415
11.7,0.23134569
11.8,0.25355551
11.9,0.24814971
12,0.29051604
12.1,0.25774954
12.2,0.2782201
12.3,0.2688554
12.4,0.29390535
12.5,0.24186881
12.6,0.26698164
12.7,0.29580164
12.8,0.2875566
12.9,0.2599858
13,0.30221832
13.1,0.30001281
