time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,52.3599,2.5221273e-05,0.095082001
0.2,52.3599,2.9882279e-05,0.11265359
0.3,52.3599,3.5496001e-05,0.13381683
0.4,52.3599,3.1863154e-05,0.12012131
0.5,52.3599,3.3438204e-05,0.12605911
0.6,52.3599,3.2944028e-05,0.12419611
0.7,52.3599,2.9205151e-05,0.11010087
0.8,52.3599,3.1583228e-05,0.11906601
0.9,52.3599,3.1482063e-05,0.11868463
1,52.3599,3.1733075e-05,0.11963093
1.1,52.3599,3.1779597e-05,0.11980631
1.2,52.3599,3.1819099e-05,0.11995523
1.3,52.3599,3.1514721e-05,0.11880775
1.4,52.3599,3.1828735e-05,0.11999155
1.5,52.3599,3.1874123e-05,0.12016266
1.6,52.3599,3.1589249e-05,0.11908871
1.7,52.3599,3.1637948e-05,0.1192723
1.8,52.3599,3.1790889e-05,0.11984888
1.9,52.3599,3.1825782e-05,0.11998042
2,52.3599,3.1414208e-05,0.11842883
2.1,52.3599,3.1691918e-05,0.11947577
2.2,52.3599,3.1773897e-05,0.11978482
2.3,52.3599,3.1648401e-05,0.11931171
2.4,52.3599,3.1392465e-05,0.11834685
2.5,52.3599,3.1685983e-05,0.11945339
2.6,52.3599,3.1739986e-05,0.11965698
2.7,52.3599,3.1405927e-05,0.11839761
2.8,52.3599,3.143858e-05,0.1185207
2.9,52.3599,3.1636625e-05,0.11926732
3,52.3599,3.1655456e-05,0.11933831
3.1,52.3599,3.1193841e-05,0.11759806
3.2,52.3599,3.1494492e-05,0.11873149
3.3,52.3599,3.1599964e-05,0.11912911
3.4,52.3599,3.1488757e-05,0.11870987
3.5,52.3599,3.1128067e-05,0.1173501
3.6,52.3599,3.1502191e-05,0.11876051
3.7,52.3599,3.1575659e-05,0.11903748
3.8,52.3599,3.1236055e-05,0.1177572
3.9,52.3599,3.1192105e-05,0.11759152
4,52.3599,3.1459738e-05,0.11860047
4.1,52.3599,3.1517647e-05,0.11881878
4.2,52.3599,3.0981875e-05,0.11679897
4.3,52.3599,3.1297856e-05,0.11799019
4.4,52.3599,3.1429789e-05,0.11848756
4.5,52.3599,3.1366126e-05,0.11824756
4.6,52.3599,3.0891486e-05,0.11645821
4.7,52.3599,3.134336e-05,0.11816173
4.8,52.3599,3.1433903e-05,0.11850307
4.9,52.3599,3.110257e-05,0.11725398
5,52.3599,3.0993954e-05,0.1168445
5.1,52.3599,3.1329263e-05,0.11810859
5.2,52.3599,3.140583e-05,0.11839724
5.3,52.3599,3.0813725e-05,0.11616505
5.4,52.3599,3.1173532e-05,0.1175215
5.5,52.3599,3.1314733e-05,0.11805381
5.6,52.3599,3.1249799e-05,0.11780902
5.7,52.3599,3.0744581e-05,0.11590439
5.8,52.3599,3.1254943e-05,0.11782841
5.9,52.3599,3.133665e-05,0.11813644
6,52.3599,3.0909001e-05,0.11652424
6.1,52.3599,3.0957374e-05,0.1167066
6.2,52.3599,3.1224589e-05,0.11771398
6.3,52.3599,3.1280188e-05,0.11792358
6.4,52.3599,3.0638405e-05,0.11550411
6.5,52.3599,3.1153875e-05,0.11744739
6.6,52.3599,3.1241035e-05,0.11777598
6.7,52.3599,3.0966129e-05,0.1167396
6.8,52.3599,3.0780187e-05,0.11603862
6.9,52.3599,3.1145176e-05,0.1174146
7,52.3599,3.1234853e-05,0.11775267
7.1,52.3599,3.0563351e-05,0.11522117
7.2,52.3599,3.1075135e-05,0.11715055
7.3,52.3599,3.1165551e-05,0.11749141
7.4,52.3599,3.0937583e-05,0.11663199
7.5,52.3599,3.0709788e-05,0.11577322
7.6,52.3599,3.1078006e-05,0.11716137
7.7,52.3599,3.1164812e-05,0.11748862
7.8,52.3599,3.0462131e-05,0.11483958
7.9,52.3599,3.1044169e-05,0.11703381
8,26.17995,-2.1821601e-07,0.00041132766
8.1,0,-6.0642588e-06,0
8.2,0,-3.0221777e-06,0
8.3,0,-2.0690052e-06,0
8.4,0,-1.5222964e-06,0
8.5,0,-1.1501791e-06,0
8.6,0,-8.8098266e-07,0
8.7,0,-6.7705514e-07,0
8.8,0,-5.2000631e-07,0
8.9,0,-3.9863277e-07,0
9,0,-3.0484819e-07,0
9.1,0,-2.3258362e-07,0
9.2,0,-1.7717717e-07,0
9.3,0,-1.3477409e-07,0
9.4,0,-1.0241616e-07,0
9.5,0,-7.780565e-08,0
9.6,0,-5.9090386e-08,0
9.7,0,-4.4866955e-08,0
9.8,0,-3.4068194e-08,0
9.9,0,-2.5866467e-08,0
10,26.17995,2.9334809e-05,0.055294835
10.1,52.3599,2.51731e-05,0.094900393
10.2,52.3599,3.3502641e-05,0.12630203
10.3,52.3599,3.315373e-05,0.12498667
10.4,52.3599,3.147522e-05,0.11865883
10.5,52.3599,3.0820451e-05,0.11619041
10.6,52.3599,3.0390604e-05,0.11456993
10.7,52.3599,3.1550132e-05,0.11894125
10.8,52.3599,3.1731973e-05,0.11962677
10.9,52.3599,3.1589598e-05,0.11909003
11,52.3599,3.1820455e-05,0.11996034
11.1,52.3599,3.1739365e-05,0.11965464
11.2,52.3599,3.2019488e-05,0.12071068
11.3,52.3599,3.188181e-05,0.12019165
11.4,52.3599,3.1932364e-05,0.12038223
11.5,52.3599,3.207881e-05,0.12093432
11.6,52.3599,3.1906806e-05,0.12028587
11.7,52.3599,3.1986186e-05,0.12058513
11.8,52.3599,3.2050554e-05,0.12082779
11.9,52.3599,3.1933846e-05,0.12038782
12,52.3599,3.1942928e-05,0.12042205
12.1,52.3599,3.2008565e-05,0.1206695
12.2,52.3599,3.1986274e-05,0.12058546
12.3,52.3599,3.1832183e-05,0.12000455
12.4,52.3599,3.1952755e-05,0.1204591
12.5,52.3599,3.1987134e-05,0.12058871
12.6,52.3599,3.1806388e-05,0.11990731
12.7,52.3599,3.1845518e-05,0.12005483
12.8,52.3599,3.1932994e-05,0.1203846
12.9,52.3599,3.1878947e-05,0.12018085
13,52.3599,3.1696162e-05,0.11949177
13.1,52.3599,3.1836229e-05,0.12001981
13.2,52.3599,3.1869234e-05,0.12014423
13.3,52.3599,3.1684741e-05,0.11944871
13.4,52.3599,3.1658403e-05,0.11934942
13.5,52.3599,3.1783579e-05,0.11982132
13.6,52.3599,3.1784549e-05,0.11982498
13.7,52.3599,3.1484517e-05,0.11869388
13.8,52.3599,3.1656717e-05,0.11934306
13.9,52.3599,3.1729969e-05,0.11961922
14,52.3599,3.1618624e-05,0.11919946
14.1,52.3599,3.1373317e-05,0.11827467
14.2,52.3599,3.1620538e-05,0.11920667
14.3,52.3599,3.1664104e-05,0.11937091
14.4,52.3599,3.1370923e-05,0.11826564
14.5,52.3599,3.1347019e-05,0.11817553
14.6,52.3599,3.1568793e-05,0.1190116
14.7,52.3599,3.1587053e-05,0.11908044
14.8,52.3599,3.1135311e-05,0.11737741
14.9,52.3599,3.1394355e-05,0.11835398
