mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.258483,0.259178,0.209357,1.39442,0.0436576,0.214825,0.30214,0.001983,100.0,100.0,0,40.34
constant,200,1.00,200,0.307063,0.31403,0.256027,2.56497,0.0803059,0.226758,0.387369,0.0105466,200.0,200.0,0,42.22
constant,300,1.00,300,0.340205,0.335917,0.282858,3.74037,0.117106,0.223099,0.457311,0.0295534,300.0,300.0,0,44.05
constant,400,1.00,400,0.398557,0.388011,0.322936,4.92118,0.154076,0.244481,0.552632,0.0648649,400.0,400.0,0,40.95
constant,500,1.00,500,0.392418,0.407466,0.317636,6.10794,0.191232,0.201186,0.583649,0.115213,500.0,500.0,0,42.16
pulsed,100,0.80,125,0.271798,0.246638,0.217799,1.35005,0.0422684,0.229529,0.314066,0.00280313,125.0,99.9,0,42.99
pulsed,200,0.80,250,0.333421,0.348529,0.265619,2.52214,0.0789649,0.254456,0.412386,0.0157218,250.0,199.7,0,42.30
pulsed,300,0.80,375,0.374396,0.363052,0.30217,3.70108,0.115876,0.25852,0.490272,0.0448926,375.0,299.6,0,40.42
pulsed,400,0.80,500,0.374299,0.355646,0.300382,4.88796,0.153036,0.221263,0.527335,0.0929481,500.0,399.5,0,38.60
pulsed,500,0.80,625,0.396137,0.372147,0.320828,6.08353,0.190467,0.20567,0.586604,0.163589,625.0,499.4,0,39.57
