time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,26.1799,9.8651408e-06,0.018595325
0.2,26.1799,9.8115717e-06,0.01849435
0.3,26.1799,9.8546263e-06,0.018575505
0.4,26.1799,9.8557576e-06,0.018577638
0.5,26.1799,9.860311e-06,0.018586221
0.6,26.1799,9.8670663e-06,0.018598954
0.7,26.1799,9.8774848e-06,0.018618593
0.8,26.1799,9.8876264e-06,0.018637709
0.9,26.1799,9.8852158e-06,0.018633165
1,26.1799,9.8821667e-06,0.018627418
1.1,26.1799,9.8863771e-06,0.018635354
1.2,26.1799,9.893479e-06,0.018648741
1.3,26.1799,9.8852122e-06,0.018633158
1.4,26.1799,9.8880455e-06,0.018638499
1.5,26.1799,9.8929105e-06,0.018647669
1.6,26.1799,9.8871056e-06,0.018636727
1.7,26.1799,9.8906027e-06,0.018643319
1.8,26.1799,9.8897051e-06,0.018641627
1.9,26.1799,9.8852161e-06,0.018633166
2,26.1799,9.8883736e-06,0.018639117
2.1,26.1799,9.8886097e-06,0.018639562
2.2,26.1799,9.8854508e-06,0.018633608
2.3,26.1799,9.8902494e-06,0.018642653
2.4,26.1799,9.8813438e-06,0.018625867
2.5,26.1799,9.8835079e-06,0.018629946
2.6,26.1799,9.8880029e-06,0.018638419
2.7,26.1799,9.8820807e-06,0.018627256
2.8,26.1799,9.8857485e-06,0.018634169
2.9,26.1799,9.8848082e-06,0.018632397
3,26.1799,9.8804031e-06,0.018624094
3.1,26.1799,9.8821131e-06,0.018627317
3.2,26.1799,9.8839043e-06,0.018630693
3.3,26.1799,9.8790705e-06,0.018621582
3.4,26.1799,9.8862662e-06,0.018635145
3.5,26.1799,9.8789232e-06,0.018621304
3.6,26.1799,9.876004e-06,0.018615801
3.7,26.1799,9.8814514e-06,0.018626069
3.8,26.1799,9.8810703e-06,0.018625351
3.9,26.1799,9.8775795e-06,0.018618771
4,26.1799,9.8844661e-06,0.018631752
4.1,26.1799,9.8782513e-06,0.018620037
4.2,26.1799,9.8741112e-06,0.018612234
4.3,26.1799,9.8774827e-06,0.018618589
4.4,26.1799,9.8819491e-06,0.018627008
4.5,26.1799,9.8762028e-06,0.018616176
4.6,26.1799,9.8788621e-06,0.018621189
4.7,26.1799,9.8781517e-06,0.01861985
4.8,26.1799,9.8760618e-06,0.01861591
4.9,26.1799,9.8796065e-06,0.018622592
5,26.1799,9.8716708e-06,0.018607634
5.1,26.1799,9.8697386e-06,0.018603991
5.2,26.1799,9.873965e-06,0.018611958
5.3,26.1799,9.8794403e-06,0.018622279
5.4,26.1799,9.871137e-06,0.018606627
5.5,26.1799,9.8746526e-06,0.018613254
5.6,26.1799,9.8789187e-06,0.018621296
5.7,26.1799,9.8735753e-06,0.018611223
5.8,26.1799,9.8762073e-06,0.018616185
5.9,26.1799,9.8755741e-06,0.018614991
6,26.1799,9.870696e-06,0.018605796
6.1,26.1799,9.8745959e-06,0.018613147
6.2,26.1799,9.875281e-06,0.018614439
6.3,26.1799,9.8722597e-06,0.018608743
6.4,26.1799,9.8776216e-06,0.018618851
6.5,26.1799,9.8690429e-06,0.01860268
6.6,26.1799,9.8712634e-06,0.018606866
6.7,26.1799,9.8773577e-06,0.018618353
6.8,26.1799,9.869183e-06,0.018602944
6.9,26.1799,9.871499e-06,0.01860731
7,26.1799,9.8779312e-06,0.018619434
7.1,26.1799,9.8682391e-06,0.018601165
7.2,26.1799,9.870015e-06,0.018604512
7.3,26.1799,9.8780961e-06,0.018619745
7.4,26.1799,9.8719338e-06,0.018608129
7.5,26.1799,9.8692722e-06,0.018603112
7.6,26.1799,9.8744953e-06,0.018612958
7.7,26.1799,9.8710113e-06,0.01860639
7.8,26.1799,9.8669804e-06,0.018598792
7.9,26.1799,9.8705007e-06,0.018605428
8,13.08995,-4.9844328e-06,0.0046977103
8.1,0,-2.582554e-06,0
8.2,0,-1.5684105e-06,0
8.3,0,-1.1228232e-06,0
8.4,0,-8.5079878e-07,0
8.5,0,-6.5902812e-07,0
8.6,0,-5.1098833e-07,0
8.7,0,-3.9419803e-07,0
8.8,0,-3.0250887e-07,0
8.9,0,-2.3125479e-07,0
9,0,-1.7629863e-07,0
