time_s,conversion
0.1,0.33906622
0.2,0.37838713
0.3,0.33721115
0.4,0.35183057
0.5,0.35803377
0.6,0.33989651
0.7,0.33512911
0.8,0.36377461
0.9,0.34785988
1,0.33341605
1.1,0.3347363
1.2,0.37378657
1.3,0.33246884
1.4,0.33548716
1.5,0.37529948
1.6,0.33749628
1.7,0.34744297
1.8,0.36010539
1.9,0.33453575
2,0.34850786
2.1,0.35890472
2.2,0.33373874
2.3,0.3756434
2.4,0.33560823
2.5,0.33582576
2.6,0.37470204
2.7,0.33570245
2.8,0.35240696
2.9,0.36083593
3,0.33334261
3.1,0.34557759
3.2,0.36529718
3.3,0.33400478
3.4,0.37336415
3.5,0.34841569
3.6,0.33513412
3.7,0.34699562
3.8,0.36332091
3.9,0.33430299
4,0.38120102
4.1,0.35873213
4.2,0.33552949
4.3,0.33890346
4.4,0.37768607
4.5,0.34172952
4.6,0.34310318
4.7,0.35322984
4.8,0.33360764
4.9,0.3732921
5,0.33021106
5.1,0.32983169
5.2,0.33195773
5.3,0.37086487
5.4,0.32905172
5.5,0.33544887
5.6,0.37366387
5.7,0.33969263
5.8,0.33810049
5.9,0.35536611
6,0.32604013
6.1,0.34050252
6.2,0.35519614
6.3,0.32730632
6.4,0.36868221
6.5,0.32828454
6.6,0.32255409
6.7,0.36965849
6.8,0.32698202
6.9,0.32916445
7,0.37072021
7.1,0.32678052
7.2,0.32547458
7.3,0.36988936
7.4,0.34832052
7.5,0.32329001
7.6,0.34955136
7.7,0.33844925
7.8,0.32264808
7.9,0.32760335
8,0.36589824
8.1,0.32754489
8.2,0.34588243
8.3,0.35451414
8.4,0.34716644
8.5,0.3634526
8.6,0.33992952
8.7,0.37904757
8.8,0.33937957
8.9,0.37119788
9,0.33757219
9.1,0.32832716
9.2,0.36108907
9.3,0.31969956
9.4,0.35838418
9.5,0.32464497
9.6,0.34185445
9.7,0.31862911
9.8,0.31490635
9.9,0.33355545
10,0.31130759
10.1,0.33635583
10.2,0.29763578
10.3,0.29913867
10.4,0.32188621
10.5,0.33395191
10.6,0.30961966
10.7,0.3065092
10.8,0.33447895
10.9,0.3052793
11,0.33525812
11.1,0.29847163
11.2,0.34476064
11.3,0.32571847
11.4,0.31831568
11.5,0.36655233
11.6,0.31692849
11.7,0.32020232
11.8,0.36574482
11.9,0.32817691
12,0.32015733
12.1,0.35234262
12.2,0.33528015
12.3,0.32223716
12.4,0.36213823
12.5,0.32945443
12.6,0.32581086
12.7,0.36715997
12.8,0.32372289
12.9,0.33074269
13,0.37759692
13.1,0.33003633
13.2,0.3761059
13.3,0.34280297
13.4,0.34043146
13.5,0.34363361
13.6,0.33168649
13.7,0.38345764
13.8,0.3580561
13.9,0.33352699
14,0.37236356
14.1,0.33594868
14.2,0.37139379
14.3,0.33237979
14.4,0.37731122
14.5,0.34052826
14.6,0.36456184
14.7,0.33641245
14.8,0.34183119
14.9,0.36366634
15,0.33795603
15.1,0.3730646
15.2,0.33631472
15.3,0.36080306
15.4,0.33309624
15.5,0.36522455
15.6,0.33380252
15.7,0.35171329
15.8,0.3429201
15.9,0.33944282
16,0.36119823
16.1,0.33135808
16.2,0.36450062
16.3,0.33312729
16.4,0.32900641
16.5,0.36105111
16.6,0.31286932
16.7,0.32731565
16.8,0.34302992
16.9,0.3255586
17,0.3290414
17.1,0.35484209
17.2,0.34482703
17.3,0.32514125
17.4,0.32516931
17.5,0.36695701
17.6,0.32752929
17.7,0.33743946
17.8,0.37570123
17.9,0.33796245
18,0.33055964
18.1,0.36341233
18.2,0.34574835
18.3,0.33767117
18.4,0.37589033
18.5,0.33778653
18.6,0.37661758
18.7,0.33939752
18.8,0.37820374
18.9,0.34376092
19,0.35105608
19.1,0.38139162
19.2,0.34356579
19.3,0.38199272
19.4,0.34727596
19.5,0.35068381
19.6,0.33683493
19.7,0.32765872
19.8,0.34768032
19.9,0.31956473
20,0.35520303
20.1,0.31619195
20.2,0.35174868
20.3,0.28899395
20.4,0.35492185
20.5,0.33901462
20.6,0.3175042
20.7,0.33712507
20.8,0.31730864
20.9,0.34480567
21,0.311601
21.1,0.3061294
21.2,0.35313659
21.3,0.31137382
21.4,0.32284425
21.5,0.37195493
21.6,0.32518681
21.7,0.33720264
21.8,0.3428397
21.9,0.32676377
22,0.32304063
22.1,0.34039153
22.2,0.35642273
22.3,0.32699137
22.4,0.37202402
22.5,0.33284686
22.6,0.35082675
22.7,0.34539924
22.8,0.33097807
22.9,0.3719528
23,0.33874036
23.1,0.33610626
23.2,0.37115336
23.3,0.33456855
23.4,0.36305006
23.5,0.33494386
23.6,0.36346844
23.7,0.34295346
23.8,0.34724067
23.9,0.36237949
24,0.34029613
24.1,0.3771989
24.2,0.33570561
24.3,0.37571652
24.4,0.34086257
24.5,0.38308369
24.6,0.35562785
24.7,0.34922828
24.8,0.35090969
24.9,0.33992055
25,0.37752276
25.1,0.33877842
25.2,0.38414339
25.3,0.35860897
25.4,0.34010312
25.5,0.35811401
25.6,0.33758054
25.7,0.37393097
25.8,0.33913291
25.9,0.3634388
26,0.33501654
26.1,0.34489153
26.2,0.35890469
26.3,0.33175561
26.4,0.36659712
26.5,0.31986755
26.6,0.32989623
26.7,0.33883164
26.8,0.32443169
26.9,0.32140189
27,0.34848744
27.1,0.35813299
27.2,0.32143136
27.3,0.34128369
27.4,0.3547362
27.5,0.32446542
27.6,0.33617165
27.7,0.3746721
27.8,0.33981943
27.9,0.33536725
28,0.36059354
28.1,0.32758048
28.2,0.3746151
28.3,0.34061299
28.4,0.38649111
28.5,0.35769889
28.6,0.35490117
28.7,0.35444258
28.8,0.34574407
28.9,0.38161232
29,0.34684308
29.1,0.38905944
29.2,0.35231864
29.3,0.33958497
29.4,0.37471053
29.5,0.33726394
29.6,0.33195194
29.7,0.36443094
29.8,0.32379743
29.9,0.35621091
30,0.32110565
30.1,0.3257437
30.2,0.33937748
30.3,0.30970828
30.4,0.33826108
30.5,0.3526295
30.6,0.31724792
30.7,0.3566939
30.8,0.32191483
30.9,0.34413524
31,0.31365346
31.1,0.30922702
31.2,0.35492829
31.3,0.31919214
31.4,0.32730406
31.5,0.35893167
31.6,0.33472189
31.7,0.31792226
31.8,0.32220489
31.9,0.36649849
32,0.32282764
32.1,0.32658782
32.2,0.37019372
32.3,0.32595013
32.4,0.32651899
32.5,0.36589261
32.6,0.33190857
32.7,0.37022103
32.8,0.33131313
32.9,0.34885285
33,0.36404704
33.1,0.33420441
33.2,0.37192318
33.3,0.33303647
33.4,0.36511573
33.5,0.33582548
33.6,0.34101423
33.7,0.36448356
33.8,0.33534493
33.9,0.37178995
34,0.33508385
34.1,0.34838457
34.2,0.34571071
34.3,0.33577056
34.4,0.37067631
34.5,0.33489055
34.6,0.38304618
34.7,0.34908068
34.8,0.34938343
34.9,0.34867403
35,0.33943148
35.1,0.37129285
35.2,0.33556231
35.3,0.38189243
35.4,0.34502998
35.5,0.35221574
35.6,0.34365167
35.7,0.3363812
35.8,0.36325019
35.9,0.33347654
36,0.34308207
36.1,0.35052544
36.2,0.33318603
36.3,0.36940147
36.4,0.32575369
36.5,0.33572516
36.6,0.32983736
36.7,0.31250401
36.8,0.3114148
36.9,0.36282345
37,0.35032523
37.1,0.32448461
37.2,0.32869342
37.3,0.36927537
37.4,0.33667591
37.5,0.3247127
37.6,0.37342253
37.7,0.36098834
37.8,0.32600713
37.9,0.34317847
38,0.3598488
38.1,0.32319971
38.2,0.33526441
38.3,0.37691235
38.4,0.33959338
38.5,0.3787717
38.6,0.34466525
38.7,0.34282225
38.8,0.38196448
38.9,0.34370819
39,0.38170409
39.1,0.34468618
39.2,0.34608438
39.3,0.36842625
39.4,0.3356816
39.5,0.36273497
39.6,0.33479569
39.7,0.32470716
39.8,0.35773339
39.9,0.31867391
40,0.35573517
40.1,0.32352717
40.2,0.34818439
40.3,0.29537114
40.4,0.34549485
40.5,0.33050518
40.6,0.34741347
40.7,0.31615445
40.8,0.32067482
40.9,0.35246107
41,0.31347763
41.1,0.3016996
41.2,0.37335267
41.3,0.32592513
41.4,0.31949579
41.5,0.36516381
41.6,0.31615255
41.7,0.32215716
41.8,0.36172161
41.9,0.3280304
42,0.32054432
42.1,0.37258588
42.2,0.35586402
42.3,0.32214503
42.4,0.33957554
42.5,0.35161397
42.6,0.328066
42.7,0.36505685
42.8,0.32603044
42.9,0.35714876
43,0.33883077
43.1,0.33064076
43.2,0.36503471
43.3,0.33084391
43.4,0.35763419
43.5,0.32951107
43.6,0.37183951
43.7,0.3356185
43.8,0.33446499
43.9,0.37376472
44,0.332298
44.1,0.33307924
44.2,0.36980661
44.3,0.33516347
44.4,0.35535833
44.5,0.33343399
44.6,0.35655578
44.7,0.34927867
44.8,0.35561931
44.9,0.33623972
45,0.35679895
45.1,0.33427465
45.2,0.36969287
45.3,0.33405194
45.4,0.35592616
45.5,0.33135479
45.6,0.37528114
45.7,0.35038199
45.8,0.33784024
45.9,0.34821855
46,0.35393426
46.1,0.3355321
46.2,0.33026099
46.3,0.36491477
46.4,0.32264177
46.5,0.33176251
46.6,0.32735049
46.7,0.3128119
46.8,0.31058072
46.9,0.35152982
47,0.33483691
47.1,0.32172236
47.2,0.3268896
47.3,0.36620846
47.4,0.32940456
47.5,0.32060716
47.6,0.36273568
47.7,0.350325
47.8,0.32259751
47.9,0.33752744
48,0.35988325
48.1,0.32137061
48.2,0.33338229
48.3,0.37379885
48.4,0.33566055
48.5,0.38036834
48.6,0.34763949
48.7,0.35861263
48.8,0.3511469
48.9,0.34273889
49,0.38337971
49.1,0.34189465
49.2,0.37354195
49.3,0.34168001
49.4,0.35808216
49.5,0.32871903
49.6,0.36141114
49.7,0.32042982
49.8,0.35843561
49.9,0.32497445
50,0.31393621
50.1,0.35284958
50.2,0.3160102
50.3,0.28958166
50.4,0.34334301
50.5,0.36396062
50.6,0.31261812
50.7,0.34686578
50.8,0.31651189
50.9,0.32310203
51,0.32853236
51.1,0.31143331
51.2,0.30288827
51.3,0.327541
51.4,0.33801859
51.5,0.31884798
51.6,0.315036
51.7,0.35954724
51.8,0.33713015
51.9,0.31579524
52,0.35449086
52.1,0.33194002
52.2,0.32084936
52.3,0.35916477
52.4,0.32792917
52.5,0.32442098
52.6,0.36317991
52.7,0.32261093
52.8,0.35566395
52.9,0.32917793
53,0.32844845
53.1,0.37235787
53.2,0.3279245
53.3,0.33579107
53.4,0.35528715
53.5,0.32926835
53.6,0.37148067
53.7,0.33168576
53.8,0.37283629
53.9,0.33296886
54,0.33481347
54.1,0.37096631
54.2,0.32931288
54.3,0.37417059
54.4,0.33594273
54.5,0.36414368
54.6,0.33317102
54.7,0.3362993
54.8,0.35888485
54.9,0.33153234
55,0.3694446
55.1,0.33102494
55.2,0.34478267
55.3,0.33895187
55.4,0.33271097
55.5,0.35858777
55.6,0.33006274
55.7,0.35979249
55.8,0.33589651
55.9,0.33293631
56,0.35581641
56.1,0.32650653
56.2,0.35497531
56.3,0.3272558
56.4,0.32138621
56.5,0.35166668
56.6,0.30602825
56.7,0.32839324
56.8,0.34013272
56.9,0.31444492
57,0.33759611
57.1,0.35114254
57.2,0.31654757
57.3,0.32791007
57.4,0.35176797
57.5,0.31876925
57.6,0.36225698
57.7,0.33944067
57.8,0.32803234
57.9,0.33033919
58,0.36165027
58.1,0.32341408
58.2,0.36038612
58.3,0.33491165
58.4,0.33910367
58.5,0.36337342
58.6,0.33605815
58.7,0.37524272
58.8,0.33993488
58.9,0.34508227
59,0.36828657
59.1,0.34117308
59.2,0.37431638
59.3,0.33472372
59.4,0.36372589
59.5,0.32982365
59.6,0.326648
59.7,0.35047152
59.8,0.31972768
59.9,0.331322
60,0.32497123
