mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.268348,0.320199,0.292829,1.39442,0.0436576,0.22469,0.312005,0.00198389,100.0,100.0,0,nan
constant,200,1.00,200,0.316642,0.308321,0.324123,2.56497,0.0803059,0.236336,0.396948,0.0105466,200.0,200.0,0,nan
constant,300,1.00,300,0.354538,0.366039,0.35343,3.74037,0.117106,0.237432,0.471644,0.0295529,300.0,300.0,0,nan
constant,400,1.00,400,0.382622,0.391907,0.37287,4.92118,0.154076,0.228546,0.536697,0.0614037,400.0,400.0,0,nan
constant,500,1.00,500,0.370003,0.373267,0.359109,6.10794,0.191232,0.178771,0.561235,0.108161,500.0,500.0,0,nan
pulsed,100,0.80,125,0.27496,0.257704,0.301022,1.35016,0.0422719,0.232688,0.317232,0.00280223,125.0,99.9,0,nan
pulsed,200,0.80,250,0.338804,0.324971,0.343187,2.52246,0.0789749,0.259829,0.417779,0.0157132,250.0,199.8,0,nan
pulsed,300,0.80,375,0.383328,0.36907,0.370988,3.70173,0.115896,0.267431,0.499224,0.0448696,375.0,299.7,0,nan
pulsed,400,0.80,500,0.379784,0.397281,0.368484,4.88905,0.15307,0.226714,0.532853,0.0924886,500.0,399.6,0,nan
pulsed,500,0.80,625,0.40898,0.406172,0.384933,6.08517,0.190519,0.218461,0.599498,0.163616,625.0,499.5,0,nan
