mode,wb,duty,X50,P50_W,P50_over_Pmax,R50_minus
pulsed,100,0.8,0.27707786277227725,1.3507005643351795,0.04228868391782027,0.234789178854457
pulsed,200,0.8,0.34203393019801986,2.523565277598802,0.07900955784592366,0.2630243723520962
pulsed,300,0.8,0.3810351748514852,3.703554148562491,0.11595347991742301,0.2650816949340622
pulsed,400,0.8,0.3850519474257425,4.891746796679514,0.1531542516180186,0.2318976958077239
pulsed,500,0.8,0.40585327326732673,6.0888925767570825,0.19063533427542526,0.21521793899190148
constant,100,1.0,0.26870152564356437,1.3944229985157206,0.043657576659853495,0.22504394898371088
constant,200,1.0,0.31769772108910893,2.5649694087360864,0.08030586752461134,0.2373918535644976
constant,300,1.0,0.35542718376237625,3.7403703718872436,0.11710614814925621,0.23832103561312004
constant,400,1.0,0.38184728049504957,4.921176771582989,0.15407566598569156,0.227771614509358
constant,500,1.0,0.3677610312871287,6.107939525482772,0.19123166955174614,0.17652936173538258
