time_s,conversion
0.1,0.33740365
0.2,0.37721497
0.3,0.33868551
0.4,0.36878433
0.5,0.31836228
0.6,0.29988755
0.7,0.34675522
0.8,0.32180972
0.9,0.36249312
1,0.34076196
1.1,0.3395455
1.2,0.37303285
1.3,0.3346787
1.4,0.36614738
1.5,0.33563397
1.6,0.3290177
1.7,0.37013159
1.8,0.33253074
1.9,0.3617336
2,0.33698169
2.1,0.33123247
2.2,0.36609141
2.3,0.32908166
2.4,0.35931311
2.5,0.33537727
2.6,0.33149289
2.7,0.36823194
2.8,0.32882184
2.9,0.36277253
3,0.33434129
3.1,0.32962141
3.2,0.36504017
3.3,0.32919165
3.4,0.3595068
3.5,0.33667771
3.6,0.33265212
3.7,0.36844554
3.8,0.33016375
3.9,0.35888148
4,0.33723925
4.1,0.33309355
4.2,0.3687117
4.3,0.33231228
4.4,0.36359901
4.5,0.33915957
4.6,0.33435653
4.7,0.37077122
4.8,0.33244308
4.9,0.36197882
5,0.33957902
5.1,0.33349048
5.2,0.36990072
5.3,0.33247087
5.4,0.36503354
5.5,0.33827082
5.6,0.33796426
5.7,0.41479216
5.8,0.33151575
5.9,0.36498346
6,0.33730568
6.1,0.33147269
6.2,0.3659855
6.3,0.33106629
6.4,0.36462517
6.5,0.33580701
6.6,0.33070709
6.7,0.36460129
6.8,0.32899489
6.9,0.35867158
7,0.3326222
7.1,0.32517482
7.2,0.35747687
7.3,0.3246756
7.4,0.34793885
7.5,0.31758867
7.6,0.35203235
7.7,0.31463723
7.8,0.30282987
7.9,0.33135633
8,0.28018093
8.1,0.29038418
8.2,0.29340626
8.3,0.28212698
8.4,0.30070802
8.5,0.27785577
8.6,0.2884191
8.7,0.33386895
8.8,0.32868027
8.9,0.32936138
9,0.38203331
9.1,0.33562402
9.2,0.32606657
9.3,0.35240712
9.4,0.30508268
9.5,0.34450254
9.6,0.31469546
9.7,0.32108929
9.8,0.3483717
9.9,0.31407264
10,0.33706064
10.1,0.33465774
10.2,0.31931175
10.3,0.33608175
10.4,0.33196939
10.5,0.31775793
10.6,0.35062117
10.7,0.32154806
10.8,0.31836992
10.9,0.35691122
11,0.31531517
11.1,0.35049097
11.2,0.32061918
11.3,0.31815293
11.4,0.356796
11.5,0.31485627
11.6,0.35324281
11.7,0.32720347
11.8,0.31654767
11.9,0.35529064
12,0.32079536
12.1,0.31788023
12.2,0.35339314
12.3,0.31624529
12.4,0.3560575
12.5,0.32246955
12.6,0.31808241
12.7,0.35224055
12.8,0.31818224
12.9,0.3547927
13,0.32269662
13.1,0.31860064
13.2,0.35482585
13.3,0.3172823
13.4,0.35437025
13.5,0.32250489
13.6,0.31844758
13.7,0.35403199
13.8,0.31645926
13.9,0.35319617
14,0.32213439
14.1,0.31828151
14.2,0.35490027
14.3,0.31546162
14.4,0.3467603
14.5,0.32013604
14.6,0.31778276
14.7,0.35482329
14.8,0.31580352
14.9,0.34759208
15,0.31909481
15.1,0.31366021
15.2,0.35026901
15.3,0.31105934
15.4,0.34268708
15.5,0.31418113
15.6,0.31392477
15.7,0.34120488
15.8,0.31084169
15.9,0.31642346
16,0.3368325
16.1,0.30620598
16.2,0.33918215
16.3,0.30847376
16.4,0.30241267
16.5,0.33680095
16.6,0.29642934
16.7,0.33151252
16.8,0.29768672
16.9,0.29190766
17,0.33104427
17.1,0.28363259
17.2,0.31170468
17.3,0.26832749
17.4,0.28702148
17.5,0.24749047
17.6,0.29379584
17.7,0.26467565
17.8,0.25244342
17.9,0.25458579
18,0.23755673
18.1,0.25257823
18.2,0.30398339
18.3,0.29872025
18.4,0.32931363
18.5,0.32815808
18.6,0.29748695
18.7,0.30868584
18.8,0.26891983
18.9,0.2942308
19,0.29090202
19.1,0.2807903
19.2,0.29901115
19.3,0.29542941
19.4,0.28203821
19.5,0.30322765
19.6,0.29698351
19.7,0.28169011
19.8,0.33236747
19.9,0.30548919
20,0.28126101
20.1,0.28836348
20.2,0.32624462
20.3,0.2857368
20.4,0.31149434
20.5,0.24018906
20.6,0.27283008
20.7,0.32128292
20.8,0.28452841
20.9,0.31635958
21,0.28436037
21.1,0.29711514
21.2,0.3102754
21.3,0.28340598
21.4,0.32538411
21.5,0.28237234
21.6,0.32133849
21.7,0.28767498
21.8,0.28742737
21.9,0.32865238
22,0.28477289
22.1,0.3229719
22.2,0.29006016
22.3,0.28831808
22.4,0.33011756
22.5,0.28719889
22.6,0.31648446
22.7,0.29529994
22.8,0.28997592
22.9,0.3312474
23,0.28732081
23.1,0.32573124
23.2,0.29231152
23.3,0.29139224
23.4,0.33179568
23.5,0.28883222
23.6,0.32418309
23.7,0.29152181
23.8,0.29267451
23.9,0.32987719
24,0.28981265
24.1,0.28878313
24.2,0.33021259
24.3,0.29526032
24.4,0.28857072
24.5,0.32425721
24.6,0.28976748
24.7,0.31675417
24.8,0.28579333
24.9,0.31961905
25,0.28711626
25.1,0.28893292
25.2,0.32611585
25.3,0.28552106
25.4,0.31733536
25.5,0.28614379
25.6,0.28384145
25.7,0.32155003
25.8,0.28051592
25.9,0.31013259
26,0.28636368
26.1,0.27516025
26.2,0.31253509
26.3,0.27005278
26.4,0.29963981
26.5,0.26771813
26.6,0.25949433
26.7,0.29261509
26.8,0.24092343
26.9,0.26657671
27,0.23871148
27.1,0.23017068
27.2,0.26624347
27.3,0.21410293
27.4,0.24849013
27.5,0.21486241
27.6,0.26138104
27.7,0.32423324
27.8,0.28724917
27.9,0.32034461
28,0.2697768
28.1,0.2550966
28.2,0.29456933
28.3,0.25025632
28.4,0.29578182
28.5,0.25917861
28.6,0.25984633
28.7,0.28952742
28.8,0.25859096
28.9,0.2755843
29,0.2889956
29.1,0.26077013
29.2,0.30244818
29.3,0.25919383
29.4,0.29315141
29.5,0.26551846
29.6,0.26309671
29.7,0.30505345
29.8,0.26225849
29.9,0.28946407
30,0.27434819
30.1,0.26329384
30.2,0.3052714
30.3,0.2629303
30.4,0.29847496
30.5,0.26693743
30.6,0.26601353
30.7,0.30831295
30.8,0.26473347
30.9,0.29883338
31,0.27491666
31.1,0.26628789
31.2,0.30521016
31.3,0.27168752
31.4,0.29803682
31.5,0.26783538
31.6,0.30361052
31.7,0.2722625
31.8,0.27364477
31.9,0.30491236
32,0.27386805
32.1,0.2903026
32.2,0.28769162
32.3,0.27014809
32.4,0.29094379
32.5,0.28880135
32.6,0.27378915
32.7,0.30816702
32.8,0.28071527
32.9,0.27271446
33,0.32249378
33.1,0.29023319
33.2,0.27487489
33.3,0.30934304
33.4,0.27174774
33.5,0.31446444
33.6,0.27879735
33.7,0.27265545
33.8,0.31010246
33.9,0.27083491
34,0.31516901
34.1,0.27974291
34.2,0.29971279
34.3,0.27864077
34.4,0.27194551
34.5,0.31155267
34.6,0.27059167
34.7,0.30522436
34.8,0.27081859
34.9,0.27111523
35,0.31503157
35.1,0.26959223
35.2,0.29732575
35.3,0.26995996
35.4,0.26419432
35.5,0.30189248
35.6,0.26036217
35.7,0.29036889
35.8,0.25587617
35.9,0.25194255
36,0.29278778
36.1,0.24028015
36.2,0.23248617
36.3,0.24450575
36.4,0.22213489
36.5,0.2640456
36.6,0.21004961
36.7,0.24712967
36.8,0.19798452
