time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,31.4159,1.3064281e-05,0.029550682
0.2,31.4159,1.3072022e-05,0.029568191
0.3,31.4159,1.3064314e-05,0.029550757
0.4,31.4159,1.3061112e-05,0.029543514
0.5,31.4159,1.306073e-05,0.02954265
0.6,31.4159,1.3070642e-05,0.02956507
0.7,31.4159,1.306678e-05,0.029556336
0.8,31.4159,1.3061736e-05,0.029544926
0.9,31.4159,1.3069591e-05,0.029562694
1,31.4159,1.3066567e-05,0.029555854
1.1,31.4159,1.3061018e-05,0.029543303
1.2,31.4159,1.3067976e-05,0.02955904
1.3,31.4159,1.3069977e-05,0.029563567
1.4,31.4159,1.3060683e-05,0.029542543
1.5,31.4159,1.3067952e-05,0.029558986
1.6,31.4159,1.3069881e-05,0.029563349
1.7,31.4159,1.3060859e-05,0.029542941
1.8,31.4159,1.3068478e-05,0.029560175
1.9,31.4159,1.3069621e-05,0.029562762
2,31.4159,1.3057449e-05,0.02953523
2.1,31.4159,1.3061915e-05,0.029545331
2.2,31.4159,1.3072603e-05,0.029569507
2.3,31.4159,1.306567e-05,0.029553825
2.4,31.4159,1.3061088e-05,0.02954346
2.5,31.4159,1.3071419e-05,0.029566829
2.6,31.4159,1.3065535e-05,0.029553519
2.7,31.4159,1.3062165e-05,0.029545896
2.8,31.4159,1.3072729e-05,0.029569791
2.9,31.4159,1.306534e-05,0.029553078
3,31.4159,1.3058055e-05,0.0295366
3.1,31.4159,1.3058883e-05,0.029538473
3.2,31.4159,1.3066168e-05,0.029554951
3.3,31.4159,1.3070519e-05,0.029564792
3.4,31.4159,1.3065203e-05,0.029552768
3.5,31.4159,1.3064102e-05,0.029550278
3.6,31.4159,1.307188e-05,0.029567871
3.7,31.4159,1.3060424e-05,0.029541959
3.8,31.4159,1.3059415e-05,0.029539676
3.9,31.4159,1.3066488e-05,0.029555675
4,31.4159,1.3069971e-05,0.029563554
4.1,31.4159,1.3060331e-05,0.029541748
4.2,31.4159,1.3069248e-05,0.029561917
4.3,31.4159,1.3067038e-05,0.029556918
4.4,31.4159,1.3061887e-05,0.029545268
4.5,31.4159,1.3069653e-05,0.029562834
4.6,31.4159,1.3067004e-05,0.029556842
4.7,31.4159,1.3061468e-05,0.02954432
4.8,31.4159,1.3069436e-05,0.029562343
4.9,31.4159,1.3066873e-05,0.029556545
