time_s,conversion
0.1,0.33906622
0.2,0.37853868
0.3,0.33771185
0.4,0.35148539
0.5,0.35725659
0.6,0.34031984
0.7,0.33497198
0.8,0.36245459
0.9,0.34743887
1,0.3330609
1.1,0.33423755
1.2,0.37533826
1.3,0.33301431
1.4,0.3359389
1.5,0.37617711
1.6,0.33748441
1.7,0.34733368
1.8,0.35929106
1.9,0.33266262
2,0.34854107
2.1,0.36302265
2.2,0.33799012
2.3,0.37315323
2.4,0.34075803
2.5,0.36534513
2.6,0.34164427
2.7,0.37419366
2.8,0.31626643
2.9,0.37720824
3,0.33674755
3.1,0.34586286
3.2,0.32264049
3.3,0.32870801
3.4,0.36071361
3.5,0.32851755
3.6,0.34696011
3.7,0.33883179
3.8,0.34171533
3.9,0.33130571
4,0.37162796
4.1,0.33342397
4.2,0.36915747
4.3,0.33654342
4.4,0.3545698
4.5,0.32979608
4.6,0.3577599
4.7,0.33666457
4.8,0.37524373
4.9,0.33295995
5,0.3122424
5.1,0.34103071
5.2,0.29624124
5.3,0.2927605
5.4,0.37528553
5.5,0.32532176
5.6,0.36349359
5.7,0.32094613
5.8,0.32455136
5.9,0.35295578
6,0.31080511
6.1,0.31313627
6.2,0.34109069
6.3,0.3640117
6.4,0.32687736
6.5,0.35271932
6.6,0.34531348
6.7,0.32897025
6.8,0.33054125
6.9,0.37532747
7,0.33469514
7.1,0.33611239
7.2,0.3751916
7.3,0.33075361
7.4,0.34241993
7.5,0.3533796
7.6,0.33736924
7.7,0.35053761
7.8,0.31737568
7.9,0.35834477
8,0.34071679
8.1,0.35463105
8.2,0.32909986
8.3,0.35439301
8.4,0.33491557
8.5,0.3517986
8.6,0.34307812
8.7,0.31041075
8.8,0.33526304
8.9,0.37302403
9,0.33351086
9.1,0.36564627
9.2,0.3389932
9.3,0.33079748
9.4,0.36059879
9.5,0.32594988
9.6,0.33780433
9.7,0.35664895
9.8,0.34182824
9.9,0.36833912
10,0.33820518
10.1,0.34120295
10.2,0.38770784
10.3,0.36455508
10.4,0.355005
10.5,0.35457549
10.6,0.34046922
10.7,0.37448294
10.8,0.33606013
10.9,0.36527225
11,0.33287134
11.1,0.32050608
11.2,0.33603319
11.3,0.38790421
11.4,0.34281706
11.5,0.35242123
11.6,0.36561433
11.7,0.34278651
11.8,0.38604182
11.9,0.34656266
12,0.36709889
12.1,0.35873558
12.2,0.3440954
12.3,0.37329193
12.4,0.34323643
12.5,0.34639204
12.6,0.36626012
12.7,0.33875994
12.8,0.34102052
12.9,0.34408119
13,0.39045913
13.1,0.34111823
13.2,0.38401925
13.3,0.34773831
13.4,0.37722162
13.5,0.34681045
13.6,0.3490382
13.7,0.36349404
13.8,0.35332948
13.9,0.3562906
14,0.34257974
14.1,0.33934212
14.2,0.36916241
14.3,0.34342057
14.4,0.33258112
14.5,0.33919407
14.6,0.37350002
14.7,0.347674
14.8,0.3678756
14.9,0.36208451
15,0.34712121
15.1,0.34850475
15.2,0.37452295
15.3,0.33750323
15.4,0.37501304
15.5,0.34724349
15.6,0.37786017
15.7,0.34017919
15.8,0.37725043
15.9,0.33070733
16,0.34370123
16.1,0.36148119
16.2,0.32120043
16.3,0.32971297
16.4,0.35878483
16.5,0.32709276
16.6,0.35657678
16.7,0.36184775
16.8,0.34167916
16.9,0.33768919
17,0.36855675
17.1,0.35579874
17.2,0.34286644
17.3,0.37238448
17.4,0.35626689
17.5,0.34748617
17.6,0.37074734
17.7,0.34865164
17.8,0.37343902
17.9,0.34936411
18,0.39475126
18.1,0.34987867
18.2,0.37684413
18.3,0.34851261
18.4,0.36759786
18.5,0.34206356
18.6,0.36817679
18.7,0.33324774
18.8,0.32403624
18.9,0.37001269
19,0.36369809
19.1,0.34171122
19.2,0.37701161
19.3,0.33918291
19.4,0.34214993
19.5,0.3857466
19.6,0.35331974
19.7,0.35317402
19.8,0.37615571
19.9,0.34861506
20,0.38423347
20.1,0.34757091
20.2,0.39009843
20.3,0.33233078
20.4,0.34883533
20.5,0.37643947
20.6,0.34173314
20.7,0.38207844
20.8,0.35071805
20.9,0.3696307
21,0.34199734
21.1,0.3439613
21.2,0.3769847
21.3,0.34719071
21.4,0.36246565
21.5,0.35779165
21.6,0.35360492
21.7,0.34920057
21.8,0.379743
21.9,0.34404324
22,0.38099253
22.1,0.34508304
22.2,0.34740784
22.3,0.38546825
22.4,0.34445233
22.5,0.37568989
22.6,0.33869337
22.7,0.3322356
22.8,0.32790402
22.9,0.35283383
23,0.37415503
23.1,0.34309748
23.2,0.37803566
23.3,0.34139124
23.4,0.37837625
23.5,0.34412803
23.6,0.33933149
23.7,0.37491494
23.8,0.33689139
23.9,0.35006237
24,0.37713638
24.1,0.34221129
24.2,0.34637207
24.3,0.39177958
24.4,0.35009881
24.5,0.35862452
24.6,0.375689
24.7,0.35247817
24.8,0.38518236
24.9,0.3471809
25,0.37980242
25.1,0.3457734
25.2,0.37528071
25.3,0.32925807
25.4,0.35569397
25.5,0.37054848
25.6,0.35963002
25.7,0.34908483
25.8,0.35217154
25.9,0.37337975
26,0.34496409
26.1,0.37942764
26.2,0.35106757
26.3,0.35624339
26.4,0.37209877
26.5,0.3478314
26.6,0.38382279
26.7,0.34524205
26.8,0.37551435
26.9,0.34795283
27,0.33786144
27.1,0.32916843
27.2,0.38653412
27.3,0.3654326
27.4,0.37025514
27.5,0.36205808
27.6,0.35751124
27.7,0.36601799
27.8,0.35542349
27.9,0.39011165
28,0.35285312
28.1,0.3500517
28.2,0.39561238
28.3,0.36583241
28.4,0.33820753
28.5,0.37339077
28.6,0.34632427
28.7,0.34119559
28.8,0.39220047
28.9,0.34271044
29,0.35145594
29.1,0.38990919
29.2,0.34692288
29.3,0.35082135
29.4,0.39376643
29.5,0.35214505
29.6,0.34980559
29.7,0.39031509
29.8,0.35004317
29.9,0.3898562
30,0.35055707
30.1,0.3637769
30.2,0.35344553
30.3,0.32310952
30.4,0.36936028
30.5,0.36507791
30.6,0.3478229
30.7,0.35063897
30.8,0.36604814
30.9,0.3720115
31,0.35067762
31.1,0.35345321
31.2,0.37143318
31.3,0.34688994
31.4,0.38238211
31.5,0.34492291
31.6,0.37649821
31.7,0.33944582
31.8,0.33121695
31.9,0.37050082
32,0.33187837
32.1,0.34928769
32.2,0.39365898
32.3,0.35520286
32.4,0.3862387
32.5,0.35809919
32.6,0.3561309
32.7,0.37985471
32.8,0.33585121
32.9,0.38296724
33,0.35092105
33.1,0.38406723
33.2,0.34204608
33.3,0.37274973
33.4,0.33767301
33.5,0.32623396
33.6,0.37436048
33.7,0.34065617
33.8,0.30848264
33.9,0.36910017
34,0.33118171
34.1,0.34305843
34.2,0.36898768
34.3,0.33810087
34.4,0.37992442
34.5,0.35501657
34.6,0.34527853
34.7,0.35171925
34.8,0.37799954
34.9,0.34880523
35,0.39115457
35.1,0.35523208
35.2,0.34643752
35.3,0.39334867
35.4,0.34838881
35.5,0.39605145
35.6,0.34979369
35.7,0.37631866
35.8,0.34479527
35.9,0.38035654
36,0.3397163
36.1,0.37379245
36.2,0.3462805
36.3,0.32231112
36.4,0.35006923
36.5,0.31475346
36.6,0.33426299
36.7,0.3384595
36.8,0.36807666
36.9,0.33419689
37,0.3487242
37.1,0.3687692
37.2,0.34301617
37.3,0.382268
37.4,0.34978746
37.5,0.34901983
37.6,0.38986283
37.7,0.3476011
37.8,0.33141566
37.9,0.37146484
38,0.35072469
38.1,0.36766052
38.2,0.33312844
38.3,0.3566103
38.4,0.3589907
38.5,0.34189504
38.6,0.3592517
38.7,0.34055222
38.8,0.364516
38.9,0.34071884
39,0.3684557
39.1,0.34239197
39.2,0.36344799
39.3,0.34307411
39.4,0.36477807
39.5,0.34664831
39.6,0.3495239
39.7,0.37139599
39.8,0.3458413
39.9,0.37627737
40,0.33142167
40.1,0.34861363
40.2,0.32580857
40.3,0.32266934
40.4,0.35881226
40.5,0.3359505
40.6,0.376098
40.7,0.33605233
40.8,0.36706778
40.9,0.33845212
41,0.36904918
41.1,0.34563863
41.2,0.34138954
41.3,0.37061416
41.4,0.32953237
41.5,0.35297983
41.6,0.3641862
41.7,0.33602895
41.8,0.35664415
41.9,0.37214656
42,0.34158941
42.1,0.35002726
42.2,0.37602075
42.3,0.34227136
42.4,0.37812007
42.5,0.35386209
42.6,0.34348563
42.7,0.37866884
42.8,0.32017667
42.9,0.38984197
