time_s,omega_meas_rad_s,Mz_wedge_Nm,P_visc_full_W
0.1,52.3599,2.8678265e-05,0.10811456
0.2,52.3599,2.9524308e-05,0.11130407
0.3,52.3599,2.8867012e-05,0.10882612
0.4,52.3599,2.8647557e-05,0.10799879
0.5,52.3599,2.8753349e-05,0.10839762
0.6,52.3599,2.8776255e-05,0.10848397
0.7,52.3599,2.8721754e-05,0.10827851
0.8,52.3599,2.8716661e-05,0.10825931
0.9,52.3599,2.8704856e-05,0.1082148
1,52.3599,2.8700986e-05,0.10820021
1.1,52.3599,2.8692476e-05,0.10816813
1.2,52.3599,2.8683812e-05,0.10813547
1.3,52.3599,2.8687431e-05,0.10814911
1.4,52.3599,2.8679121e-05,0.10811778
1.5,52.3599,2.8673012e-05,0.10809475
1.6,52.3599,2.868189e-05,0.10812822
1.7,52.3599,2.8676364e-05,0.10810739
1.8,52.3599,2.8675429e-05,0.10810387
1.9,52.3599,2.8674697e-05,0.10810111
2,26.17995,-2.1286806e-06,0.0040124701
2.1,0,-5.5579015e-06,0
2.2,0,-3.039177e-06,0
2.3,0,-2.0842509e-06,0
2.4,0,-1.5588289e-06,0
2.5,26.17995,2.8160119e-05,0.053080596
2.6,52.3599,2.4529288e-05,0.092473278
2.7,52.3599,3.6619858e-05,0.13805367
2.8,52.3599,3.3495503e-05,0.12627513
2.9,52.3599,3.3401649e-05,0.1259213
3,52.3599,3.1344724e-05,0.11816688
3.1,52.3599,3.2008038e-05,0.12066751
3.2,52.3599,3.0733691e-05,0.11586333
3.3,52.3599,2.9216615e-05,0.11014409
3.4,52.3599,3.1092619e-05,0.11721646
3.5,52.3599,3.1735427e-05,0.11963979
3.6,52.3599,3.190957e-05,0.1202963
3.7,52.3599,3.1704666e-05,0.11952382
3.8,52.3599,3.1839842e-05,0.12003343
3.9,52.3599,3.1995131e-05,0.12061886
4,52.3599,3.178746e-05,0.11983595
4.1,52.3599,3.183856e-05,0.1200286
4.2,52.3599,3.1964997e-05,0.12050525
4.3,52.3599,3.1820888e-05,0.11996197
4.4,52.3599,3.1809688e-05,0.11991975
4.5,26.17995,4.6714872e-07,0.00088055497
4.6,0,-6.2349572e-06,0
4.7,0,-3.0366237e-06,0
4.8,0,-2.0738054e-06,0
4.9,0,-1.5188593e-06,0
5,26.17995,2.8198516e-05,0.053152973
5.1,52.3599,2.4482028e-05,0.09229511
5.2,52.3599,3.8159838e-05,0.14385926
5.3,52.3599,3.4268559e-05,0.12918948
5.4,52.3599,3.1978753e-05,0.12055711
5.5,52.3599,3.1019175e-05,0.11693959
5.6,52.3599,3.303853e-05,0.12455238
5.7,52.3599,3.2700237e-05,0.12327704
5.8,52.3599,3.2950344e-05,0.12421992
5.9,52.3599,3.2845578e-05,0.12382497
6,52.3599,3.294281e-05,0.12419152
6.1,52.3599,3.2642033e-05,0.12305762
6.2,52.3599,3.2447719e-05,0.12232507
6.3,52.3599,3.2321449e-05,0.12184904
6.4,52.3599,3.2705888e-05,0.12329835
6.5,52.3599,3.1622059e-05,0.1192124
6.6,52.3599,3.2258736e-05,0.12161262
6.7,52.3599,3.2404457e-05,0.12216198
6.8,52.3599,3.2252646e-05,0.12158966
6.9,52.3599,3.2367134e-05,0.12202127
7,26.17995,5.8204003e-07,0.0010971201
7.1,0,-6.042537e-06,0
7.2,0,-3.075787e-06,0
7.3,0,-2.0694726e-06,0
7.4,0,-1.5069688e-06,0
7.5,26.17995,2.8202578e-05,0.05316063
7.6,52.3599,2.4640294e-05,0.09289176
7.7,52.3599,3.7562417e-05,0.14160704
7.8,52.3599,3.3876529e-05,0.12771156
7.9,52.3599,3.2485243e-05,0.12246653
8,52.3599,3.1995476e-05,0.12062016
