mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.279493,0.320199,0.292829,1.39442,0.0436576,0.235835,0.32315,0.00200367,100.0,100.0,0,nan
constant,200,1.00,200,0.316563,0.308321,0.324123,2.56497,0.0803059,0.236258,0.396869,0.0105467,200.0,200.0,0,nan
constant,300,1.00,300,0.354496,0.366039,0.35343,3.74037,0.117106,0.23739,0.471602,0.029553,300.0,300.0,0,nan
constant,400,1.00,400,0.384129,0.391907,0.37287,4.92118,0.154076,0.230053,0.538205,0.0614066,400.0,400.0,0,nan
constant,500,1.00,500,0.370522,0.373267,0.359109,6.10794,0.191232,0.17929,0.561754,0.10816,500.0,500.0,0,nan
pulsed,100,0.80,125,0.269152,0.315321,0.297189,1.35469,0.0424136,0.226739,0.311566,0.00267702,125.0,99.9,0,nan
pulsed,200,0.80,250,0.36026,0.393406,0.355227,2.53029,0.0792201,0.28104,0.43948,0.0155618,250.0,199.8,0,nan
pulsed,300,0.80,375,0.400727,0.38507,0.378911,3.71631,0.116353,0.284374,0.51708,0.0440096,375.0,299.7,0,nan
pulsed,400,0.80,500,0.393988,0.415462,0.381624,4.91448,0.153866,0.240122,0.547854,0.0902433,500.0,399.6,0,nan
pulsed,500,0.80,625,0.425853,0.385323,0.387768,6.12523,0.191773,0.23408,0.617625,0.156888,625.0,499.5,0,nan
