time_s,conversion
0.00120005,1.1516962e-09
0.00264017,7.3821711e-06
0.00436833,2.3901006e-05
0.00644211,5.2960423e-05
0.00878691,9.6231288e-05
0.0110566,0.00014709524
0.0130783,0.00019861914
0.0149429,0.00025044257
0.0166873,0.00030204625
0.0183285,0.00035291357
0.0198796,0.00040275219
0.0213514,0.00045139234
0.0227561,0.00049885558
0.0241071,0.00054530579
0.0254209,0.00059109421
0.0267113,0.00063655287
0.0279653,0.00068108101
0.0291644,0.00072386194
0.0303191,0.00076509512
0.0314422,0.00080512418
0.0325469,0.0008443067
0.0336119,0.00088177962
0.0346511,0.00091792906
0.0356815,0.00095323768
0.036714,0.00098793143
0.0377157,0.0010207583
0.0387032,0.0010521427
0.039687,0.0010823049
0.0406706,0.001111207
0.0416544,0.0011386999
0.0426388,0.0011646966
0.0436247,0.0011892063
0.0446146,0.00121234
0.045612,0.001234351
0.0466216,0.0012555862
0.04765,0.0012765228
0.0487031,0.0012977496
0.0497881,0.0013199906
0.0508997,0.0013441688
0.0520332,0.0013718236
0.053198,0.0014050584
0.0543349,0.0014440571
0.0554301,0.0014893291
0.0564811,0.0015412812
0.0574724,0.0015990143
0.0584232,0.0016631655
0.0593516,0.0017343727
0.0602359,0.0018108669
0.0610923,0.0018935202
0.0619335,0.0019834562
0.0627675,0.0020813316
0.0635928,0.002185852
0.0644154,0.0022964701
0.0652382,0.0024126093
0.0660622,0.0025333918
0.066892,0.0026585784
0.0677364,0.0027890747
0.0685931,0.0029240143
0.0694444,0.0030596957
0.0703021,0.0031973925
0.0711691,0.0033369483
0.0720389,0.003476908
0.0729248,0.003619311
0.0738452,0.003767436
0.0748118,0.003923903
0.0757708,0.0040807788
0.0766946,0.0042344743
0.0775738,0.0043838491
0.0784236,0.0045319785
0.0792526,0.004678147
0.0800647,0.004822132
0.0808666,0.0049647238
0.0816629,0.0051061209
0.0824572,0.0052460699
0.0832547,0.0053844028
0.0840536,0.0055196488
0.0848527,0.0056503114
0.0856558,0.0057759194
0.0864589,0.0058948511
0.0872584,0.0060058513
0.08806,0.0061093233
0.08887,0.0062058188
0.0896889,0.0062952441
0.090508,0.0063767598
0.0913311,0.0064511612
0.0921625,0.0065192651
0.0930072,0.006581883
0.0938484,0.0066383883
0.0946848,0.0066894559
0.0955225,0.0067360768
0.096361,0.0067786521
0.0971924,0.0068171002
0.0979853,0.0068503402
0.0987543,0.0068793444
0.099511,0.0069047122
0.100249,0.0069263137
0.100967,0.0069442877
0.101676,0.0069588784
0.102378,0.0069701482
0.10308,0.0069780551
0.103783,0.006982494
0.104493,0.0069833116
0.105212,0.0069835842
0.105946,0.0069836722
0.106689,0.0069836965
0.107434,0.006983699
0.108186,0.0069836939
0.108951,0.006983686
0.109724,0.0069836769
0.110497,0.006983667
0.111274,0.0069821662
0.112049,0.0069756945
0.112819,0.0069636563
0.113587,0.0069463449
0.114364,0.0069240242
0.115161,0.0068967788
0.115988,0.0068645309
0.116856,0.0068270602
0.117747,0.006785248
0.118672,0.0067390039
0.119602,0.006690082
0.120542,0.0066387266
0.121459,0.0065873898
0.122348,0.0065368194
0.123237,0.0064859013
0.12415,0.0064337222
0.125044,0.0063830067
0.1259,0.0063351214
0.126737,0.0062891482
0.127569,0.0062444731
0.128407,0.0062007011
0.129258,0.0061576625
0.130127,0.0061153379
0.130999,0.0060745921
0.131852,0.0060365155
0.132689,0.0060008687
0.133499,0.0059680486
0.134281,0.0059379381
0.135042,0.0059101757
0.135787,0.0058844223
0.136526,0.0058603519
0.13727,0.0058375777
0.138037,0.0058156357
0.138854,0.0057940064
0.139655,0.0057745585
0.140451,0.0057567497
0.141267,0.0057400562
0.142081,0.0057249996
0.142868,0.00571206
0.14364,0.0057010234
0.1444,0.0056918859
0.145145,0.0056847332
0.145868,0.005679603
0.146579,0.0056764133
0.147284,0.0056750685
0.147983,0.0056746195
0.148674,0.0056744675
0.149363,0.0056744127
0.150058,0.0056772765
0.150756,0.0056828264
0.151458,0.0056909875
0.152171,0.0057017931
0.152902,0.0057153761
0.153643,0.0057315856
0.154373,0.0057497645
0.155091,0.0057695925
0.15581,0.0057912285
0.156542,0.005814911
0.15729,0.0058407301
0.158036,0.0058680112
0.158782,0.0058966965
0.159517,0.0059262778
0.160256,0.0059573041
0.161006,0.0059899703
0.161735,0.0060226045
0.16245,0.0060549743
0.163158,0.0060868764
0.163868,0.0061178898
0.164588,0.0061473432
0.165324,0.0061743249
0.166065,0.0061970538
0.166808,0.0062141192
0.167567,0.0062243858
0.16831,0.0062263402
0.169042,0.0062269746
0.169779,0.0062271855
0.170544,0.0062272554
0.171323,0.0062272749
0.17209,0.0062272761
0.172838,0.0062231059
0.173565,0.0062060243
0.174274,0.0061750289
0.174964,0.0061315468
0.17564,0.006077468
0.176305,0.0060144257
0.176965,0.005943548
0.177628,0.0058654335
0.178293,0.0057812974
0.178956,0.0056927766
0.179622,0.0056000771
0.180298,0.0055032387
0.180988,0.0054025267
0.181698,0.0052977435
0.182432,0.005188988
0.183165,0.0050809557
0.183886,0.0049758074
0.184611,0.0048718945
0.18536,0.0047672447
0.186103,0.0046664471
0.186839,0.004570272
0.187542,0.0044819666
0.188233,0.004398882
0.188917,0.0043204449
