case,label,rpm,omega_rad_s,Re,conversion_steady,conversion_final,steady_drift,converged,diverged,power_motor_W,power_visc_cfd_W,wall_minutes
side_outlet_case_r16,NR=16  (dr=397 um),0,0.0000,0.0,0.0133103,0.0133103,5.320e-04,1,0,0,0,nan
side_outlet_case_r16,NR=16  (dr=397 um),250,26.1799,392.7,0.0221107,0.0221068,9.742e-05,1,0,3.15203,0.0182572,nan
side_outlet_case_r16,NR=16  (dr=397 um),500,52.3599,785.4,0.0219166,0.0217659,2.035e-05,1,0,6.10794,0.103903,nan
side_outlet_case_r16,NR=16  (dr=397 um),750,78.5398,1178.1,0.0175123,0.01524,4.135e-04,1,0,9.10452,0.316769,nan
side_outlet_case_r16,NR=16  (dr=397 um),1000,104.7198,1570.8,0.0204989,0.0280144,3.049e-04,1,0,12.1504,0.633795,nan
side_outlet_case_r32,NR=32  (dr=198 um),0,0.0000,0.0,0.0130774,0.0130774,2.813e-05,1,0,0,0,nan
side_outlet_case_r32,NR=32  (dr=198 um),250,26.1799,392.7,0.0397757,0.0398175,2.968e-04,1,0,3.15203,0.0179245,nan
side_outlet_case_r32,NR=32  (dr=198 um),500,52.3599,785.4,0.0418201,0.0418584,1.054e-04,1,0,6.10794,0.103807,nan
side_outlet_case_r32,NR=32  (dr=198 um),750,78.5398,1178.1,0.0414166,0.0430403,5.700e-05,1,0,9.10452,0.285699,nan
side_outlet_case_r32,NR=32  (dr=198 um),1000,104.7198,1570.8,0.0410417,0.0410987,2.426e-05,1,0,12.1504,0.547539,nan
side_outlet_case_r64,NR=64  (dr=99 um),0,0.0000,0.0,0.0425171,0.0399726,1.791e-03,1,0,0,0,nan
side_outlet_case_r64,NR=64  (dr=99 um),250,26.1799,392.7,0.059937,0.0600469,3.439e-04,1,0,3.15203,0.0178781,nan
side_outlet_case_r64,NR=64  (dr=99 um),500,52.3599,785.4,0.0798925,0.099398,9.787e-04,1,0,6.10794,0.102519,nan
side_outlet_case_r64,NR=64  (dr=99 um),750,78.5398,1178.1,0.06435,0.0636726,4.300e-03,1,0,9.10452,0.279342,nan
side_outlet_case_r64,NR=64  (dr=99 um),1000,104.7198,1570.8,0.0922533,0.079884,3.962e-02,0,0,12.1504,0.568872,nan
side_outlet_case_r128,NR=128  (dr=50 um),0,0.0000,0.0,0.082578,0.0850858,5.461e-04,1,0,0,0,nan
side_outlet_case_r128,NR=128  (dr=50 um),250,26.1799,392.7,3.26122e+07,1.34784e+08,nan,0,1,3.15203,0.0178756,nan
side_outlet_case_r128,NR=128  (dr=50 um),500,52.3599,785.4,1.75422e+42,-7.34915e+41,nan,0,1,6.10794,0.0972767,nan
side_outlet_case_r128,NR=128  (dr=50 um),750,78.5398,1178.1,-5.21596e+95,-2.18662e+97,nan,0,1,9.10452,0.277971,nan
side_outlet_case_r128,NR=128  (dr=50 um),1000,104.7198,1570.8,3.14417e+137,4.08736e+138,nan,0,1,12.1504,0.564104,nan
