case,label,rpm,omega_rad_s,Re,conversion_steady,conversion_final,steady_drift,converged,diverged,power_motor_W,power_visc_cfd_W,wall_minutes
side_outlet_case_sc100,Sc = 100  (D = 1.08e-07),0,0.0000,0.0,0.273888,0.273888,0.000e+00,1,0,0,0,nan
side_outlet_case_sc100,Sc = 100  (D = 1.08e-07),250,26.1799,392.7,0.762806,0.762829,2.263e-04,1,0,3.15203,0.0182955,nan
side_outlet_case_sc100,Sc = 100  (D = 1.08e-07),500,52.3599,785.4,0.758765,0.758785,1.070e-06,1,0,6.10794,0.104785,nan
side_outlet_case_sc100,Sc = 100  (D = 1.08e-07),750,78.5398,1178.1,0.813226,0.813226,5.110e-06,1,0,9.10452,0.292223,nan
side_outlet_case_sc100,Sc = 100  (D = 1.08e-07),1000,104.7198,1570.8,0.691302,0.736623,5.225e-03,1,0,12.1504,0.640485,nan
side_outlet_case_sc1000,Sc = 1000  (D = 1.08e-08),0,0.0000,0.0,0.0633554,0.0633554,0.000e+00,1,0,0,0,nan
side_outlet_case_sc1000,Sc = 1000  (D = 1.08e-08),250,26.1799,392.7,0.183259,0.183255,1.735e-06,1,0,3.15203,0.0182955,nan
side_outlet_case_sc1000,Sc = 1000  (D = 1.08e-08),500,52.3599,785.4,0.181694,0.181424,3.481e-05,1,0,6.10794,0.104785,nan
side_outlet_case_sc1000,Sc = 1000  (D = 1.08e-08),750,78.5398,1178.1,0.182963,0.183019,1.270e-04,1,0,9.10452,0.292223,nan
side_outlet_case_sc1000,Sc = 1000  (D = 1.08e-08),1000,104.7198,1570.8,0.182428,0.201239,7.909e-04,1,0,12.1504,0.640485,nan
