=== constant sweep task 0: tag=const_base expl=0.1 dur=60s steps=120 ===
[td3 s0] t=1/120 ep=0 step=1 a=-0.336 omega=-100.80 I=0.0328 E=1.052e-03 r=-0.0487 dt=331.4s
[td3 s0] t=2/120 ep=1 step=1 a=-0.071 omega=-21.44 I=0.1271 E=2.121e-05 r=-0.1274 dt=286.5s
[td3 s0] t=3/120 ep=2 step=1 a=+0.279 omega=+83.61 I=0.0222 E=6.713e-04 r=-0.0324 dt=294.4s
[td3 s0] t=4/120 ep=3 step=1 a=+0.255 omega=+76.49 I=0.0346 E=5.369e-04 r=-0.0428 dt=292.8s
[td3 s0] t=5/120 ep=4 step=1 a=-0.759 omega=-227.72 I=0.0103 E=8.644e-03 r=-0.1410 dt=271.4s
[td3 s0] t=6/120 ep=5 step=1 a=+0.958 omega=+287.32 I=0.0077 E=1.566e-02 r=-0.2446 dt=267.0s
[td3 s0] t=7/120 ep=6 step=1 a=-0.362 omega=-108.60 I=0.0279 E=1.259e-03 r=-0.0470 dt=291.4s
[td3 s0] t=8/120 ep=7 step=1 a=+0.322 omega=+96.69 I=0.0411 E=9.451e-04 r=-0.0553 dt=289.7s
[td3 s0] t=9/120 ep=8 step=1 a=+0.174 omega=+52.35 I=0.0617 E=2.160e-04 r=-0.0650 dt=290.5s
[td3 s0] t=10/120 ep=9 step=1 a=-0.178 omega=-53.53 I=0.0554 E=2.340e-04 r=-0.0590 dt=292.7s
[td3 s0] t=11/120 ep=10 step=1 a=+0.824 omega=+247.34 I=0.0081 E=1.077e-02 r=-0.1710 dt=267.3s
[td3 s0] t=12/120 ep=11 step=1 a=+0.123 omega=+36.91 I=0.1139 E=9.155e-05 r=-0.1153 dt=290.3s
[td3 s0] t=13/120 ep=12 step=1 a=+0.398 omega=+119.46 I=0.0181 E=1.454e-03 r=-0.0401 dt=295.5s
[td3 s0] t=14/120 ep=13 step=1 a=+0.406 omega=+121.79 I=0.0184 E=1.522e-03 r=-0.0415 dt=295.9s
[td3 s0] t=15/120 ep=14 step=1 a=-0.437 omega=-130.98 I=0.0167 E=1.883e-03 r=-0.0452 dt=287.0s
[td3 s0] t=16/120 ep=15 step=1 a=-0.001 omega=-0.25 I=0.3002 E=1.431e-08 r=-0.3002 dt=260.2s
[td3 s0] t=17/120 ep=16 step=1 a=-0.725 omega=-217.43 I=0.0106 E=7.692e-03 r=-0.1269 dt=281.1s
[td3 s0] t=18/120 ep=17 step=1 a=+0.521 omega=+156.35 I=0.0152 E=3.007e-03 r=-0.0607 dt=268.3s
[td3 s0] t=19/120 ep=18 step=1 a=+0.831 omega=+249.40 I=0.0081 E=1.099e-02 r=-0.1745 dt=266.2s
[td3 s0] t=20/120 ep=19 step=1 a=-0.905 omega=-271.54 I=0.0081 E=1.359e-02 r=-0.2137 dt=277.3s
[td3 s0] t=21/120 ep=20 step=1 a=+0.165 omega=+49.35 I=0.1288 E=1.865e-04 r=-0.1316 dt=292.7s
[td3 s0] t=22/120 ep=21 step=1 a=+0.020 omega=+6.11 I=0.3237 E=1.144e-06 r=-0.3237 dt=264.1s
[td3 s0] t=23/120 ep=22 step=1 a=-0.042 omega=-12.63 I=0.1582 E=7.093e-06 r=-0.1583 dt=264.4s
[td3 s0] t=24/120 ep=23 step=1 a=+0.014 omega=+4.25 I=0.3347 E=4.697e-07 r=-0.3347 dt=259.8s
[td3 s0] t=25/120 ep=24 step=1 a=+0.220 omega=+66.04 I=0.0226 E=3.797e-04 r=-0.0284 dt=291.7s
[td3 s0] t=26/120 ep=25 step=1 a=+0.288 omega=+86.29 I=0.0186 E=7.275e-04 r=-0.0296 dt=292.8s
[td3 s0] t=27/120 ep=26 step=1 a=+0.247 omega=+74.09 I=0.0198 E=5.016e-04 r=-0.0274 dt=295.3s
[td3 s0] t=28/120 ep=27 step=1 a=+0.270 omega=+80.97 I=0.0171 E=6.237e-04 r=-0.0265 dt=295.3s
[td3 s0] t=29/120 ep=28 step=1 a=+0.381 omega=+114.20 I=0.0146 E=1.388e-03 r=-0.0356 dt=290.1s
[td3 s0] t=30/120 ep=29 step=1 a=+0.318 omega=+95.29 I=0.0189 E=9.004e-04 r=-0.0325 dt=292.5s
[td3 s0] t=31/120 ep=30 step=1 a=+0.561 omega=+168.37 I=0.0136 E=3.659e-03 r=-0.0690 dt=265.0s
[td3 s0] t=32/120 ep=31 step=1 a=+0.524 omega=+157.10 I=0.0151 E=3.043e-03 r=-0.0612 dt=267.2s
[td3 s0] t=33/120 ep=32 step=1 a=+0.570 omega=+170.92 I=0.0135 E=3.799e-03 r=-0.0710 dt=289.4s
[td3 s0] t=34/120 ep=33 step=1 a=+0.536 omega=+160.81 I=0.0148 E=3.227e-03 r=-0.0637 dt=277.3s
[td3 s0] t=35/120 ep=34 step=1 a=+0.551 omega=+165.16 I=0.0137 E=3.488e-03 r=-0.0665 dt=270.7s
[td3 s0] t=36/120 ep=35 step=1 a=+0.703 omega=+210.91 I=0.0107 E=6.561e-03 r=-0.1100 dt=267.9s
[td3 s0] t=37/120 ep=36 step=1 a=+0.600 omega=+180.08 I=0.0131 E=4.329e-03 r=-0.0786 dt=266.9s
[td3 s0] t=38/120 ep=37 step=1 a=+0.461 omega=+138.39 I=0.0169 E=2.174e-03 r=-0.0498 dt=266.8s
[td3 s0] t=39/120 ep=38 step=1 a=+0.461 omega=+138.39 I=0.0169 E=2.174e-03 r=-0.0498 dt=268.7s
[td3 s0] t=40/120 ep=39 step=1 a=+0.475 omega=+142.60 I=0.0165 E=2.347e-03 r=-0.0520 dt=268.3s
[td3 s0] t=41/120 ep=40 step=1 a=+0.392 omega=+117.59 I=0.0179 E=1.373e-03 r=-0.0386 dt=309.4s
[td3 s0] t=42/120 ep=41 step=1 a=+0.565 omega=+169.38 I=0.0136 E=3.714e-03 r=-0.0698 dt=268.9s
[td3 s0] t=43/120 ep=42 step=1 a=+0.479 omega=+143.66 I=0.0164 E=2.392e-03 r=-0.0526 dt=269.2s
[td3 s0] t=44/120 ep=43 step=1 a=+0.467 omega=+140.16 I=0.0167 E=2.246e-03 r=-0.0507 dt=269.8s
[td3 s0] t=45/120 ep=44 step=1 a=+0.502 omega=+150.58 I=0.0156 E=2.736e-03 r=-0.0570 dt=267.5s
[td3 s0] t=46/120 ep=45 step=1 a=+0.542 omega=+162.71 I=0.0137 E=3.360e-03 r=-0.0645 dt=275.4s
[td3 s0] t=47/120 ep=46 step=1 a=+0.349 omega=+104.68 I=0.0222 E=1.127e-03 r=-0.0392 dt=289.6s
[td3 s0] t=48/120 ep=47 step=1 a=+0.336 omega=+100.87 I=0.0195 E=1.037e-03 r=-0.0352 dt=293.1s
[td3 s0] t=49/120 ep=48 step=1 a=+0.252 omega=+75.50 I=0.0194 E=5.245e-04 r=-0.0273 dt=291.4s
